mcmc step, learning time
0,96.31
1,111.63
2,129.03
3,144.43
4,161.5
5,176.49
6,193.69
7,210.8
8,225.77
9,240.58
10,255.64
11,270.88
12,286.09
13,301.2
14,318.02
15,333.15
16,348.07
17,365.39
18,382.41
19,397.67
20,412.77
21,429.51
22,446.51
23,461.71
24,477.03
25,493.86
26,508.79
27,523.99
28,539
29,555.84
30,570.91
31,586.18
32,601.7
33,617.14
34,632.81
35,650.58
36,667.72
37,682.86
38,700.03
39,715.22
40,730.18
41,747.23
42,762.79
43,780.48
44,795.67
45,811.59
46,826.65
47,843.41
48,860.39
49,875.91
50,893.4
51,908.85
52,926.3
53,941.57
54,956.86
55,972.06
56,987.67
57,1003.14
58,1020.42
59,1035.34
60,1050.94
61,1068.38
62,1083.83
63,1099.33
64,1116.89
65,1132.09
66,1147.42
67,1162.59
68,1179.52
69,1194.7
70,1209.89
71,1225.01
72,1242.17
73,1257.36
74,1272.65
75,1287.96
76,1303.51
77,1317.76
78,1331.31
79,1346.77
80,1364.31
81,1377.94
82,1394.18
83,1407.75
84,1423.16
85,1438.6
86,1453.89
87,1469.4
88,1487.22
89,1502.56
90,1520.28
91,1535.67
92,1553.39
93,1569.04
94,1584.62
95,1600.03
96,1617.19
97,1634.21
98,1649.2
99,1664.55
100,1681.9
101,1697.29
102,1712.76
103,1728.45
104,1745.66
105,1760.92
106,1776.25
107,1791.48
108,1806.66
109,1821.98
110,1839.31
111,1856.91
112,1872.63
113,1890.22
114,1905.63
115,1920.89
116,1936.66
117,1951.66
118,1967.14
119,1982.75
120,2000.02
121,2015.34
122,2032.69
123,2048.18
124,2063.69
125,2081.43
126,2097.11
127,2112.51
128,2129.94
129,2147.27
130,2162.74
131,2177.98
132,2195.53
133,2211.13
134,2226.48
135,2244.12
136,2259.6
137,2274.88
138,2292.25
139,2309.85
140,2325.4
141,2341.16
142,2356.92
143,2374.35
144,2392.01
145,2407.51
146,2425.35
147,2442.89
148,2458.4
149,2473.99
150,2489.31
151,2507.32
152,2522.54
153,2537.88
154,2551.61
155,2567.23
156,2582.77
157,2598.51
158,2615.86
159,2630.99
160,2648.43
161,2663.75
162,2679.04
163,2694.2
164,2709.85
165,2725.3
166,2741
167,2756.52
168,2771.81
169,2787.74
170,2803.44
171,2818.61
172,2834.26
173,2851.76
174,2867.14
175,2882.98
176,2898.54
177,2914.2
178,2931.78
179,2947.12
180,2962.12
181,2977.3
182,2992.39
183,3009.55
184,3024.89
185,3040.05
186,3055.43
187,3072.48
188,3090.14
189,3105.6
190,3123.24
191,3138.56
192,3153.67
193,3169.04
194,3184.45
195,3200.07
196,3215.73
197,3231.08
198,3246.3
199,3263.82
200,3281.11
201,3296.21
202,3311.93
203,3327.43
204,3344.83
205,3359.9
206,3375.04
207,3390.72
208,3407.82
209,3423.15
210,3440.1
211,3457.24
212,3474.4
213,3490.22
214,3505.54
215,3522.64
216,3540.27
217,3557.82
218,3573.23
219,3588.33
220,3605.73
221,3621.03
222,3638.5
223,3651.59
224,3666.87
225,3682.69
226,3700.07
227,3715.26
228,3732.28
229,3745.86
230,3761.23
231,3776.64
232,3792.01
233,3809.75
234,3825.42
235,3840.57
236,3856
237,3873.94
238,3893.24
239,3909.33
240,3928.35
241,3944.13
242,3961.92
243,3977.47
244,3990.84
245,4006.35
246,4024.64
247,4040.75
248,4059.02
249,4074.67
250,4090.12
251,4106.01
252,4123.67
253,4141.69
254,4159.88
255,4173.32
256,4186.8
257,4202.3
258,4217.6
259,4232.96
260,4248.21
261,4263.25
262,4278.54
263,4291.86
264,4307.15
265,4323.04
266,4336.58
267,4352.09
268,4367.63
269,4385.01
270,4402.3
271,4417.66
272,4432.67
273,4448.01
274,4463.7
275,4479.15
276,4494.74
277,4510.57
278,4525.76
279,4541.51
280,4558.89
281,4574.11
282,4591.5
283,4606.81
284,4622.25
285,4637.51
286,4652.55
287,4667.89
288,4683.13
289,4698.57
290,4714.12
291,4731.77
292,4749.68
293,4767.24
294,4782.99
295,4800.51
296,4816.5
297,4833.84
298,4849.21
299,4864.42
300,4879.8
301,4895.26
302,4910.96
303,4926.49
304,4941.65
305,4959.3
306,4974.61
307,4989.71
308,5005.13
309,5020.62
310,5035.93
311,5051.44
312,5066.63
313,5084.17
314,5099.44
315,5116.76
316,5132.29
317,5147.77
318,5163.63
319,5181.64
320,5198.88
321,5214.28
322,5231.29
323,5246.83
324,5262.11
325,5277.44
326,5292.8
327,5308.26
328,5323.57
329,5338.69
330,5353.83
331,5369.32
332,5386.78
333,5404.36
334,5419.67
335,5435.23
336,5450.47
337,5468.14
338,5483.31
339,5500.37
340,5515.73
341,5533.21
