mcmc step, learning time
0,1.53
1,2.78
2,4.02
3,5.26
4,6.52
5,7.72
6,8.93
7,10.08
8,11.31
9,12.49
10,13.67
11,14.85
12,16.01
13,17.21
14,18.38
15,19.55
16,20.7
17,21.85
18,23.06
19,24.24
20,25.4
21,26.56
22,27.73
23,28.93
24,30.08
25,31.22
26,32.38
27,33.53
28,34.7
29,35.93
30,37.16
31,38.36
32,39.54
33,40.78
34,42.03
35,43.25
36,44.41
37,45.63
38,46.82
39,47.99
40,49.15
41,50.33
42,51.51
43,52.69
44,53.87
45,55.12
46,56.27
47,57.42
48,58.57
49,59.79
50,60.96
51,62.14
52,63.3
53,64.47
54,65.63
55,66.83
56,68.03
57,69.2
58,70.39
59,71.59
60,72.8
61,73.98
62,75.2
63,76.42
64,77.61
65,78.82
66,80.03
67,81.2
68,82.37
69,83.55
70,84.72
71,85.89
72,87.05
73,88.24
74,89.43
75,90.67
76,91.9
77,93.41
78,94.7
79,95.94
80,97.2
81,98.45
82,99.66
83,100.94
84,102.2
85,103.4
86,104.6
87,105.79
88,107.01
89,108.2
90,109.45
91,110.69
92,111.94
93,113.13
94,114.34
95,115.5
96,116.7
97,117.89
98,119.09
99,120.29
100,121.54
101,122.73
102,123.93
103,125.13
104,126.3
105,127.53
106,128.73
107,129.98
108,131.23
109,132.51
110,133.72
111,134.96
112,136.22
113,137.46
114,138.67
115,139.85
116,141.03
117,142.22
118,143.39
119,144.55
120,145.71
121,146.84
122,148.05
123,149.26
124,150.48
125,151.67
126,152.85
127,154.07
128,155.23
129,156.46
130,157.63
131,158.79
132,159.97
133,161.18
134,162.38
135,163.58
136,164.87
137,166.1
138,167.31
139,168.55
140,169.76
141,171
142,172.23
143,173.46
144,174.69
145,175.98
146,177.19
147,178.41
148,179.63
149,180.83
150,182.08
151,183.3
152,184.52
153,185.72
154,186.92
155,188.15
156,189.4
157,190.61
158,191.84
159,193.03
160,194.23
161,195.45
162,196.64
163,197.85
164,199.06
165,200.29
166,201.55
167,202.74
168,203.94
169,205.2
170,206.49
171,207.64
172,208.83
173,210
174,211.17
175,212.45
