mcmc step, learning time
0,2.37
1,4.26
2,6.3
3,8.31
4,10.26
5,12.19
6,14.06
7,16
8,17.91
9,19.86
10,21.82
11,23.88
12,26.27
13,28.21
14,30.22
15,32.33
16,34.24
17,36.23
18,38.15
19,40.19
20,42.14
21,44.11
22,46.05
23,48
24,50.09
25,52.05
26,54.03
27,56.04
28,57.96
29,59.89
30,61.84
31,63.94
32,66.02
33,68.09
34,70.41
35,72.42
36,74.44
37,76.41
38,78.35
39,80.35
40,82.39
41,84.42
42,86.43
43,88.52
44,90.48
45,93.03
46,94.97
47,96.91
48,98.95
49,101.14
50,103.13
51,105.13
52,107.09
53,109.03
54,111.02
55,113.03
56,115.12
57,117.36
58,119.36
59,121.34
60,123.32
61,125.35
62,127.33
63,129.28
64,131.31
65,133.3
66,135.27
67,137.23
68,139.18
69,141.11
70,143.13
71,145.1
72,147.1
73,149.11
74,151.06
75,153.12
76,155.12
77,157.48
78,159.53
79,161.52
80,163.47
81,165.4
82,168.04
83,170.14
84,172.14
85,174.06
86,176.01
87,178
88,180.24
89,182.19
90,184.25
91,186.21
92,188.19
93,190.19
94,192.44
95,194.72
96,196.66
97,198.63
98,200.63
99,202.63
100,204.57
101,206.56
102,208.53
103,210.98
104,212.95
105,215.02
106,217.11
107,219.07
108,221.02
109,223.17
110,225.08
111,227.11
112,229.13
113,231.18
114,233.18
115,235.15
116,237.76
117,239.72
118,241.84
119,243.81
120,245.81
121,247.87
122,249.84
123,251.79
124,253.79
125,255.96
126,258.1
127,260.13
128,262.33
129,264.36
130,266.4
131,268.35
132,270.32
133,272.29
134,274.26
135,276.52
136,278.49
137,280.5
138,282.51
139,284.59
140,286.67
141,288.64
142,290.81
143,292.76
144,294.71
145,296.7
146,298.67
147,300.64
148,302.62
149,304.58
150,306.52
151,308.95
152,310.94
153,312.9
154,315.18
155,317.14
156,319.19
157,321.2
158,323.21
159,325.18
160,327.16
161,329.15
162,331.1
163,333.1
164,335.08
165,337.19
166,339.29
167,341.42
168,343.42
169,345.56
170,347.79
171,349.75
172,351.7
173,353.67
174,355.65
175,357.79
176,359.84
177,361.98
178,364.11
179,366.12
180,368.06
181,370.02
182,371.97
183,373.95
184,375.87
185,377.82
186,379.78
187,381.75
188,384.21
189,386.19
190,388.2
191,390.14
192,392.1
193,394.07
194,396.01
195,397.99
196,400
197,401.96
198,403.88
199,405.87
200,407.89
201,409.82
202,411.77
203,414.1
204,416.06
205,418.01
206,419.98
207,422.28
208,424.22
209,426.15
210,428.1
211,430.05
212,431.98
213,434.05
214,435.98
215,437.96
216,439.94
217,441.96
218,443.87
219,445.8
220,447.77
221,449.8
222,451.76
223,453.7
224,455.65
225,457.66
226,459.57
227,461.53
228,463.5
229,465.59
230,467.54
