mcmc step, learning time
0,0.08
1,0.14
2,0.2
3,0.27
4,0.33
5,0.4
6,0.46
7,0.53
8,0.62
9,0.69
10,0.75
11,0.81
12,0.88
13,0.94
14,0.99
15,1.05
16,1.11
17,1.17
18,1.24
19,1.31
20,1.38
21,1.45
22,1.52
23,1.6
24,1.67
25,1.74
26,1.81
27,1.88
28,1.95
29,2.02
30,2.1
31,2.17
32,2.24
33,2.31
34,2.37
35,2.43
36,2.5
37,2.56
38,2.62
39,2.68
40,2.74
41,2.81
42,2.88
43,2.95
44,3.02
45,3.1
46,3.18
47,3.25
48,3.32
49,3.39
50,3.46
51,3.54
52,3.6
53,3.68
54,3.76
55,3.84
56,3.9
57,3.97
58,4.04
59,4.12
60,4.19
61,4.27
62,4.34
63,4.41
64,4.48
65,4.54
66,4.61
67,4.68
68,4.75
69,4.82
70,4.9
71,4.96
72,5.04
73,5.1
74,5.18
75,5.25
76,5.33
77,5.39
78,5.46
79,5.52
80,5.6
81,5.67
82,5.75
83,5.83
84,5.9
85,5.98
86,6.06
87,6.14
88,6.22
89,6.3
90,6.38
91,6.45
92,6.53
93,6.61
94,6.7
95,6.77
96,6.84
97,6.92
98,7
99,7.09
100,7.17
101,7.24
102,7.31
103,7.39
104,7.47
105,7.55
106,7.63
107,7.7
108,7.78
109,7.86
110,7.92
111,7.98
112,8.05
113,8.13
114,8.2
115,8.28
116,8.36
117,8.43
118,8.52
119,8.59
120,8.67
121,8.75
122,8.83
123,8.91
124,8.99
125,9.08
126,9.17
127,9.24
128,9.32
129,9.39
130,9.47
131,9.55
132,9.63
133,9.71
134,9.79
135,9.87
136,9.96
137,10.03
138,10.1
139,10.18
140,10.25
141,10.33
142,10.41
143,10.48
144,10.57
145,10.65
146,10.73
147,10.82
148,10.91
149,11
150,11.09
151,11.16
152,11.24
153,11.32
154,11.39
155,11.46
156,11.53
157,11.6
158,11.67
159,11.75
160,11.84
161,11.93
162,12
163,12.07
164,12.14
165,12.22
166,12.3
167,12.38
168,12.46
169,12.53
170,12.61
171,12.68
172,12.76
173,12.84
174,12.93
175,13.01
176,13.11
177,13.2
178,13.28
179,13.35
