mcmc step, learning time
0,1.34
1,4.83
2,10.7
3,14.17
4,19.77
5,23.15
6,28.61
7,34.2
8,37.6
9,40.85
10,44.29
11,47.6
12,50.9
13,54.18
14,59.38
15,62.82
16,66.21
17,71.62
18,77
19,80.5
20,83.8
21,89.05
22,94.38
23,97.73
24,101.17
25,106.52
26,109.87
27,113.28
28,116.75
29,122.19
30,125.6
31,129.07
32,132.59
33,136.03
34,139.63
35,145.14
36,150.56
37,153.87
38,159.29
39,162.68
40,166.07
41,171.47
42,174.94
43,180.45
44,183.86
45,187.24
46,190.59
47,196.02
48,201.48
49,204.92
50,210.52
51,213.93
52,219.62
53,223.27
54,226.65
55,230.07
56,233.72
57,237.24
58,242.67
59,246.02
60,249.53
61,255.25
62,258.69
63,262.14
64,267.61
65,271.04
66,274.63
67,278.03
68,283.35
69,286.73
70,290.09
71,293.49
72,299.02
73,302.5
74,306.05
75,309.56
76,313.17
77,314.6
78,315.95
79,319.52
80,325.21
81,326.68
82,330.22
83,331.51
84,334.98
85,338.39
86,342.02
87,345.57
88,351.25
89,354.67
90,360.39
91,363.87
92,369.52
93,373.16
94,376.52
95,380.02
96,385.54
97,391.02
98,394.34
99,397.89
100,403.32
101,406.92
102,410.39
103,413.84
104,419.39
105,422.79
106,426.19
107,429.68
108,433.11
109,436.55
110,441.97
111,447.57
112,451.22
113,456.8
114,460.27
115,463.77
116,467.09
117,470.48
118,473.85
119,477.65
120,483.1
121,486.55
122,492.1
123,495.55
124,499.01
125,504.5
126,507.96
127,511.38
128,516.92
129,522.33
130,525.93
131,529.33
132,534.86
133,538.39
134,541.89
135,547.4
136,551.1
137,554.61
138,560.15
139,565.77
140,569.34
141,572.8
142,576.5
143,582.14
144,587.92
145,591.5
146,597.21
147,602.79
148,606.29
149,609.8
150,613.31
151,618.94
152,622.42
153,625.82
154,627.18
155,630.75
156,634.23
157,637.88
158,643.33
159,646.8
160,652.22
161,655.67
162,659.09
163,662.4
164,665.88
165,669.21
166,672.79
167,676.26
168,679.85
169,683.43
170,686.99
171,690.35
172,694.04
173,699.54
174,702.98
175,706.55
176,710.03
177,713.66
178,719.21
179,722.56
180,725.81
181,729.24
182,732.64
183,738.12
184,741.6
185,744.96
186,748.29
187,753.68
188,758.95
189,762.37
190,767.97
191,771.43
192,774.91
193,778.29
194,781.72
195,785.34
196,788.92
197,792.34
198,795.89
199,801.33
200,806.56
201,809.94
202,813.62
203,816.96
204,822.45
205,825.84
206,829.24
207,832.71
208,838.08
209,841.64
210,847.01
211,852.43
212,857.76
213,861.2
214,864.78
215,870.24
216,875.87
217,881.25
218,884.77
219,888.27
220,893.67
221,897.15
222,902.7
223,904.03
224,907.47
225,911.44
226,916.99
227,920.26
228,925.7
229,926.99
230,930.4
231,933.85
232,937.41
233,943.03
234,946.64
235,950.06
236,953.68
237,959.63
238,966.14
239,969.8
240,975.83
241,979.34
242,985.01
243,988.5
244,989.9
245,993.46
246,999.49
247,1003.13
248,1008.99
249,1012.52
250,1015.96
251,1019.57
252,1025.13
253,1031.06
254,1037.08
255,1038.4
256,1039.8
257,1043.47
258,1046.81
259,1050.31
260,1053.81
261,1057.4
262,1060.93
263,1062.37
264,1065.88
265,1069.66
266,1071.1
267,1074.55
268,1078.08
269,1083.64
270,1089.01
271,1092.47
272,1096.01
273,1099.51
274,1103.02
275,1106.5
276,1109.91
277,1113.33
278,1116.81
279,1120.3
280,1125.79
281,1129.23
282,1134.53
283,1138.02
284,1141.49
285,1144.98
286,1148.3
287,1151.52
288,1154.81
289,1158.28
290,1161.69
291,1167.29
292,1173
293,1178.48
294,1181.97
295,1187.43
296,1190.87
297,1196.28
298,1199.6
299,1202.99
300,1206.46
301,1209.95
302,1213.44
303,1216.8
304,1220.15
305,1225.63
306,1229.03
307,1232.4
308,1235.74
309,1239.13
310,1242.56
311,1246.08
312,1249.49
313,1255.2
314,1258.67
315,1264.15
316,1267.57
317,1271.02
318,1274.55
319,1280.26
320,1285.7
321,1289.08
322,1294.44
323,1297.94
324,1301.44
325,1304.91
326,1308.38
327,1311.88
328,1315.26
329,1318.75
330,1322.14
331,1325.66
332,1331.17
333,1336.58
334,1340.11
335,1343.69
336,1347.15
337,1352.68
338,1356.16
339,1361.61
340,1365.16
341,1370.65
342,1376.1
343,1379.58
344,1383.01
345,1388.63
346,1394.3
347,1397.86
348,1403.35
349,1406.84
350,1412.4
351,1415.95
352,1419.57
353,1425.14
354,1428.69
355,1432.19
356,1435.8
357,1439.24
358,1442.7
359,1446.32
360,1449.91
361,1453.31
362,1456.86
363,1460.41
364,1465.99
365,1471.54
366,1475.19
367,1481.07
368,1484.61
369,1488.21
370,1491.75
371,1495.27
372,1498.72
373,1504.21
374,1507.82
375,1511.46
376,1514.98
377,1518.51
378,1523.99
379,1527.52
380,1531.13
381,1536.73
382,1540.15
383,1543.71
384,1549.23
385,1552.79
386,1556.29
387,1557.61
388,1561.17
389,1564.69
390,1568.16
391,1571.77
392,1575.26
393,1580.85
394,1586.44
395,1592.07
396,1595.62
397,1601.21
398,1606.92
399,1608.31
400,1613.99
401,1619.75
402,1625.49
403,1629
404,1632.39
405,1636.01
406,1641.72
407,1643.1
408,1644.42
409,1647.92
410,1651.56
411,1655.15
412,1656.54
413,1662.03
414,1665.58
415,1671.26
416,1676.95
417,1680.35
418,1684.04
419,1687.7
420,1691.22
421,1694.67
422,1700.23
423,1703.64
424,1707.26
425,1712.74
426,1716.19
427,1719.69
428,1725.25
429,1728.66
430,1732.3
431,1737.98
432,1741.48
433,1747.01
434,1750.49
435,1754.09
436,1759.68
437,1765.41
438,1768.82
439,1772.26
440,1775.85
441,1779.42
442,1783.03
443,1786.66
444,1792.32
445,1795.86
446,1801.44
447,1807.01
448,1810.45
449,1815.97
450,1817.25
451,1820.87
452,1824.32
453,1829.92
454,1835.63
455,1839.02
456,1842.56
457,1845.99
458,1847.4
459,1848.76
460,1850.19
461,1853.65
462,1856.98
463,1858.28
464,1859.81
465,1865.5
466,1868.94
467,1870.29
468,1873.83
469,1877.4
