mcmc step, learning time
0,0.06
1,0.1
2,0.16
3,0.2
4,0.26
5,0.31
6,0.37
7,0.43
8,0.49
9,0.54
10,0.59
11,0.65
12,0.69
13,0.75
14,0.8
15,0.86
16,0.91
17,0.96
18,1.01
19,1.07
20,1.12
21,1.18
22,1.24
23,1.29
24,1.35
25,1.41
26,1.46
27,1.51
28,1.56
29,1.61
30,1.66
31,1.71
32,1.76
33,1.81
34,1.87
35,1.93
36,1.98
37,2.04
38,2.09
39,2.15
40,2.2
41,2.25
42,2.3
43,2.36
44,2.41
45,2.46
46,2.53
47,2.58
48,2.63
49,2.68
50,2.74
51,2.79
52,2.85
53,2.9
54,2.95
55,3
56,3.05
57,3.1
58,3.16
59,3.2
60,3.25
61,3.31
62,3.37
63,3.42
64,3.47
65,3.51
66,3.56
67,3.62
68,3.67
69,3.72
70,3.77
71,3.83
72,3.89
73,3.95
74,4
75,4.06
76,4.12
77,4.19
78,4.25
79,4.29
80,4.33
81,4.38
82,4.44
83,4.49
84,4.54
85,4.6
86,4.66
87,4.72
88,4.77
89,4.83
90,4.88
91,4.93
92,4.99
93,5.04
94,5.1
95,5.16
96,5.22
97,5.28
98,5.33
99,5.39
100,5.45
101,5.5
102,5.55
103,5.61
104,5.67
105,5.72
106,5.77
107,5.82
108,5.87
109,5.92
110,5.98
111,6.04
112,6.09
113,6.14
114,6.2
115,6.26
116,6.31
117,6.36
118,6.42
119,6.47
120,6.52
121,6.58
122,6.63
123,6.68
124,6.73
125,6.78
126,6.83
127,6.87
128,6.93
129,6.98
130,7.04
131,7.1
132,7.16
133,7.21
134,7.27
135,7.32
136,7.37
137,7.43
138,7.47
139,7.53
140,7.59
141,7.64
142,7.7
143,7.75
144,7.8
145,7.85
146,7.91
147,7.97
148,8.03
149,8.08
150,8.14
151,8.19
152,8.25
153,8.31
154,8.37
155,8.43
156,8.49
157,8.55
158,8.61
159,8.67
160,8.72
161,8.77
162,8.82
163,8.89
164,8.95
165,9
166,9.06
167,9.1
168,9.16
169,9.21
170,9.26
171,9.31
172,9.36
173,9.42
174,9.47
175,9.53
176,9.57
177,9.63
178,9.69
179,9.75
180,9.8
181,9.86
182,9.91
183,9.97
184,10.02
185,10.06
186,10.11
187,10.16
188,10.21
189,10.26
190,10.31
191,10.37
192,10.41
193,10.46
194,10.51
195,10.56
196,10.61
197,10.66
198,10.71
199,10.77
200,10.82
201,10.88
202,10.93
203,10.98
204,11.04
205,11.09
206,11.14
207,11.2
208,11.25
209,11.3
210,11.35
211,11.4
212,11.45
213,11.51
214,11.55
215,11.61
216,11.65
217,11.71
218,11.77
219,11.82
220,11.88
221,11.93
222,11.98
223,12.03
224,12.08
225,12.13
226,12.19
227,12.25
228,12.3
229,12.36
230,12.41
231,12.46
232,12.5
233,12.55
234,12.6
235,12.66
236,12.71
237,12.76
238,12.83
239,12.9
240,12.97
241,13.03
242,13.08
243,13.13
244,13.19
245,13.25
246,13.31
247,13.37
248,13.42
249,13.47
250,13.53
251,13.58
252,13.64
253,13.69
254,13.75
255,13.81
256,13.86
257,13.91
258,13.96
259,14.03
260,14.08
261,14.14
262,14.2
263,14.25
264,14.31
265,14.36
266,14.41
267,14.45
268,14.5
269,14.56
270,14.61
271,14.66
272,14.71
273,14.77
274,14.82
275,14.87
276,14.91
277,14.97
278,15.02
279,15.07
280,15.12
281,15.16
282,15.21
283,15.26
284,15.32
285,15.37
286,15.42
287,15.48
288,15.55
289,15.59
290,15.66
291,15.71
292,15.77
293,15.83
294,15.88
295,15.92
296,15.98
297,16.03
298,16.07
299,16.11
300,16.17
301,16.23
302,16.28
303,16.33
304,16.38
305,16.42
306,16.47
307,16.52
308,16.58
309,16.64
310,16.7
311,16.75
312,16.8
313,16.85
314,16.91
315,16.97
316,17.02
317,17.08
318,17.14
319,17.19
320,17.25
321,17.31
322,17.36
323,17.42
324,17.48
325,17.54
326,17.6
327,17.65
