mcmc step, learning time
0,91.01
1,99.66
2,107.85
3,116.49
4,124.69
5,133.12
6,141.72
7,150.09
8,158.46
9,166.84
10,175.27
11,183.9
12,192.22
13,200.85
14,209.24
15,217.59
16,226.01
17,234.73
18,243.19
19,251.67
20,260.31
21,268.61
22,277.11
23,285.76
24,294.34
25,302.66
26,311.05
27,319.63
28,328.03
29,336.22
30,344.65
31,353.1
32,361.79
33,370.43
34,378.87
35,387.84
36,396.33
37,404.91
38,413.48
39,422.05
40,430.37
41,438.76
42,447.61
43,456.46
44,465.05
45,473.74
46,482.29
47,490.48
48,498.76
49,507.38
50,516.05
51,524.86
52,533.44
53,541.9
54,550.61
55,559.13
56,567.75
57,576.24
58,584.84
59,593.19
60,602.04
61,610.49
62,619.24
63,628.07
64,636.89
65,645.42
66,653.93
67,662.51
68,670.95
69,679.59
70,688.18
71,696.7
72,705.11
73,713.56
74,722.11
75,730.55
76,739.2
77,748.08
78,756.88
79,765.5
80,774.1
81,783.03
82,791.82
83,800.67
84,809.3
85,818.15
86,826.6
87,835.32
88,843.95
89,852.67
90,861.31
91,869.97
92,878.75
93,887.52
94,896.22
95,904.63
96,913.07
97,921.39
98,929.81
99,938.35
100,947.02
101,955.58
102,964.36
103,972.89
104,981.35
105,989.86
106,998.45
107,1006.93
108,1015.43
109,1023.83
110,1032.56
111,1041.23
112,1049.97
113,1058.64
114,1067.31
115,1075.86
116,1084.47
117,1092.88
118,1101.64
119,1110.27
120,1118.88
121,1127.5
122,1136.07
123,1144.9
124,1153.68
125,1162.52
126,1171.37
127,1180.06
128,1188.53
129,1197.14
130,1205.74
131,1214.41
132,1223.22
133,1232.06
134,1240.68
135,1249.3
136,1257.77
137,1266.24
138,1274.81
139,1283.41
140,1292.04
141,1301.08
142,1309.68
143,1318.24
144,1326.89
145,1335.48
146,1344.37
147,1353.08
148,1361.83
149,1370.7
150,1379.26
151,1387.94
152,1396.41
153,1405.13
154,1413.96
155,1422.76
156,1431.46
157,1440.27
158,1448.87
159,1457.31
160,1466.1
161,1474.71
162,1483.39
163,1491.96
164,1500.88
165,1509.61
166,1518.31
167,1527
168,1535.44
169,1544.34
170,1552.91
171,1561.56
172,1570.33
173,1579.13
174,1587.87
175,1596.66
176,1605.43
177,1613.97
178,1622.64
179,1631.37
180,1639.97
181,1648.49
182,1656.99
183,1665.46
184,1674.17
185,1682.83
186,1691.67
187,1700.14
188,1708.88
189,1717.71
190,1726.5
191,1735.19
192,1743.66
193,1752.45
194,1761.28
