mode likelihood,mean likelihood
-5.76753,-5.68343
-5.65408,-5.71678
-5.6778,-5.71624
-5.69227,-5.68475
-5.67527,-5.6798
-5.64273,-5.67537
-5.66614,-5.63911
-5.62902,-5.67955
-5.66814,-5.66307
-5.63484,-5.64375
-5.70749,-5.6309
-5.62408,-5.65849
-5.62475,-5.65163
-5.62194,-5.6436
-5.57197,-5.66284
-5.63643,-5.63756
-5.61357,-5.65034
-5.60422,-5.6555
-5.60698,-5.65951
-5.60338,-5.69765
-5.56257,-5.65399
-5.55761,-5.66362
-5.58476,-5.6004
-5.62002,-5.65135
-5.51138,-5.64868
-5.5034,-5.64947
-5.55275,-5.64251
-5.63682,-5.65971
-5.66065,-5.64105
-5.6049,-5.62448
-5.52556,-5.62936
-5.61164,-5.63131
-5.59365,-5.65354
-5.60706,-5.65509
-5.54234,-5.65672
-5.57348,-5.66624
-5.56627,-5.65004
-5.53164,-5.66842
-5.52731,-5.63891
-5.51083,-5.68185
-5.53177,-5.62245
-5.53952,-5.60519
-5.58784,-5.6906
-5.53262,-5.60452
-5.52346,-5.61611
-5.55425,-5.66999
-5.56175,-5.65355
-5.54959,-5.62395
-5.58777,-5.67862
-5.46933,-5.64871
-5.59283,-5.66486
-5.5432,-5.62843
-5.52344,-5.6651
-5.53083,-5.676
-5.52404,-5.67241
-5.54831,-5.62618
-5.54631,-5.6457
-5.52642,-5.61013
-5.5626,-5.65972
-5.50838,-5.67926
-5.60867,-5.6713
-5.55023,-5.60312
-5.46458,-5.62707
-5.49782,-5.63517
-5.52664,-5.67821
-5.58769,-5.64707
-5.54264,-5.66427
-5.52457,-5.64707
-5.55093,-5.64395
-5.54677,-5.6568
-5.51083,-5.6338
-5.48817,-5.63229
-5.49018,-5.6382
-5.47491,-5.65681
-5.53798,-5.63576
-5.53375,-5.60955
-5.51539,-5.61835
-5.44829,-5.61156
-5.47968,-5.62576
-5.49251,-5.66693
-5.49936,-5.67561
-5.57167,-5.66853
-5.5317,-5.62283
-5.50154,-5.66462
-5.56375,-5.73395
-5.55172,-5.67072
-5.57114,-5.64337
-5.56205,-5.69177
-5.54487,-5.66042
-5.59198,-5.63416
-5.5784,-5.66069
-5.535,-5.69161
-5.50891,-5.63304
-5.49715,-5.68353
-5.44094,-5.6842
-5.55123,-5.63913
-5.73406,-5.66792
-5.59373,-5.63158
-5.78265,-5.64631
-5.59299,-5.62515
-5.57096,-5.67133
-5.56499,-5.60286
-5.50428,-5.62328
-5.5362,-5.64039
-5.50156,-5.60395
-5.50171,-5.63832
-5.52054,-5.63202
-5.4951,-5.65839
-5.61197,-5.63741
-5.53235,-5.66667
-5.564,-5.64331
-5.53188,-5.68176
-5.4772,-5.63905
-5.45509,-5.6764
-5.48379,-5.64068
-5.48377,-5.65904
-5.55902,-5.65466
-5.57061,-5.6445
-5.6589,-5.63728
-5.54748,-5.64696
-5.47693,-5.66268
-5.47149,-5.66804
-5.48644,-5.73654
-5.5454,-5.65887
-5.53414,-5.6907
-5.47664,-5.6351
-5.55522,-5.68583
-5.51963,-5.68396
-5.52091,-5.68628
-5.51071,-5.6731
-5.58855,-5.68111
-5.6074,-5.64262
-7.37626,-5.66856
-5.64621,-5.6719
-5.45964,-5.6334
-5.46208,-5.59729
-5.54382,-5.69111
-5.97452,-5.66773
-5.51475,-5.6751
-5.54781,-5.68542
-5.79655,-5.65954
-5.59444,-5.67262
-5.52243,-5.68371
-5.51452,-5.65437
-5.46722,-5.67095
-5.57622,-5.67147
-7.70078,-5.65309
-5.55239,-5.66312
-5.56844,-5.6675
-5.56286,-5.64272
-5.50305,-5.6533
-5.46632,-5.65875
-5.4917,-5.6553
-5.60062,-5.66584
-5.57296,-5.63349
-5.48058,-5.6696
-5.60127,-5.66386
-5.50539,-5.65937
-5.84572,-5.68294
-5.51543,-5.65403
-5.46762,-5.67872
-5.47812,-5.64962
-5.53181,-5.63781
-5.46385,-5.69653
-5.65026,-5.68767
-5.68767,-5.66145
-5.53559,-5.63544
-5.49563,-5.63764
-5.57145,-5.65563
-5.54227,-5.67569
-5.46164,-5.63634
-6.21972,-5.69278
-5.5076,-5.66518
-5.5802,-5.646
-5.4382,-5.66893
-5.53722,-5.67372
-5.47848,-5.68276
-5.4699,-5.66022
-5.55093,-5.64436
-5.75306,-5.63325
-5.57394,-5.65292
-5.50988,-5.66136
-10.3984,-5.67349
-5.57187,-5.71069
-6.23305,-5.69315
-5.55367,-5.62795
-5.53758,-5.69086
-5.4976,-5.66973
-5.52052,-5.69354
-5.60683,-5.66289
-5.51653,-5.65341
-5.59613,-5.69448
-5.46396,-5.67887
-5.40265,-5.66947
-5.49532,-5.68714
-5.53264,-5.70379
-5.49028,-5.67497
-5.48129,-5.66694
-5.58229,-5.68317
-5.51317,-5.72062
-5.49419,-5.65668
-5.45201,-5.69534
-5.48222,-5.65023
-5.54354,-5.65347
-5.54306,-5.66356
-5.44463,-5.64089
-5.54121,-5.62313
-5.62787,-5.66459
-5.58691,-5.63881
-5.54417,-5.64651
-5.52859,-5.6923
-5.54022,-5.65129
-5.51392,-5.71767
-6.52044,-5.69227
-5.5693,-5.66243
-5.45113,-5.6479
-5.58452,-5.67379
-5.72304,-5.69884
-5.66382,-5.68366
-5.51211,-5.6774
-5.51512,-5.69717
-5.51173,-5.6866
-5.5903,-5.65761
-5.48099,-5.70774
-5.5145,-5.68808
-5.51982,-5.64204
-5.63206,-5.72933
-5.42189,-5.66125
-5.49447,-5.70354
-5.42907,-5.68991
-5.64379,-5.69824
-5.44384,-5.68703
-5.55166,-5.72614
-5.70007,-5.69422
-5.49971,-5.6423
-5.56806,-5.64229
-5.51424,-5.67526
-5.91169,-5.69401
-5.52662,-5.65819
-5.47009,-5.70958
-5.47816,-5.67548
-5.55312,-5.64097
-5.52316,-5.65864
-5.49254,-5.65339
-8.57339,-5.6568
-5.83312,-5.659
-6.05607,-5.68963
-5.55626,-5.67178
-5.52365,-5.65464
-5.64187,-5.71695
-5.59502,-5.68971
-5.59082,-5.65607
-5.64503,-5.72761
-5.50307,-5.65656
-5.51804,-5.68125
-5.72327,-5.68413
-5.46689,-5.69966
-5.50504,-5.6831
-5.57482,-5.68661
-5.49124,-5.69756
-5.57095,-5.66482
-5.46719,-5.67483
-5.48764,-5.71377
-5.47249,-5.63944
-5.50879,-5.67107
-5.67541,-5.64511
-5.55268,-5.64618
-5.54589,-5.67511
-5.53546,-5.68093
-5.57842,-5.69101
-5.47449,-5.68046
-5.63043,-5.69593
-5.52672,-5.73808
-5.55347,-5.69477
-5.48544,-5.66379
-5.47294,-5.70449
-5.49014,-5.65761
-5.53193,-5.70395
-5.63031,-5.67801
-5.4877,-5.67996
-5.45861,-5.68359
-5.39065,-5.72092
-5.51674,-5.65142
-5.50907,-5.69986
-5.55967,-5.63044
-5.48288,-5.68848
-5.52614,-5.68518
-5.47001,-5.65803
-5.5314,-5.69096
-6.02361,-5.64041
-5.50309,-5.70493
-5.5541,-5.71516
-5.51044,-5.68714
-5.54689,-5.68111
-5.53755,-5.65992
-5.52757,-5.66108
-5.42451,-5.66281
-5.54886,-5.65834
-5.48236,-5.72496
-5.46122,-5.68504
-5.57573,-5.6765
-5.54671,-5.65788
-5.47422,-5.68888
-5.54849,-5.70629
-5.55507,-5.68113
-5.50706,-5.70343
-5.52102,-5.68121
-5.52042,-5.65445
-6.63779,-5.6931
-5.6466,-5.71815
-5.55767,-5.65164
-5.5271,-5.67146
-5.57676,-5.69139
-5.51665,-5.63881
-5.48564,-5.62118
-5.40845,-5.6786
-5.54805,-5.72379
-5.75167,-5.66248
-5.70501,-5.64846
-5.6288,-5.70634
-5.56495,-5.68759
-5.61585,-5.70237
-5.62433,-5.66442
-5.71676,-5.71359
-5.96801,-5.69682
-5.51229,-5.7098
-5.54386,-5.67448
-5.43646,-5.68948
-5.53147,-5.71165
-5.47261,-5.68389
-5.54535,-5.65267
-5.59585,-5.67551
-5.48999,-5.70396
-5.43987,-5.67272
-6.21108,-5.69068
-5.81185,-5.62637
-5.65095,-5.63521
-5.5989,-5.66682
-5.5706,-5.73788
-5.50804,-5.67153
-5.51761,-5.68375
-5.55237,-5.71019
-6.09994,-5.71418
-5.62741,-5.70206
-8.10491,-5.62748
-5.67579,-5.65448
-5.57468,-5.69221
-5.57499,-5.68388
-5.50953,-5.63994
-5.50298,-5.65578
-5.47737,-5.65911
-5.49329,-5.66036
-5.49224,-5.6407
-5.607,-5.67592
-5.52452,-5.69058
-5.58915,-5.66463
-5.54835,-5.71101
-5.51465,-5.73138
-5.47197,-5.6713
-5.6076,-5.65425
-5.51216,-5.69559
-5.60986,-5.68083
-5.55277,-5.68808
-5.53896,-5.6582
-5.51996,-5.73419
-5.52236,-5.66661
-5.5955,-5.67138
-5.50627,-5.65224
-5.51439,-5.701
-6.06955,-5.70633
-5.60848,-5.64281
-5.77699,-5.69205
-5.54747,-5.66126
-5.56057,-5.73447
-5.84971,-5.67647
-7.65368,-5.6937
-5.63742,-5.72559
-5.49615,-5.66812
-5.52291,-5.72745
-5.49405,-5.69062
-5.50797,-5.74176
-5.51411,-5.71713
-5.60254,-5.71758
-5.55137,-5.69898
-5.63151,-5.73401
-5.89793,-5.68685
-5.63586,-5.7269
-5.65959,-5.67311
-5.57904,-5.66744
-5.64623,-5.71854
-5.48761,-5.64969
-5.55365,-5.68038
-5.65406,-5.68777
-5.43999,-5.70916
-5.50302,-5.68205
-6.91714,-5.66228
-5.55982,-5.6931
-7.6801,-5.67505
-5.57506,-5.7471
-5.49458,-5.67198
-5.54891,-5.72933
-5.57334,-5.6723
-5.52756,-5.68873
-6.95741,-5.70529
-5.63999,-5.70119
-5.53238,-5.66381
-5.51906,-5.70744
-5.43061,-5.68928
-5.48946,-5.6506
-5.51517,-5.66114
-5.39753,-5.72076
-5.48511,-5.66686
-5.34987,-5.67929
-5.41663,-5.66192
-5.52255,-5.66815
-5.44828,-5.70433
-5.55151,-5.69065
-5.45159,-5.68023
-5.51174,-5.64485
-5.49731,-5.70393
-6.54457,-5.69385
-5.90234,-5.68251
-5.66453,-5.68943
-5.59758,-5.68892
-5.66904,-5.69343
-5.66768,-5.64168
-5.5841,-5.6597
-5.52355,-5.64606
-6.04307,-5.68299
-5.81898,-5.72953
-5.53909,-5.67584
-5.58817,-5.6704
-5.5975,-5.69634
-5.54576,-5.70487
-5.4524,-5.70102
-5.48593,-5.65957
-5.52581,-5.6633
-5.86414,-5.70137
-5.64237,-5.66966
-5.50441,-5.70708
-5.63304,-5.70197
-5.52218,-5.66557
-5.54812,-5.63509
-5.56957,-5.71501
-5.43898,-5.6846
-5.53085,-5.74222
-5.4624,-5.71146
-5.52842,-5.66925
-5.50019,-5.71493
-5.50762,-5.72014
-5.60367,-5.67971
-5.45545,-5.66858
-5.52963,-5.66862
-5.47142,-5.71255
-5.52214,-5.68997
-5.55772,-5.68106
-5.41331,-5.6738
-5.58997,-5.70669
-5.53417,-5.70836
-5.60574,-5.66399
-5.61031,-5.67574
-5.59606,-5.69969
-5.58452,-5.6984
-5.59233,-5.68632
-5.50791,-5.70582
-5.45264,-5.66724
-5.55881,-5.6976
-5.53012,-5.69909
-5.51101,-5.65776
-6.60694,-5.65821
-5.58469,-5.68702
-5.50274,-5.71364
-5.59577,-5.6567
-5.62482,-5.66867
-5.57626,-5.68735
-5.6008,-5.66782
-5.55628,-5.68297
-5.58769,-5.69233
-5.54018,-5.67662
-5.62014,-5.73091
-8.77289,-5.70068
-5.72742,-5.70258
-5.64202,-5.67332
-5.63425,-5.65949
-5.9772,-5.6869
-5.67432,-5.67766
-5.6319,-5.6756
-5.55509,-5.67081
-5.55849,-5.70292
-5.48966,-5.69279
-5.55479,-5.68042
-5.50515,-5.69553
-5.97051,-5.68509
-6.01431,-5.68936
-5.70949,-5.68532
-5.97362,-5.70165
-5.5349,-5.71226
-5.72324,-5.71002
-5.55012,-5.69071
-5.60914,-5.66862
