x,p_0
0.0052969,1.28131e-05
0.00530537,1.5854e-05
0.00531383,1.95763e-05
0.0053223,2.41227e-05
0.00533076,2.96639e-05
0.00533923,3.64031e-05
0.00534769,4.45814e-05
0.00535616,5.44849e-05
0.00536462,6.6452e-05
0.00537309,8.08812e-05
0.00538155,9.82416e-05
0.00539002,0.000119084
0.00539848,0.000144053
0.00540695,0.000173901
0.00541541,0.000209504
0.00542388,0.000251881
0.00543234,0.000302211
0.00544081,0.00036186
0.00544927,0.0004324
0.00545774,0.000515639
0.0054662,0.000613652
0.00547467,0.000728814
0.00548313,0.000863831
0.0054916,0.00102179
0.00550006,0.00120619
0.00550853,0.00142098
0.00551699,0.00167066
0.00552546,0.00196025
0.00553392,0.0022954
0.00554238,0.00268247
0.00555085,0.00312854
0.00555931,0.00364148
0.00556778,0.00423006
0.00557624,0.00490399
0.00558471,0.005674
0.00559317,0.00655191
0.00560164,0.0075507
0.0056101,0.00868459
0.00561857,0.00996913
0.00562703,0.0114212
0.0056355,0.0130593
0.00564396,0.0149033
0.00565243,0.0169747
0.00566089,0.0192966
0.00566936,0.021894
0.00567782,0.0247934
0.00568629,0.0280233
0.00569475,0.031614
0.00570322,0.0355976
0.00571168,0.040008
0.00572015,0.0448811
0.00572861,0.0502547
0.00573708,0.0561683
0.00574554,0.0626635
0.00575401,0.0697834
0.00576247,0.077573
0.00577094,0.0860791
0.0057794,0.0953501
0.00578787,0.105436
0.00579633,0.116389
0.00580479,0.128261
0.00581326,0.141107
0.00582172,0.154984
0.00583019,0.169948
0.00583865,0.18606
0.00584712,0.203378
0.00585558,0.221965
0.00586405,0.241884
0.00587251,0.263201
0.00588098,0.285982
0.00588944,0.310295
0.00589791,0.336213
0.00590637,0.363808
0.00591484,0.393158
0.0059233,0.424342
0.00593177,0.457444
0.00594023,0.492552
0.0059487,0.529758
0.00595716,0.569161
0.00596563,0.610866
0.00597409,0.654983
0.00598256,0.701632
0.00599102,0.750939
0.00599949,0.803043
0.00600795,0.858089
0.00601642,0.916235
0.00602488,0.97765
0.00603335,1.04252
0.00604181,1.11103
0.00605027,1.18339
0.00605874,1.25984
0.0060672,1.3406
0.00607567,1.42593
0.00608413,1.5161
0.0060926,1.61138
0.00610106,1.71209
0.00610953,1.81853
0.00611799,1.93103
0.00612646,2.04994
0.00613492,2.17561
0.00614339,2.3084
0.00615185,2.44869
0.00616032,2.59686
0.00616878,2.75331
0.00617725,2.91843
0.00618571,3.09261
0.00619418,3.27626
0.00620264,3.46975
0.00621111,3.67349
0.00621957,3.88784
0.00622804,4.11317
0.0062365,4.34982
0.00624497,4.59813
0.00625343,4.8584
0.0062619,5.13092
0.00627036,5.41593
0.00627883,5.71365
0.00628729,6.02429
0.00629576,6.34797
0.00630422,6.68483
0.00631268,7.03492
0.00632115,7.39828
0.00632961,7.77489
0.00633808,8.16469
0.00634654,8.56757
0.00635501,8.98339
0.00636347,9.41193
0.00637194,9.85297
0.0063804,10.3062
0.00638887,10.7713
0.00639733,11.248
0.0064058,11.7357
0.00641426,12.2341
0.00642273,12.7427
0.00643119,13.261
0.00643966,13.7885
0.00644812,14.3247
0.00645659,14.8689
0.00646505,15.4206
0.00647352,15.9793
0.00648198,16.5443
0.00649045,17.1152
0.00649891,17.6913
0.00650738,18.272
0.00651584,18.857
0.00652431,19.4455
0.00653277,20.0373
0.00654124,20.6317
0.0065497,21.2284
0.00655816,21.8271
0.00656663,22.4273
0.00657509,23.0288
0.00658356,23.6313
