x,p_0
0.0262887,0.000172467
0.0268388,0.000231187
0.027389,0.000308756
0.0279391,0.000410828
0.0284893,0.000544628
0.0290394,0.000719341
0.0295896,0.0009466
0.0301397,0.00124107
0.0306899,0.00162115
0.03124,0.00210985
0.0317902,0.00273577
0.0323403,0.00353437
0.0328905,0.00454931
0.0334406,0.00583425
0.0339908,0.00745469
0.0345409,0.00949033
0.0350911,0.0120376
0.0356412,0.0152128
0.0361914,0.0191553
0.0367415,0.0240315
0.0372917,0.030039
0.0378418,0.0374114
0.038392,0.0464236
0.0389421,0.0573971
0.0394923,0.0707064
0.0400424,0.0867855
0.0405926,0.106134
0.0411427,0.129326
0.0416928,0.157015
0.042243,0.189941
0.0427931,0.228941
0.0433433,0.27495
0.0438934,0.329013
0.0444436,0.392286
0.0449937,0.466039
0.0455439,0.551663
0.046094,0.650668
0.0466442,0.764679
0.0471943,0.895437
0.0477445,1.04479
0.0482946,1.21468
0.0488448,1.40712
0.0493949,1.62422
0.0499451,1.8681
0.0504952,2.14091
0.0510454,2.44479
0.0515955,2.78184
0.0521457,3.15406
0.0526958,3.56334
0.053246,4.01138
0.0537961,4.49968
0.0543463,5.02947
0.0548964,5.60167
0.0554466,6.21683
0.0559967,6.87506
0.0565469,7.57604
0.057097,8.31895
0.0576472,9.1024
0.0581973,9.92445
0.0587475,10.7825
0.0592976,11.6735
0.0598478,12.5936
0.0603979,13.5385
0.0609481,14.5031
0.0614982,15.4819
0.0620484,16.469
0.0625985,17.4576
0.0631487,18.441
0.0636988,19.4119
0.064249,20.3628
0.0647991,21.2861
0.0653493,22.1742
0.0658994,23.0196
0.0664495,23.8148
0.0669997,24.5529
0.0675498,25.2271
0.0681,25.8314
0.0686501,26.3603
0.0692003,26.809
0.0697504,27.1736
0.0703006,27.4509
0.0708507,27.6388
0.0714009,27.7361
0.071951,27.7424
0.0725012,27.6586
0.0730513,27.4863
0.0736015,27.2282
0.0741516,26.8878
0.0747018,26.4694
0.0752519,25.9781
0.0758021,25.4196
0.0763522,24.8003
0.0769024,24.1268
0.0774525,23.4063
0.0780027,22.6461
0.0785528,21.8536
0.079103,21.0363
0.0796531,20.2015
0.0802033,19.3562
0.0807534,18.5075
0.0813036,17.6616
0.0818537,16.8247
0.0824039,16.0023
