x,p_0
-842.104,1.07624e-10
-840.391,1.54955e-10
-838.677,2.2173e-10
-836.964,3.15327e-10
-835.251,4.45674e-10
-833.537,6.26028e-10
-831.824,8.73955e-10
-830.11,1.21256e-09
-828.397,1.67201e-09
-826.683,2.29135e-09
-824.97,3.1208e-09
-823.257,4.22435e-09
-821.543,5.68293e-09
-819.83,7.59811e-09
-818.116,1.00962e-08
-816.403,1.33331e-08
-814.69,1.74995e-08
-812.976,2.28265e-08
-811.263,2.95919e-08
-809.549,3.81266e-08
-807.836,4.88207e-08
-806.122,6.21301e-08
-804.409,7.85817e-08
-802.696,9.87786e-08
-800.982,1.23403e-07
-799.269,1.5322e-07
-797.555,1.89072e-07
-795.842,2.31881e-07
-794.129,2.82636e-07
-792.415,3.42387e-07
-790.702,4.12227e-07
-788.988,4.93271e-07
-787.275,5.86634e-07
-785.561,6.93399e-07
-783.848,8.14584e-07
-782.135,9.51106e-07
-780.421,1.10374e-06
-778.708,1.27307e-06
-776.994,1.45945e-06
-775.281,1.66299e-06
-773.567,1.88345e-06
-771.854,2.12028e-06
-770.141,2.37255e-06
-768.427,2.63898e-06
-766.714,2.91786e-06
-765,3.20713e-06
-763.287,3.50439e-06
-761.574,3.80691e-06
-759.86,4.1117e-06
-758.147,4.41559e-06
-756.433,4.71527e-06
-754.72,5.00744e-06
-753.006,5.28884e-06
-751.293,5.55639e-06
-749.58,5.80729e-06
-747.866,6.03909e-06
-746.153,6.24979e-06
-744.439,6.43791e-06
-742.726,6.60253e-06
-741.013,6.74334e-06
-739.299,6.86065e-06
-737.586,6.95534e-06
-735.872,7.02887e-06
-734.159,7.08318e-06
-732.445,7.12062e-06
-730.732,7.14384e-06
-729.019,7.15568e-06
-727.305,7.15903e-06
-725.592,7.15673e-06
-723.878,7.15139e-06
-722.165,7.14535e-06
-720.452,7.14051e-06
-718.738,7.13828e-06
-717.025,7.13951e-06
-715.311,7.14449e-06
-713.598,7.1529e-06
-711.884,7.16387e-06
-710.171,7.17604e-06
-708.458,7.18761e-06
-706.744,7.19646e-06
-705.031,7.20027e-06
-703.317,7.19667e-06
-701.604,7.18332e-06
-699.891,7.15809e-06
-698.177,7.1192e-06
-696.464,7.06526e-06
-694.75,6.99546e-06
-693.037,6.90956e-06
-691.323,6.80796e-06
-689.61,6.69175e-06
-687.897,6.56265e-06
-686.183,6.42298e-06
-684.47,6.27561e-06
-682.756,6.12384e-06
-681.043,5.9713e-06
-679.33,5.82181e-06
-677.616,5.67926e-06
-675.903,5.54745e-06
-674.189,5.42994e-06
-672.476,5.32994e-06
-670.762,5.25014e-06
-669.049,5.19265e-06
-667.336,5.15888e-06
-665.622,5.1495e-06
-663.909,5.16435e-06
-662.195,5.2025e-06
-660.482,5.26223e-06
-658.769,5.34105e-06
-657.055,5.43581e-06
-655.342,5.54279e-06
-653.628,5.65778e-06
-651.915,5.77625e-06
-650.201,5.89346e-06
-648.488,6.00459e-06
-646.775,6.10496e-06
-645.061,6.19008e-06
-643.348,6.25585e-06
-641.634,6.29865e-06
-639.921,6.31546e-06
-638.208,6.30392e-06
-636.494,6.26242e-06
-634.781,6.19009e-06
-633.067,6.08687e-06
-631.354,5.95343e-06
-629.64,5.79118e-06
-627.927,5.60222e-06
-626.214,5.3892e-06
-624.5,5.15532e-06
-622.787,4.90415e-06
-621.073,4.6396e-06
-619.36,4.36577e-06
-617.647,4.08687e-06
-615.933,3.80713e-06
-614.22,3.53071e-06
-612.506,3.26165e-06
-610.793,3.00377e-06
-609.079,2.76068e-06
-607.366,2.53573e-06
-605.653,2.33199e-06
-603.939,2.15228e-06
-602.226,1.99912e-06
-600.512,1.87483e-06
-598.799,1.78147e-06
-597.086,1.72091e-06
-595.372,1.69486e-06
-593.659,1.70484e-06
-591.945,1.75225e-06
-590.232,1.83834e-06
-588.518,1.96422e-06
-586.805,2.13084e-06
-585.092,2.339e-06
-583.378,2.58927e-06
-581.665,2.88197e-06
-579.951,3.21717e-06
-578.238,3.59457e-06
-576.525,4.0135e-06
-574.811,4.47289e-06
-573.098,4.97117e-06
-571.384,5.50628e-06
-569.671,6.07564e-06
-567.957,6.67616e-06
-566.244,7.30419e-06
-564.531,7.95562e-06
-562.817,8.62584e-06
-561.104,9.30987e-06
-559.39,1.00024e-05
-557.677,1.06979e-05
-555.963,1.13905e-05
-554.25,1.20748e-05
-552.537,1.27449e-05
-550.823,1.33954e-05
-549.11,1.40214e-05
-547.396,1.46181e-05
-545.683,1.51815e-05
-543.97,1.5708e-05
-542.256,1.6195e-05
-540.543,1.66404e-05
-538.829,1.70431e-05
-537.116,1.74025e-05
-535.402,1.77189e-05
-533.689,1.79934e-05
-531.976,1.82277e-05
-530.262,1.84238e-05
-528.549,1.85843e-05
-526.835,1.87123e-05
-525.122,1.88107e-05
-523.409,1.88826e-05
-521.695,1.89311e-05
-519.982,1.8959e-05
-518.268,1.89686e-05
-516.555,1.89622e-05
-514.841,1.89413e-05
-513.128,1.89069e-05
-511.415,1.88598e-05
-509.701,1.88001e-05
-507.988,1.87276e-05
-506.274,1.86416e-05
-504.561,1.85415e-05
-502.848,1.84264e-05
-501.134,1.82956e-05
-499.421,1.81487e-05
-497.707,1.79854e-05
-495.994,1.78063e-05
-494.28,1.76122e-05
