x,p_0
-0.000128086,0.00516201
-0.000126974,0.0065287
-0.000125862,0.0082407
-0.00012475,0.0103808
-0.000123638,0.0130506
-0.000122527,0.0163741
-0.000121415,0.0205029
-0.000120303,0.0256214
-0.000119191,0.0319536
-0.000118079,0.0397712
-0.000116967,0.0494025
-0.000115855,0.0612433
-0.000114743,0.0757705
-0.000113631,0.0935561
-0.000112519,0.115286
-0.000111407,0.141778
-0.000110295,0.174011
-0.000109183,0.213144
-0.000108071,0.260556
-0.000106959,0.31788
-0.000105847,0.38704
-0.000104735,0.470306
-0.000103623,0.570345
-0.000102511,0.690284
-0.000101399,0.833777
-0.000100287,1.00509
-9.91752e-05,1.20919
-9.80632e-05,1.45183
-9.69513e-05,1.73968
-9.58393e-05,2.08045
-9.47273e-05,2.48302
-9.36154e-05,2.95757
-9.25034e-05,3.51581
-9.13914e-05,4.17109
-9.02795e-05,4.93865
-8.91675e-05,5.83582
-8.80555e-05,6.88226
-8.69436e-05,8.10018
-8.58316e-05,9.51468
-8.47196e-05,11.154
-8.36076e-05,13.0497
-8.24957e-05,15.2373
-8.13837e-05,17.7563
-8.02717e-05,20.6506
-7.91598e-05,23.9691
-7.80478e-05,27.7656
-7.69358e-05,32.0996
-7.58239e-05,37.0366
-7.47119e-05,42.6483
-7.35999e-05,49.0129
-7.2488e-05,56.2157
-7.1376e-05,64.3495
-7.0264e-05,73.5144
-6.91521e-05,83.8185
-6.80401e-05,95.378
-6.69281e-05,108.317
-6.58162e-05,122.769
-6.47042e-05,138.874
-6.35922e-05,156.782
-6.24803e-05,176.651
-6.13683e-05,198.645
-6.02563e-05,222.938
-5.91444e-05,249.709
-5.80324e-05,279.146
-5.69204e-05,311.439
-5.58085e-05,346.786
-5.46965e-05,385.386
-5.35845e-05,427.444
-5.24726e-05,473.163
-5.13606e-05,522.748
-5.02486e-05,576.398
-4.91367e-05,634.314
-4.80247e-05,696.687
-4.69127e-05,763.701
-4.58008e-05,835.531
-4.46888e-05,912.338
-4.35768e-05,994.271
-4.24649e-05,1081.46
