mcmc step, learning time
0,0.05
1,0.08
2,0.13
3,0.17
4,0.2
5,0.25
6,0.29
7,0.32
8,0.37
9,0.41
10,0.45
11,0.49
12,0.52
13,0.57
14,0.61
15,0.67
16,0.71
17,0.77
18,0.82
19,0.87
20,0.92
21,0.97
22,1.01
23,1.06
24,1.11
25,1.15
26,1.19
27,1.24
28,1.28
29,1.34
30,1.39
31,1.44
32,1.47
33,1.53
34,1.57
35,1.61
36,1.65
37,1.7
38,1.75
39,1.8
40,1.84
41,1.88
42,1.93
43,1.97
44,2.02
45,2.07
46,2.13
47,2.17
48,2.21
49,2.26
50,2.3
51,2.35
52,2.41
53,2.46
54,2.51
55,2.55
56,2.6
57,2.65
58,2.69
59,2.74
60,2.79
61,2.84
62,2.89
63,2.94
64,3
65,3.05
66,3.11
67,3.15
68,3.2
69,3.26
70,3.31
71,3.35
72,3.4
73,3.45
74,3.49
75,3.54
76,3.59
77,3.64
78,3.69
79,3.74
80,3.79
81,3.84
82,3.88
83,3.92
84,3.96
85,4.02
86,4.05
87,4.11
88,4.15
89,4.21
90,4.25
91,4.3
92,4.36
93,4.41
94,4.45
95,4.5
96,4.55
97,4.6
98,4.65
99,4.69
100,4.74
101,4.79
102,4.83
103,4.88
104,4.93
105,4.98
106,5.02
107,5.07
108,5.12
109,5.17
110,5.2
111,5.25
112,5.3
113,5.33
114,5.39
115,5.44
116,5.48
117,5.52
118,5.57
119,5.62
120,5.67
121,5.71
122,5.76
123,5.81
124,5.85
125,5.9
126,5.95
127,6
128,6.05
129,6.09
130,6.13
131,6.18
132,6.23
133,6.27
134,6.32
135,6.37
136,6.4
137,6.45
138,6.49
139,6.52
140,6.57
141,6.62
142,6.67
143,6.72
144,6.76
145,6.8
146,6.85
147,6.89
148,6.94
149,6.98
150,7.03
151,7.07
152,7.11
153,7.15
154,7.2
155,7.23
156,7.28
157,7.33
158,7.36
159,7.41
160,7.45
161,7.49
162,7.54
163,7.59
164,7.64
165,7.67
166,7.72
167,7.77
168,7.82
169,7.85
170,7.9
171,7.94
172,7.99
173,8.02
174,8.07
175,8.11
176,8.15
177,8.2
178,8.25
179,8.28
180,8.33
181,8.37
182,8.41
183,8.46
184,8.5
185,8.54
186,8.59
187,8.64
188,8.68
189,8.72
190,8.77
191,8.82
192,8.87
193,8.91
194,8.95
195,8.99
196,9.03
197,9.07
198,9.12
199,9.18
200,9.23
201,9.28
202,9.32
203,9.37
204,9.42
205,9.48
206,9.52
207,9.58
208,9.63
209,9.68
210,9.74
211,9.77
212,9.82
213,9.86
214,9.91
215,9.95
216,9.99
217,10.04
218,10.09
219,10.13
220,10.17
221,10.23
222,10.27
223,10.31
224,10.36
225,10.4
226,10.45
227,10.5
228,10.53
229,10.58
230,10.63
231,10.69
232,10.72
233,10.77
234,10.81
235,10.85
236,10.9
237,10.95
238,10.99
239,11.03
240,11.08
241,11.12
242,11.16
243,11.21
244,11.26
245,11.3
246,11.33
247,11.38
248,11.42
249,11.46
250,11.5
251,11.54
252,11.58
253,11.63
254,11.66
255,11.7
256,11.75
257,11.79
258,11.83
259,11.88
260,11.92
261,11.96
262,12.01
263,12.06
264,12.09
265,12.14
266,12.18
267,12.22
268,12.26
269,12.3
270,12.33
271,12.38
272,12.41
273,12.46
274,12.5
275,12.55
276,12.58
277,12.62
278,12.67
279,12.71
280,12.75
281,12.8
282,12.84
283,12.89
284,12.93
285,12.97
286,13.02
287,13.07
288,13.11
289,13.15
290,13.21
291,13.24
292,13.3
293,13.35
294,13.4
295,13.43
296,13.48
297,13.52
298,13.56
299,13.6
300,13.65
301,13.69
302,13.74
303,13.79
304,13.83
305,13.88
306,13.93
307,13.96
308,14.01
309,14.07
310,14.12
311,14.16
312,14.21
313,14.26
314,14.31
315,14.35
316,14.39
317,14.44
318,14.49
319,14.53
320,14.58
321,14.63
322,14.67
323,14.72
324,14.77
325,14.81
326,14.86
327,14.91
328,14.94
329,14.99
330,15.03
331,15.07
332,15.11
333,15.16
334,15.19
335,15.23
336,15.28
337,15.31
338,15.36
339,15.4
340,15.44
341,15.48
342,15.52
343,15.56
344,15.6
345,15.64
346,15.68
347,15.72
348,15.77
349,15.81
350,15.85
351,15.9
352,15.94
353,15.99
354,16.03
355,16.08
356,16.12
357,16.16
358,16.21
359,16.25
360,16.29
361,16.33
362,16.37
363,16.42
364,16.46
365,16.49
366,16.53
367,16.56
368,16.6
369,16.65
