mcmc step, learning time
0,0
1,0
2,0.01
3,0.02
4,0.02
5,0.03
6,0.03
7,0.03
8,0.03
9,0.03
10,0.03
11,0.03
12,0.04
13,0.04
14,0.04
15,0.04
16,0.05
17,0.05
18,0.05
19,0.06
20,0.06
21,0.06
22,0.06
23,0.07
24,0.07
25,0.07
26,0.07
27,0.08
28,0.08
29,0.08
30,0.08
31,0.09
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.11
40,0.12
41,0.13
42,0.13
43,0.13
44,0.13
45,0.13
46,0.13
47,0.13
48,0.13
49,0.13
50,0.13
51,0.13
52,0.13
53,0.13
54,0.13
55,0.14
56,0.15
57,0.15
58,0.15
59,0.15
60,0.16
61,0.16
62,0.17
63,0.17
64,0.17
65,0.17
66,0.18
67,0.18
68,0.18
69,0.19
70,0.19
71,0.19
72,0.19
73,0.19
74,0.19
75,0.2
76,0.2
77,0.2
78,0.2
79,0.21
80,0.21
81,0.21
82,0.21
83,0.21
84,0.22
85,0.23
86,0.24
87,0.24
88,0.25
89,0.26
90,0.26
91,0.26
92,0.26
93,0.26
94,0.26
95,0.26
96,0.27
97,0.27
98,0.27
99,0.27
100,0.27
101,0.27
102,0.28
103,0.28
104,0.28
105,0.28
106,0.28
107,0.29
108,0.3
109,0.31
110,0.32
111,0.32
112,0.33
113,0.34
114,0.34
115,0.35
116,0.35
117,0.35
118,0.35
119,0.35
120,0.35
121,0.36
122,0.37
123,0.37
124,0.38
125,0.38
126,0.38
127,0.39
128,0.39
129,0.39
130,0.39
131,0.39
132,0.39
133,0.39
134,0.39
135,0.39
136,0.39
137,0.4
138,0.41
139,0.41
140,0.41
141,0.41
142,0.41
143,0.41
144,0.42
145,0.42
146,0.42
147,0.42
148,0.42
149,0.42
150,0.43
151,0.43
152,0.44
153,0.44
154,0.44
155,0.44
156,0.44
157,0.44
158,0.45
159,0.45
160,0.45
161,0.45
162,0.46
163,0.47
164,0.48
165,0.49
166,0.49
167,0.5
168,0.51
169,0.51
170,0.51
171,0.51
172,0.52
173,0.52
174,0.52
175,0.52
176,0.52
177,0.53
178,0.53
179,0.53
180,0.54
181,0.54
182,0.55
183,0.56
184,0.57
185,0.57
186,0.58
187,0.58
188,0.58
189,0.58
190,0.59
191,0.59
192,0.59
193,0.59
194,0.6
195,0.6
196,0.61
197,0.61
198,0.61
199,0.62
200,0.63
201,0.64
202,0.64
203,0.65
204,0.65
205,0.66
206,0.66
207,0.66
208,0.67
209,0.67
210,0.68
211,0.68
212,0.68
213,0.69
214,0.69
215,0.7
216,0.7
217,0.7
218,0.71
219,0.71
220,0.72
221,0.72
222,0.72
223,0.72
224,0.72
225,0.73
226,0.73
227,0.73
228,0.74
229,0.74
230,0.74
231,0.74
232,0.74
233,0.75
234,0.75
235,0.75
236,0.75
237,0.76
238,0.76
239,0.76
240,0.77
241,0.78
242,0.78
243,0.78
244,0.78
245,0.79
246,0.8
247,0.8
248,0.8
249,0.81
250,0.81
251,0.81
252,0.81
253,0.81
254,0.81
255,0.81
256,0.81
257,0.81
258,0.81
259,0.82
260,0.82
261,0.82
262,0.82
263,0.83
264,0.83
265,0.84
266,0.84
267,0.85
268,0.85
269,0.85
270,0.85
271,0.85
272,0.85
273,0.86
274,0.86
275,0.86
276,0.86
277,0.87
278,0.87
279,0.87
280,0.88
281,0.88
282,0.88
283,0.89
284,0.89
285,0.89
286,0.9
287,0.91
288,0.92
289,0.93
290,0.93
291,0.93
292,0.93
293,0.93
294,0.93
295,0.93
296,0.93
297,0.94
298,0.94
299,0.94
300,0.94
301,0.94
302,0.95
303,0.97
304,0.97
305,0.97
306,0.97
307,0.98
308,0.98
309,0.98
310,0.99
311,1
312,1.01
313,1.01
314,1.01
315,1.02
316,1.02
317,1.02
318,1.02
319,1.02
320,1.03
321,1.03
322,1.04
323,1.05
324,1.06
325,1.07
326,1.07
327,1.07
328,1.07
329,1.07
330,1.07
331,1.07
332,1.08
333,1.08
334,1.08
335,1.09
336,1.09
337,1.09
338,1.1
339,1.1
340,1.1
341,1.1
342,1.1
343,1.1
344,1.1
345,1.11
346,1.12
347,1.12
348,1.12
349,1.12
350,1.12
351,1.12
352,1.13
353,1.13
354,1.13
