mcmc step, learning time
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.02
88,0.02
89,0.02
90,0.02
91,0.02
92,0.02
93,0.02
94,0.02
95,0.02
96,0.02
97,0.02
98,0.02
99,0.02
100,0.02
101,0.02
102,0.02
103,0.02
104,0.02
105,0.02
106,0.02
107,0.02
108,0.02
109,0.02
110,0.02
111,0.02
112,0.02
113,0.02
114,0.02
115,0.02
116,0.02
117,0.02
118,0.02
119,0.02
120,0.02
121,0.02
122,0.02
123,0.02
124,0.03
125,0.03
126,0.03
127,0.03
128,0.03
129,0.03
130,0.03
131,0.03
132,0.03
133,0.03
134,0.03
135,0.03
136,0.03
137,0.03
138,0.03
139,0.04
140,0.04
141,0.04
142,0.04
143,0.04
144,0.04
145,0.04
146,0.04
147,0.04
148,0.04
149,0.04
150,0.04
151,0.04
152,0.04
153,0.04
154,0.04
155,0.04
156,0.04
157,0.04
158,0.04
159,0.04
160,0.04
161,0.04
162,0.04
163,0.04
164,0.04
165,0.04
166,0.04
167,0.04
168,0.04
169,0.04
170,0.04
171,0.04
172,0.04
173,0.04
174,0.04
175,0.04
176,0.04
177,0.04
178,0.04
179,0.04
180,0.04
181,0.04
182,0.04
183,0.04
184,0.04
185,0.04
186,0.04
187,0.04
188,0.04
189,0.04
190,0.04
191,0.05
192,0.05
193,0.05
194,0.05
195,0.06
196,0.06
197,0.06
198,0.06
199,0.06
200,0.06
201,0.06
202,0.06
203,0.06
204,0.06
205,0.06
206,0.06
207,0.07
208,0.07
209,0.07
210,0.07
211,0.07
212,0.07
213,0.07
214,0.07
215,0.07
216,0.08
217,0.08
218,0.08
219,0.08
220,0.08
221,0.08
222,0.08
223,0.08
224,0.08
225,0.08
226,0.08
227,0.08
228,0.08
229,0.08
230,0.08
231,0.08
232,0.08
233,0.08
234,0.08
235,0.08
236,0.08
237,0.08
238,0.08
239,0.08
240,0.08
241,0.08
242,0.08
243,0.08
244,0.08
245,0.08
246,0.08
247,0.08
248,0.08
249,0.08
250,0.08
251,0.08
252,0.08
253,0.08
254,0.08
255,0.08
256,0.08
257,0.08
258,0.08
259,0.08
260,0.09
261,0.09
262,0.09
263,0.09
264,0.09
265,0.09
266,0.09
267,0.09
268,0.09
269,0.09
270,0.09
271,0.09
272,0.09
273,0.09
274,0.09
275,0.09
276,0.09
277,0.09
278,0.09
279,0.09
280,0.09
281,0.09
282,0.09
283,0.09
284,0.09
285,0.09
286,0.09
287,0.09
288,0.09
289,0.09
290,0.09
291,0.09
292,0.09
293,0.1
294,0.1
295,0.1
296,0.1
297,0.1
298,0.1
299,0.1
300,0.1
301,0.1
302,0.1
303,0.1
304,0.1
305,0.1
306,0.1
307,0.1
308,0.1
309,0.1
310,0.1
311,0.1
312,0.1
313,0.1
314,0.1
315,0.1
316,0.1
317,0.1
318,0.1
319,0.1
320,0.1
321,0.1
322,0.1
323,0.1
324,0.1
325,0.1
326,0.1
327,0.1
328,0.11
329,0.11
330,0.11
331,0.11
332,0.11
333,0.11
334,0.11
335,0.11
336,0.11
337,0.11
338,0.11
339,0.11
340,0.11
341,0.11
342,0.11
343,0.11
344,0.11
345,0.11
346,0.11
347,0.11
348,0.11
349,0.11
350,0.11
351,0.11
352,0.11
353,0.12
354,0.12
355,0.12
356,0.12
357,0.12
358,0.12
359,0.12
360,0.12
361,0.12
362,0.12
363,0.12
364,0.12
365,0.12
366,0.12
367,0.12
368,0.12
369,0.12
370,0.12
371,0.12
372,0.12
373,0.12
