mcmc step, learning time
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.02
22,0.02
23,0.02
24,0.02
25,0.03
26,0.03
27,0.03
28,0.03
29,0.04
30,0.05
31,0.06
32,0.06
33,0.07
34,0.08
35,0.08
36,0.08
37,0.08
38,0.08
39,0.08
40,0.08
41,0.08
42,0.08
43,0.08
44,0.08
45,0.08
46,0.08
47,0.09
48,0.1
49,0.1
50,0.1
51,0.1
52,0.11
53,0.11
54,0.11
55,0.11
56,0.11
57,0.11
58,0.11
59,0.11
60,0.11
61,0.11
62,0.11
63,0.11
64,0.12
65,0.12
66,0.12
67,0.12
68,0.12
69,0.12
70,0.12
71,0.12
72,0.12
73,0.12
74,0.12
75,0.12
76,0.13
77,0.14
78,0.15
79,0.15
80,0.15
81,0.16
82,0.16
83,0.16
84,0.16
85,0.16
86,0.16
87,0.17
88,0.17
89,0.17
90,0.17
91,0.17
92,0.17
93,0.17
94,0.18
95,0.18
96,0.18
97,0.18
98,0.18
99,0.18
100,0.18
101,0.18
102,0.18
103,0.18
104,0.18
105,0.18
106,0.18
107,0.18
108,0.18
109,0.19
110,0.19
111,0.19
112,0.19
113,0.19
114,0.2
115,0.2
116,0.21
117,0.21
118,0.21
119,0.21
120,0.22
121,0.22
122,0.22
123,0.22
124,0.22
125,0.22
126,0.23
127,0.23
128,0.23
129,0.23
130,0.24
131,0.24
132,0.24
133,0.24
134,0.24
135,0.24
136,0.24
137,0.24
138,0.24
139,0.25
140,0.25
141,0.26
142,0.26
143,0.26
144,0.26
145,0.26
146,0.26
147,0.26
148,0.27
149,0.27
150,0.27
151,0.27
152,0.27
153,0.27
154,0.28
155,0.28
156,0.28
157,0.28
158,0.28
159,0.28
160,0.29
161,0.29
162,0.29
163,0.29
164,0.29
165,0.29
166,0.29
167,0.29
168,0.29
169,0.3
170,0.3
171,0.3
172,0.3
173,0.31
174,0.31
175,0.31
176,0.31
177,0.31
178,0.32
179,0.33
180,0.33
181,0.34
182,0.34
183,0.34
184,0.34
185,0.34
186,0.34
187,0.34
188,0.35
189,0.35
190,0.35
191,0.36
192,0.37
193,0.37
194,0.37
195,0.38
196,0.38
197,0.38
198,0.38
199,0.38
200,0.38
201,0.38
202,0.38
203,0.38
204,0.38
205,0.38
206,0.38
207,0.39
208,0.39
209,0.39
210,0.39
211,0.4
212,0.4
213,0.4
214,0.4
215,0.4
216,0.41
217,0.41
218,0.41
219,0.41
220,0.41
221,0.41
222,0.42
223,0.42
224,0.42
225,0.42
226,0.42
227,0.42
228,0.42
229,0.42
230,0.42
231,0.43
232,0.43
233,0.43
234,0.43
235,0.43
236,0.43
237,0.43
238,0.43
239,0.43
240,0.43
241,0.43
242,0.43
243,0.43
244,0.43
245,0.43
246,0.43
247,0.43
248,0.43
249,0.43
250,0.43
251,0.43
252,0.43
253,0.43
254,0.43
255,0.43
256,0.43
257,0.44
258,0.44
259,0.44
260,0.45
261,0.45
262,0.45
263,0.45
264,0.45
265,0.45
266,0.45
267,0.45
268,0.45
269,0.45
270,0.45
271,0.46
272,0.46
273,0.46
274,0.46
275,0.46
276,0.46
277,0.46
278,0.46
279,0.46
280,0.46
281,0.47
282,0.47
283,0.47
284,0.47
285,0.47
286,0.47
287,0.47
288,0.47
289,0.47
290,0.47
291,0.47
292,0.48
293,0.49
294,0.49
295,0.49
296,0.49
297,0.49
298,0.49
299,0.49
300,0.49
301,0.5
302,0.5
303,0.5
304,0.5
305,0.5
306,0.51
307,0.51
308,0.51
309,0.51
310,0.51
311,0.51
312,0.51
313,0.51
314,0.51
315,0.51
316,0.51
317,0.52
318,0.52
319,0.52
320,0.52
321,0.52
322,0.52
323,0.52
324,0.52
325,0.52
326,0.52
327,0.53
328,0.54
329,0.54
330,0.54
331,0.54
332,0.54
333,0.54
334,0.55
335,0.55
336,0.55
337,0.55
338,0.55
339,0.55
340,0.56
341,0.56
342,0.56
343,0.57
344,0.57
345,0.57
346,0.57
347,0.57
348,0.57
349,0.58
350,0.58
351,0.58
352,0.58
353,0.59
354,0.6
355,0.6
356,0.61
