mcmc step, learning time
0,0.02
1,0.03
2,0.06
3,0.08
4,0.09
5,0.12
6,0.14
7,0.16
8,0.19
9,0.2
10,0.22
11,0.24
12,0.26
13,0.29
14,0.31
15,0.34
16,0.37
17,0.41
18,0.44
19,0.47
20,0.5
21,0.54
22,0.56
23,0.59
24,0.62
25,0.63
26,0.65
27,0.68
28,0.7
29,0.73
30,0.76
31,0.78
32,0.8
33,0.83
34,0.86
35,0.88
36,0.9
37,0.93
38,0.96
39,0.98
40,1
41,1.03
42,1.06
43,1.08
44,1.11
45,1.14
46,1.16
47,1.17
48,1.19
49,1.22
50,1.24
51,1.27
52,1.31
53,1.34
54,1.36
55,1.38
56,1.41
57,1.44
58,1.46
59,1.49
60,1.52
61,1.54
62,1.57
63,1.6
64,1.64
65,1.67
66,1.7
67,1.72
68,1.75
69,1.79
70,1.81
71,1.83
72,1.86
73,1.89
74,1.91
75,1.95
76,1.99
77,2.02
78,2.04
79,2.07
80,2.1
81,2.14
82,2.16
83,2.18
84,2.21
85,2.25
86,2.27
87,2.3
88,2.33
89,2.36
90,2.38
91,2.41
92,2.44
93,2.47
94,2.49
95,2.52
96,2.55
97,2.58
98,2.6
99,2.62
100,2.65
101,2.68
102,2.7
103,2.73
104,2.76
105,2.79
106,2.81
107,2.84
108,2.87
109,2.89
110,2.91
111,2.94
112,2.97
113,2.99
114,3.03
115,3.06
116,3.09
117,3.11
118,3.14
119,3.17
120,3.19
121,3.21
122,3.24
123,3.27
124,3.29
125,3.31
126,3.34
127,3.37
128,3.4
129,3.42
130,3.45
131,3.48
132,3.5
133,3.52
134,3.55
135,3.57
136,3.58
137,3.61
138,3.63
139,3.64
140,3.67
141,3.7
142,3.73
143,3.75
144,3.77
145,3.79
146,3.82
147,3.84
148,3.86
149,3.88
150,3.9
151,3.92
152,3.95
153,3.97
154,3.99
155,4
156,4.03
157,4.05
158,4.07
159,4.1
160,4.12
161,4.14
162,4.17
163,4.2
164,4.22
165,4.24
166,4.27
167,4.3
168,4.32
169,4.34
170,4.37
171,4.4
172,4.42
173,4.44
174,4.47
175,4.49
176,4.51
177,4.54
178,4.57
179,4.59
180,4.62
181,4.65
182,4.67
183,4.7
184,4.73
185,4.75
186,4.78
187,4.81
188,4.83
189,4.85
190,4.88
191,4.9
192,4.93
193,4.94
194,4.96
195,4.98
196,5.01
197,5.03
198,5.06
199,5.1
200,5.13
201,5.15
202,5.17
203,5.2
204,5.23
205,5.27
206,5.29
207,5.32
208,5.35
209,5.38
210,5.4
211,5.42
212,5.45
213,5.48
214,5.5
215,5.52
216,5.54
217,5.57
218,5.59
219,5.61
220,5.64
221,5.67
222,5.7
223,5.72
224,5.75
225,5.78
226,5.81
227,5.83
228,5.85
229,5.88
230,5.91
231,5.93
232,5.94
233,5.97
234,5.99
235,6.01
236,6.04
237,6.06
238,6.08
239,6.1
240,6.13
241,6.16
242,6.18
243,6.21
244,6.24
245,6.26
246,6.28
247,6.31
248,6.32
249,6.34
250,6.36
251,6.38
252,6.4
253,6.43
254,6.44
255,6.46
256,6.49
257,6.51
258,6.53
259,6.56
260,6.57
261,6.59
262,6.62
263,6.64
264,6.65
265,6.68
266,6.69
267,6.71
268,6.73
269,6.74
270,6.75
271,6.78
272,6.79
273,6.82
274,6.84
275,6.86
276,6.87
277,6.9
278,6.92
279,6.94
280,6.97
281,6.99
282,7.01
283,7.04
284,7.05
285,7.07
286,7.1
287,7.13
288,7.15
289,7.18
290,7.21
291,7.22
292,7.25
293,7.27
294,7.28
295,7.29
296,7.32
297,7.34
298,7.36
299,7.38
300,7.4
301,7.42
302,7.45
303,7.47
304,7.49
305,7.52
306,7.55
307,7.57
308,7.6
309,7.63
310,7.66
311,7.68
312,7.71
313,7.74
314,7.77
315,7.79
316,7.81
317,7.85
318,7.87
319,7.89
320,7.92
321,7.94
322,7.96
323,7.99
324,8.01
325,8.03
326,8.05
327,8.06
328,8.07
329,8.1
330,8.12
331,8.14
332,8.17
333,8.2
334,8.22
335,8.25
336,8.28
337,8.29
338,8.32
339,8.34
340,8.36
341,8.38
342,8.4
343,8.42
344,8.44
345,8.47
346,8.49
347,8.52
348,8.55
349,8.57
350,8.59
351,8.62
352,8.64
353,8.66
354,8.68
355,8.7
356,8.72
357,8.74
358,8.76
359,8.78
360,8.8
361,8.81
362,8.83
363,8.85
364,8.86
365,8.87
366,8.89
367,8.9
368,8.93
369,8.96
370,8.97
371,8.99
372,9.02
373,9.04
374,9.07
375,9.09
376,9.1
377,9.12
378,9.15
379,9.17
380,9.18
381,9.2
382,9.22
383,9.24
384,9.26
385,9.28
386,9.29
387,9.32
388,9.34
389,9.35
390,9.37
391,9.39
392,9.4
393,9.42
394,9.43
395,9.44
396,9.47
397,9.49
398,9.51
399,9.54
400,9.55
401,9.56
402,9.59
403,9.61
404,9.63
405,9.65
406,9.66
407,9.68
408,9.71
409,9.74
410,9.76
411,9.79
412,9.82
413,9.84
414,9.87
415,9.9
416,9.92
417,9.94
418,9.96
419,9.97
420,10
421,10.03
422,10.05
423,10.07
424,10.1
425,10.13
426,10.15
427,10.18
428,10.21
429,10.23
430,10.26
431,10.29
432,10.31
433,10.33
434,10.36
435,10.38
436,10.4
437,10.43
438,10.45
439,10.47
440,10.5
441,10.53
442,10.55
443,10.57
444,10.6
445,10.62
446,10.65
447,10.68
448,10.69
449,10.7
450,10.73
451,10.76
452,10.78
453,10.81
454,10.84
455,10.85
456,10.86
457,10.88
458,10.91
459,10.93
460,10.95
461,10.98
462,11
463,11.03
464,11.06
465,11.08
466,11.11
467,11.14
468,11.15
469,11.18
470,11.21
471,11.23
472,11.26
473,11.28
474,11.31
475,11.33
476,11.36
477,11.38
478,11.4
479,11.43
480,11.46
481,11.48
482,11.5
483,11.52
484,11.54
485,11.57
486,11.59
487,11.61
488,11.63
489,11.65
490,11.66
491,11.68
492,11.71
493,11.72
494,11.74
495,11.77
496,11.8
497,11.82
498,11.84
499,11.86
500,11.88
501,11.9
502,11.93
503,11.94
504,11.95
505,11.97
506,11.99
507,12.01
508,12.04
509,12.06
510,12.07
511,12.09
512,12.12
513,12.13
514,12.15
515,12.17
516,12.18
517,12.19
518,12.22
519,12.23
520,12.24
521,12.27
522,12.29
523,12.31
524,12.33
525,12.34
526,12.36
527,12.39
528,12.41
529,12.43
530,12.45
531,12.46
532,12.47
533,12.49
534,12.51
535,12.53
536,12.56
537,12.59
538,12.61
539,12.62
540,12.65
541,12.67
542,12.68
543,12.7
544,12.72
545,12.74
546,12.76
547,12.79
548,12.81
549,12.83
550,12.85
551,12.87
552,12.88
553,12.9
554,12.92
555,12.95
556,12.97
557,13
558,13.03
559,13.06
560,13.08
561,13.09
562,13.12
563,13.14
564,13.16
565,13.18
566,13.21
567,13.23
568,13.24
569,13.27
570,13.3
571,13.32
572,13.34
573,13.37
574,13.4
575,13.41
576,13.43
577,13.46
578,13.48
579,13.5
580,13.53
581,13.56
582,13.58
583,13.59
584,13.61
585,13.64
586,13.66
587,13.69
588,13.72
589,13.75
590,13.78
591,13.8
592,13.83
593,13.86
594,13.88
595,13.9
596,13.93
597,13.95
598,13.98
599,14.01
600,14.03
601,14.05
602,14.08
603,14.1
604,14.12
605,14.15
606,14.17
607,14.19
608,14.22
609,14.24
610,14.26
611,14.29
612,14.31
613,14.33
614,14.36
615,14.38
616,14.4
617,14.43
618,14.45
619,14.47
620,14.5
621,14.53
622,14.55
623,14.58
624,14.61
625,14.63
626,14.66
627,14.69
628,14.71
629,14.74
630,14.77
631,14.79
632,14.81
633,14.84
634,14.87
635,14.89
636,14.92
637,14.95
638,14.97
639,14.99
640,15.02
641,15.05
642,15.07
643,15.09
644,15.13
645,15.16
646,15.18
647,15.21
648,15.24
649,15.28
650,15.31
651,15.33
652,15.35
653,15.38
654,15.41
655,15.43
656,15.45
657,15.48
658,15.51
659,15.54
660,15.56
661,15.58
662,15.61
663,15.64
664,15.66
665,15.68
666,15.7
667,15.72
668,15.73
669,15.76
670,15.79
671,15.81
672,15.82
673,15.84
674,15.85
675,15.87
676,15.9
677,15.93
678,15.94
679,15.95
680,15.98
681,16.01
682,16.03
683,16.06
684,16.09
685,16.1
686,16.13
687,16.15
688,16.16
689,16.19
690,16.21
691,16.23
692,16.25
693,16.28
694,16.3
695,16.32
696,16.34
697,16.35
698,16.37
699,16.39
700,16.4
701,16.43
702,16.45
703,16.46
704,16.48
705,16.51
706,16.53
707,16.56
708,16.59
709,16.61
710,16.62
711,16.64
712,16.67
713,16.69
714,16.71
715,16.74
716,16.76
717,16.77
718,16.8
719,16.83
720,16.86
721,16.88
722,16.91
723,16.94
724,16.97
725,16.99
726,17.01
727,17.04
728,17.07
729,17.09
730,17.11
731,17.14
732,17.17
733,17.2
734,17.23
735,17.25
736,17.27
737,17.3
738,17.33
739,17.36
740,17.39
741,17.41
742,17.44
743,17.47
744,17.49
745,17.51
746,17.53
747,17.56
748,17.58
749,17.6
750,17.63
751,17.66
752,17.68
753,17.69
754,17.72
755,17.75
756,17.76
757,17.78
758,17.81
759,17.83
760,17.84
761,17.86
762,17.88
763,17.9
764,17.91
765,17.93
766,17.96
767,17.98
768,18
769,18.03
770,18.05
771,18.07
772,18.1
773,18.13
774,18.17
775,18.19
776,18.21
777,18.23
778,18.26
779,18.29
780,18.32
781,18.35
782,18.36
783,18.37
784,18.39
785,18.41
786,18.44
787,18.45
788,18.47
789,18.49
790,18.52
791,18.54
792,18.55
793,18.58
794,18.59
795,18.6
796,18.62
797,18.64
798,18.65
799,18.66
800,18.68
801,18.69
802,18.7
803,18.72
804,18.74
805,18.75
806,18.77
807,18.79
808,18.82
809,18.83
810,18.85
811,18.87
812,18.89
813,18.91
814,18.92
815,18.94
816,18.96
817,18.98
818,19
819,19.03
820,19.05
821,19.07
822,19.09
823,19.12
824,19.14
825,19.15
826,19.17
827,19.2
828,19.21
829,19.23
830,19.25
831,19.27
832,19.29
833,19.31
834,19.33
835,19.35
836,19.38
837,19.39
838,19.4
839,19.43
840,19.45
841,19.46
842,19.49
843,19.5
844,19.52
845,19.54
846,19.55
847,19.56
848,19.58
849,19.59
850,19.61
851,19.64
852,19.66
853,19.69
854,19.71
855,19.74
856,19.77
857,19.79
858,19.8
859,19.82
860,19.84
861,19.86
862,19.88
863,19.91
864,19.92
865,19.95
866,19.97
867,19.98
868,19.99
869,20.01
870,20.03
871,20.05
872,20.07
873,20.09
874,20.1
875,20.12
876,20.14
877,20.15
878,20.17
879,20.19
880,20.2
881,20.21
882,20.23
883,20.25
884,20.26
885,20.28
886,20.3
887,20.33
888,20.35
889,20.37
890,20.39
891,20.41
892,20.43
893,20.44
894,20.46
895,20.48
896,20.49
897,20.51
898,20.53
899,20.54
900,20.56
901,20.58
902,20.6
903,20.62
904,20.64
905,20.66
906,20.69
907,20.72
908,20.73
909,20.75
910,20.78
911,20.81
912,20.83
913,20.85
914,20.88
915,20.91
916,20.94
917,20.96
918,20.99
919,21.02
920,21.04
921,21.06
922,21.09
923,21.11
924,21.13
925,21.16
926,21.19
927,21.2
928,21.22
929,21.24
930,21.27
931,21.3
932,21.32
933,21.34
934,21.37
935,21.38
936,21.4
937,21.43
938,21.44
939,21.45
940,21.47
941,21.48
942,21.5
943,21.53
944,21.55
945,21.56
946,21.59
947,21.62
948,21.63
949,21.64
950,21.66
951,21.67
952,21.69
953,21.71
954,21.74
955,21.75
956,21.76
957,21.78
958,21.8
959,21.82
960,21.83
961,21.86
962,21.89
963,21.91
964,21.93
965,21.95
966,21.98
967,21.99
968,22.01
969,22.04
970,22.07
971,22.08
972,22.1
973,22.13
974,22.16
975,22.18
976,22.21
977,22.23
978,22.24
979,22.26
980,22.29
981,22.31
982,22.33
983,22.35
984,22.36
985,22.38
986,22.4
987,22.43
988,22.46
989,22.48
990,22.5
991,22.51
992,22.53
993,22.55
994,22.56
995,22.58
996,22.59
997,22.6
998,22.62
999,22.65
1000,22.67
1001,22.68
1002,22.7
1003,22.73
1004,22.76
1005,22.78
1006,22.81
1007,22.84
1008,22.86
1009,22.87
1010,22.9
1011,22.93
1012,22.95
1013,22.97
1014,23
1015,23.02
1016,23.03
1017,23.06
1018,23.09
1019,23.11
1020,23.14
1021,23.17
1022,23.2
1023,23.23
1024,23.25
1025,23.27
1026,23.3
1027,23.32
1028,23.34
1029,23.36
1030,23.38
1031,23.4
1032,23.43
1033,23.44
1034,23.45
1035,23.48
1036,23.51
1037,23.52
1038,23.54
1039,23.56
1040,23.59
1041,23.61
1042,23.63
1043,23.65
1044,23.67
1045,23.7
1046,23.72
1047,23.74
1048,23.76
1049,23.79
1050,23.81
1051,23.83
1052,23.86
1053,23.88
1054,23.91
1055,23.93
1056,23.96
1057,23.99
1058,24
1059,24.01
1060,24.04
1061,24.07
1062,24.09
1063,24.11
1064,24.14
1065,24.15
1066,24.17
1067,24.19
1068,24.22
1069,24.24
1070,24.26
1071,24.29
1072,24.3
1073,24.32
1074,24.34
1075,24.37
1076,24.38
1077,24.4
1078,24.43
1079,24.46
1080,24.48
1081,24.51
1082,24.54
1083,24.56
1084,24.58
1085,24.6
1086,24.62
1087,24.65
1088,24.67
1089,24.68
1090,24.71
1091,24.74
1092,24.76
1093,24.78
1094,24.8
1095,24.82
1096,24.83
1097,24.86
1098,24.89
1099,24.9
1100,24.92
1101,24.95
1102,24.98
1103,24.99
1104,25.01
1105,25.03
1106,25.06
1107,25.08
1108,25.1
1109,25.12
1110,25.15
1111,25.16
1112,25.18
1113,25.2
1114,25.23
1115,25.24
1116,25.26
1117,25.28
1118,25.31
1119,25.34
1120,25.36
1121,25.39
1122,25.42
1123,25.45
1124,25.47
1125,25.49
1126,25.52
1127,25.55
1128,25.58
1129,25.6
1130,25.62
1131,25.65
1132,25.68
1133,25.71
1134,25.75
1135,25.77
1136,25.79
1137,25.82
1138,25.85
1139,25.88
1140,25.91
1141,25.94
1142,25.96
1143,25.98
1144,26.01
1145,26.04
1146,26.07
1147,26.1
1148,26.12
1149,26.14
1150,26.16
1151,26.19
1152,26.22
1153,26.25
1154,26.28
1155,26.3
1156,26.32
1157,26.35
1158,26.38
1159,26.4
1160,26.43
1161,26.46
1162,26.48
1163,26.5
1164,26.53
1165,26.55
1166,26.57
1167,26.6
1168,26.62
1169,26.64
1170,26.67
1171,26.69
1172,26.71
1173,26.74
1174,26.77
1175,26.79
1176,26.81
1177,26.83
1178,26.86
1179,26.89
1180,26.91
1181,26.93
1182,26.96
1183,26.98
1184,27
1185,27.03
1186,27.06
1187,27.09
1188,27.1
1189,27.13
1190,27.15
1191,27.18
1192,27.2
1193,27.23
1194,27.26
1195,27.28
1196,27.29
1197,27.31
1198,27.34
1199,27.37
1200,27.39
1201,27.41
1202,27.44
1203,27.47
1204,27.49
1205,27.51
1206,27.54
1207,27.57
1208,27.58
1209,27.6
1210,27.61
1211,27.64
1212,27.67
1213,27.69
1214,27.71
1215,27.74
1216,27.78
1217,27.8
1218,27.82
1219,27.85
1220,27.88
1221,27.9
1222,27.92
1223,27.94
1224,27.97
1225,28
1226,28.03
1227,28.05
1228,28.07
1229,28.1
1230,28.13
1231,28.15
1232,28.17
1233,28.2
1234,28.23
1235,28.26
1236,28.28
1237,28.3
1238,28.33
1239,28.36
1240,28.38
1241,28.41
1242,28.44
1243,28.47
1244,28.49
1245,28.53
1246,28.56
1247,28.58
1248,28.6
1249,28.63
1250,28.66
1251,28.68
1252,28.72
1253,28.75
1254,28.77
1255,28.79
1256,28.82
1257,28.85
1258,28.87
1259,28.89
1260,28.92
1261,28.95
1262,28.97
1263,28.99
1264,29.02
1265,29.05
1266,29.07
1267,29.09
1268,29.12
1269,29.15
1270,29.17
1271,29.19
1272,29.22
1273,29.25
1274,29.27
1275,29.29
1276,29.31
1277,29.33
1278,29.35
1279,29.37
1280,29.4
1281,29.43
1282,29.45
1283,29.48
1284,29.51
1285,29.52
1286,29.54
1287,29.57
1288,29.6
1289,29.62
1290,29.65
1291,29.68
1292,29.69
1293,29.71
1294,29.74
1295,29.77
1296,29.78
1297,29.8
1298,29.82
1299,29.85
1300,29.88
1301,29.9
1302,29.93
1303,29.96
1304,29.98
1305,30
1306,30.02
1307,30.05
1308,30.08
1309,30.11
1310,30.12
1311,30.14
1312,30.17
1313,30.2
1314,30.22
1315,30.24
1316,30.27
1317,30.29
1318,30.3
1319,30.32
1320,30.34
1321,30.37
1322,30.39
1323,30.41
1324,30.44
1325,30.47
1326,30.49
1327,30.5
1328,30.53
1329,30.56
1330,30.58
1331,30.6
1332,30.63
1333,30.66
1334,30.68
1335,30.7
1336,30.73
1337,30.76
1338,30.78
1339,30.8
1340,30.83
1341,30.86
1342,30.88
1343,30.9
1344,30.93
1345,30.96
1346,30.99
1347,31.01
1348,31.03
1349,31.06
1350,31.09
1351,31.13
1352,31.15
1353,31.17
1354,31.2
1355,31.23
1356,31.26
1357,31.28
1358,31.31
1359,31.34
1360,31.37
1361,31.39
1362,31.41
1363,31.44
1364,31.48
1365,31.5
1366,31.52
1367,31.55
1368,31.58
1369,31.61
1370,31.63
1371,31.65
1372,31.68
1373,31.71
1374,31.73
1375,31.75
1376,31.78
1377,31.8
1378,31.82
1379,31.85
1380,31.88
1381,31.91
1382,31.93
1383,31.95
1384,31.98
1385,32
1386,32.01
1387,32.02
1388,32.05
1389,32.08
1390,32.1
1391,32.12
1392,32.15
1393,32.16
1394,32.18
1395,32.21
1396,32.24
1397,32.26
1398,32.28
1399,32.3
1400,32.31
1401,32.33
1402,32.36
1403,32.38
1404,32.4
1405,32.43
1406,32.46
1407,32.48
1408,32.5
1409,32.53
1410,32.56
1411,32.58
1412,32.61
1413,32.64
1414,32.66
1415,32.67
1416,32.69
1417,32.71
1418,32.72
1419,32.75
1420,32.78
1421,32.79
1422,32.82
1423,32.84
1424,32.86
1425,32.87
1426,32.9
1427,32.92
1428,32.93
1429,32.95
1430,32.97
1431,32.99
1432,33.01
1433,33.04
1434,33.06
1435,33.09
1436,33.12
1437,33.14
1438,33.15
1439,33.18
1440,33.2
1441,33.22
1442,33.23
1443,33.26
1444,33.28
1445,33.3
1446,33.32
1447,33.35
1448,33.37
1449,33.4
1450,33.41
1451,33.42
1452,33.45
1453,33.48
1454,33.5
1455,33.51
1456,33.53
1457,33.56
1458,33.58
1459,33.61
1460,33.64
1461,33.66
1462,33.67
1463,33.7
1464,33.73
1465,33.74
1466,33.77
1467,33.8
1468,33.82
1469,33.84
1470,33.87
1471,33.89
1472,33.91
1473,33.93
1474,33.94
1475,33.96
1476,33.98
1477,33.99
1478,34.01
1479,34.04
1480,34.06
1481,34.08
1482,34.11
1483,34.14
1484,34.16
1485,34.17
1486,34.2
1487,34.23
1488,34.25
1489,34.27
1490,34.3
1491,34.33
1492,34.35
1493,34.37
1494,34.4
1495,34.43
1496,34.45
1497,34.47
1498,34.51
1499,34.54
1500,34.57
1501,34.59
1502,34.62
1503,34.65
1504,34.67
1505,34.68
1506,34.7
1507,34.73
1508,34.75
1509,34.77
1510,34.79
1511,34.82
1512,34.85
1513,34.89
1514,34.92
1515,34.94
1516,34.97
1517,34.99
1518,35.01
1519,35.03
1520,35.04
1521,35.05
1522,35.08
1523,35.11
1524,35.12
1525,35.15
1526,35.17
1527,35.2
1528,35.23
1529,35.24
1530,35.25
1531,35.27
1532,35.29
1533,35.31
1534,35.32
1535,35.34
1536,35.36
1537,35.38
1538,35.4
1539,35.41
1540,35.42
1541,35.44
1542,35.46
1543,35.49
1544,35.5
1545,35.51
1546,35.54
1547,35.57
1548,35.58
1549,35.59
1550,35.62
1551,35.64
1552,35.65
1553,35.67
1554,35.7
1555,35.72
1556,35.74
1557,35.77
1558,35.79
1559,35.8
1560,35.83
1561,35.86
1562,35.89
1563,35.9
1564,35.92
1565,35.95
1566,35.97
1567,35.98
1568,36.01
1569,36.04
1570,36.05
1571,36.07
1572,36.09
1573,36.1
1574,36.11
1575,36.14
1576,36.17
1577,36.19
1578,36.22
1579,36.25
1580,36.27
1581,36.29
1582,36.32
1583,36.33
1584,36.34
1585,36.37
1586,36.4
1587,36.41
1588,36.43
1589,36.45
1590,36.47
1591,36.5
1592,36.53
1593,36.55
1594,36.56
1595,36.58
1596,36.61
1597,36.63
1598,36.64
1599,36.66
1600,36.69
1601,36.71
1602,36.73
1603,36.75
1604,36.78
1605,36.8
1606,36.83
1607,36.85
1608,36.86
1609,36.89
1610,36.92
1611,36.93
1612,36.96
1613,36.98
1614,36.99
1615,37.01
1616,37.03
1617,37.06
1618,37.07
1619,37.08
1620,37.1
1621,37.12
1622,37.13
1623,37.15
1624,37.17
1625,37.18
1626,37.19
1627,37.22
1628,37.25
1629,37.26
1630,37.28
1631,37.31
1632,37.34
1633,37.35
1634,37.36
1635,37.39
1636,37.41
1637,37.43
1638,37.45
1639,37.46
1640,37.47
1641,37.49
1642,37.51
1643,37.52
1644,37.55
1645,37.57
1646,37.6
1647,37.62
1648,37.64
1649,37.65
1650,37.67
1651,37.7
1652,37.72
1653,37.73
1654,37.76
1655,37.79
1656,37.82
1657,37.85
1658,37.87
1659,37.89
1660,37.9
1661,37.93
1662,37.96
1663,37.99
1664,38.01
1665,38.03
1666,38.05
1667,38.08
1668,38.1
1669,38.12
1670,38.14
1671,38.17
1672,38.19
1673,38.2
1674,38.23
1675,38.26
1676,38.28
1677,38.29
1678,38.32
1679,38.34
1680,38.36
1681,38.38
1682,38.39
1683,38.42
1684,38.44
1685,38.46
1686,38.48
1687,38.51
1688,38.54
1689,38.55
1690,38.57
1691,38.59
1692,38.62
1693,38.64
1694,38.65
1695,38.68
1696,38.71
1697,38.73
1698,38.76
1699,38.78
1700,38.81
1701,38.82
1702,38.85
1703,38.87
1704,38.89
1705,38.92
1706,38.94
1707,38.95
1708,38.97
1709,39
1710,39.03
1711,39.04
1712,39.06
1713,39.08
1714,39.11
1715,39.13
1716,39.14
1717,39.17
1718,39.2
1719,39.22
1720,39.24
1721,39.27
1722,39.29
1723,39.31
1724,39.33
1725,39.35
1726,39.36
1727,39.38
1728,39.41
1729,39.44
1730,39.47
1731,39.49
1732,39.51
1733,39.53
1734,39.56
1735,39.58
1736,39.59
1737,39.61
1738,39.64
1739,39.67
1740,39.68
1741,39.69
1742,39.72
1743,39.75
1744,39.76
1745,39.78
1746,39.81
1747,39.84
1748,39.86
1749,39.89
1750,39.91
1751,39.93
1752,39.96
1753,39.97
1754,39.99
1755,40.01
1756,40.03
