x,p_0
0.00102914,5.3102e-07
0.00102929,5.32903e-07
0.00102944,5.34791e-07
0.00102959,5.36686e-07
0.00102974,5.38588e-07
0.00102989,5.40495e-07
0.00103004,5.42409e-07
0.0010302,5.4433e-07
0.00103035,5.46257e-07
0.0010305,5.48191e-07
0.00103065,5.50132e-07
0.0010308,5.52079e-07
0.00103095,5.54032e-07
0.0010311,5.55992e-07
0.00103126,5.5796e-07
0.00103141,5.59934e-07
0.00103156,5.61914e-07
0.00103171,5.63902e-07
0.00103186,5.65894e-07
0.00103201,5.67895e-07
0.00103216,5.69903e-07
0.00103232,5.71918e-07
0.00103247,5.73939e-07
0.00103262,5.75968e-07
0.00103277,5.78001e-07
0.00103292,5.80043e-07
0.00103307,5.82093e-07
0.00103322,5.84149e-07
0.00103338,5.86212e-07
0.00103353,5.88282e-07
0.00103368,5.90358e-07
0.00103383,5.92442e-07
0.00103398,5.94533e-07
0.00103413,5.96631e-07
0.00103428,5.98737e-07
0.00103444,6.00849e-07
0.00103459,6.02968e-07
0.00103474,6.05095e-07
0.00103489,6.07229e-07
0.00103504,6.0937e-07
0.00103519,6.11519e-07
0.00103534,6.13675e-07
0.0010355,6.15839e-07
0.00103565,6.18008e-07
0.0010358,6.20186e-07
0.00103595,6.22371e-07
0.0010361,6.24564e-07
0.00103625,6.26764e-07
0.0010364,6.28972e-07
0.00103656,6.31185e-07
0.00103671,6.33408e-07
0.00103686,6.35638e-07
0.00103701,6.37876e-07
0.00103716,6.40122e-07
0.00103731,6.42375e-07
0.00103746,6.44634e-07
0.00103762,6.46902e-07
0.00103777,6.49178e-07
0.00103792,6.51462e-07
0.00103807,6.53753e-07
0.00103822,6.56052e-07
0.00103837,6.58357e-07
0.00103852,6.60672e-07
0.00103868,6.62994e-07
0.00103883,6.65324e-07
0.00103898,6.67663e-07
0.00103913,6.70009e-07
0.00103928,6.72362e-07
0.00103943,6.74724e-07
0.00103959,6.77094e-07
0.00103974,6.79472e-07
0.00103989,6.81858e-07
0.00104004,6.84252e-07
0.00104019,6.86652e-07
0.00104034,6.89062e-07
0.00104049,6.91481e-07
0.00104065,6.93908e-07
0.0010408,6.96342e-07
0.00104095,6.98786e-07
0.0010411,7.01235e-07
0.00104125,7.03694e-07
0.0010414,7.06162e-07
0.00104155,7.08639e-07
0.00104171,7.11123e-07
0.00104186,7.13616e-07
0.00104201,7.16115e-07
0.00104216,7.18625e-07
0.00104231,7.21144e-07
0.00104246,7.2367e-07
0.00104261,7.26205e-07
0.00104277,7.28749e-07
0.00104292,7.31299e-07
0.00104307,7.33861e-07
0.00104322,7.3643e-07
0.00104337,7.39008e-07
0.00104352,7.41595e-07
0.00104367,7.44191e-07
0.00104383,7.46795e-07
0.00104398,7.49406e-07
0.00104413,7.52028e-07
0.00104428,7.54658e-07
0.00104443,7.57298e-07
0.00104458,7.59946e-07
0.00104473,7.62603e-07
0.00104489,7.65268e-07
0.00104504,7.67943e-07
0.00104519,7.70627e-07
0.00104534,7.7332e-07
0.00104549,7.76023e-07
