x,p_0
0.00835978,1.43726e-05
0.00836035,1.44072e-05
0.00836092,1.44419e-05
0.00836149,1.44767e-05
0.00836206,1.45115e-05
0.00836263,1.45464e-05
0.0083632,1.45815e-05
0.00836377,1.46165e-05
0.00836434,1.46517e-05
0.00836491,1.46869e-05
0.00836548,1.47223e-05
0.00836605,1.47577e-05
0.00836662,1.47932e-05
0.00836719,1.48288e-05
0.00836776,1.48644e-05
0.00836833,1.49002e-05
0.0083689,1.4936e-05
0.00836947,1.49719e-05
0.00837004,1.50079e-05
0.00837061,1.5044e-05
0.00837118,1.50801e-05
0.00837175,1.51164e-05
0.00837232,1.51527e-05
0.00837289,1.51891e-05
0.00837346,1.52256e-05
0.00837403,1.52622e-05
0.0083746,1.52989e-05
0.00837518,1.53356e-05
0.00837575,1.53724e-05
0.00837632,1.54094e-05
0.00837689,1.54464e-05
0.00837746,1.54835e-05
0.00837803,1.55206e-05
0.0083786,1.55579e-05
0.00837917,1.55953e-05
0.00837974,1.56327e-05
0.00838031,1.56702e-05
0.00838088,1.57078e-05
0.00838145,1.57455e-05
0.00838202,1.57833e-05
0.00838259,1.58212e-05
0.00838316,1.58592e-05
0.00838373,1.58972e-05
0.0083843,1.59354e-05
0.00838487,1.59736e-05
0.00838544,1.60119e-05
0.00838601,1.60503e-05
0.00838658,1.60888e-05
0.00838715,1.61274e-05
0.00838772,1.61661e-05
0.00838829,1.62048e-05
0.00838886,1.62437e-05
0.00838943,1.62826e-05
0.00839,1.63217e-05
0.00839057,1.63608e-05
0.00839114,1.64e-05
0.00839171,1.64393e-05
0.00839228,1.64787e-05
0.00839285,1.65182e-05
0.00839342,1.65577e-05
0.00839399,1.65974e-05
0.00839456,1.66372e-05
0.00839513,1.6677e-05
0.0083957,1.6717e-05
0.00839627,1.6757e-05
0.00839684,1.67971e-05
0.00839741,1.68374e-05
0.00839798,1.68777e-05
0.00839855,1.69181e-05
0.00839912,1.69586e-05
0.00839969,1.69992e-05
0.00840026,1.70399e-05
0.00840083,1.70807e-05
0.0084014,1.71215e-05
0.00840197,1.71625e-05
0.00840254,1.72036e-05
0.00840311,1.72448e-05
0.00840368,1.7286e-05
0.00840425,1.73274e-05
0.00840482,1.73688e-05
0.00840539,1.74104e-05
0.00840596,1.7452e-05
0.00840653,1.74937e-05
0.0084071,1.75356e-05
0.00840767,1.75775e-05
0.00840824,1.76195e-05
0.00840881,1.76617e-05
0.00840938,1.77039e-05
0.00840996,1.77462e-05
0.00841053,1.77886e-05
0.0084111,1.78311e-05
0.00841167,1.78737e-05
0.00841224,1.79164e-05
0.00841281,1.79592e-05
0.00841338,1.80022e-05
0.00841395,1.80452e-05
0.00841452,1.80883e-05
0.00841509,1.81315e-05
0.00841566,1.81748e-05
0.00841623,1.82182e-05
0.0084168,1.82617e-05
0.00841737,1.83053e-05
0.00841794,1.8349e-05
0.00841851,1.83928e-05
0.00841908,1.84367e-05
0.00841965,1.84807e-05
0.00842022,1.85248e-05
0.00842079,1.85691e-05
0.00842136,1.86134e-05
0.00842193,1.86578e-05
0.0084225,1.87023e-05
0.00842307,1.87469e-05
0.00842364,1.87916e-05
0.00842421,1.88365e-05
0.00842478,1.88814e-05
0.00842535,1.89264e-05
0.00842592,1.89716e-05
0.00842649,1.90168e-05
0.00842706,1.90622e-05
0.00842763,1.91076e-05
0.0084282,1.91532e-05
0.00842877,1.91988e-05
0.00842934,1.92446e-05
0.00842991,1.92905e-05
0.00843048,1.93364e-05
0.00843105,1.93825e-05
0.00843162,1.94287e-05
