x,p_0
-113.709,2.32353e-10
-113.708,2.33104e-10
-113.708,2.33858e-10
-113.708,2.34614e-10
-113.707,2.35372e-10
-113.707,2.36133e-10
-113.707,2.36896e-10
-113.706,2.37661e-10
-113.706,2.38429e-10
-113.706,2.39199e-10
-113.705,2.39971e-10
-113.705,2.40746e-10
-113.705,2.41523e-10
-113.704,2.42303e-10
-113.704,2.43085e-10
-113.704,2.4387e-10
-113.704,2.44657e-10
-113.703,2.45447e-10
-113.703,2.46238e-10
-113.703,2.47033e-10
-113.702,2.47829e-10
-113.702,2.48629e-10
-113.702,2.49431e-10
-113.701,2.50235e-10
-113.701,2.51042e-10
-113.701,2.51851e-10
-113.7,2.52663e-10
-113.7,2.53477e-10
-113.7,2.54294e-10
-113.699,2.55113e-10
-113.699,2.55935e-10
-113.699,2.56759e-10
-113.698,2.57586e-10
-113.698,2.58416e-10
-113.698,2.59248e-10
-113.698,2.60083e-10
-113.697,2.6092e-10
-113.697,2.6176e-10
-113.697,2.62602e-10
-113.696,2.63447e-10
-113.696,2.64295e-10
-113.696,2.65145e-10
-113.695,2.65998e-10
-113.695,2.66854e-10
-113.695,2.67712e-10
-113.694,2.68573e-10
-113.694,2.69436e-10
-113.694,2.70303e-10
-113.693,2.71172e-10
-113.693,2.72043e-10
-113.693,2.72918e-10
-113.692,2.73795e-10
-113.692,2.74674e-10
-113.692,2.75557e-10
-113.692,2.76442e-10
-113.691,2.7733e-10
-113.691,2.78221e-10
-113.691,2.79114e-10
-113.69,2.8001e-10
-113.69,2.80909e-10
-113.69,2.81811e-10
-113.689,2.82715e-10
-113.689,2.83623e-10
-113.689,2.84533e-10
-113.688,2.85445e-10
-113.688,2.86361e-10
-113.688,2.8728e-10
-113.687,2.88201e-10
-113.687,2.89125e-10
-113.687,2.90052e-10
-113.686,2.90982e-10
-113.686,2.91915e-10
-113.686,2.92851e-10
-113.686,2.93789e-10
-113.685,2.94731e-10
-113.685,2.95675e-10
-113.685,2.96622e-10
-113.684,2.97572e-10
-113.684,2.98526e-10
-113.684,2.99482e-10
-113.683,3.00441e-10
-113.683,3.01403e-10
-113.683,3.02367e-10
-113.682,3.03336e-10
-113.682,3.04306e-10
-113.682,3.0528e-10
-113.681,3.06257e-10
-113.681,3.07237e-10
-113.681,3.0822e-10
-113.68,3.09205e-10
-113.68,3.10195e-10
-113.68,3.11187e-10
-113.679,3.12181e-10
-113.679,3.1318e-10
-113.679,3.14181e-10
-113.679,3.15185e-10
-113.678,3.16192e-10
-113.678,3.17203e-10
-113.678,3.18216e-10
-113.677,3.19233e-10
-113.677,3.20253e-10
-113.677,3.21276e-10
-113.676,3.22302e-10
-113.676,3.23331e-10
-113.676,3.24363e-10
-113.675,3.25399e-10
-113.675,3.26438e-10
-113.675,3.27479e-10
-113.674,3.28524e-10
-113.674,3.29573e-10
-113.674,3.30624e-10
-113.673,3.31679e-10
-113.673,3.32737e-10
-113.673,3.33798e-10
-113.673,3.34863e-10
-113.672,3.3593e-10
-113.672,3.37001e-10
-113.672,3.38076e-10
-113.671,3.39153e-10
-113.671,3.40234e-10
-113.671,3.41318e-10
-113.67,3.42406e-10
-113.67,3.43497e-10
-113.67,3.44591e-10
-113.669,3.45689e-10
-113.669,3.46789e-10
-113.669,3.47894e-10
-113.668,3.49001e-10
-113.668,3.50112e-10
-113.668,3.51227e-10
-113.667,3.52345e-10
-113.667,3.53467e-10
-113.667,3.54592e-10
-113.667,3.5572e-10
-113.666,3.56851e-10
-113.666,3.57986e-10
-113.666,3.59125e-10
-113.665,3.60267e-10
-113.665,3.61412e-10
-113.665,3.62562e-10
-113.664,3.63714e-10
-113.664,3.6487e-10
-113.664,3.6603e-10
-113.663,3.67193e-10
-113.663,3.6836e-10
-113.663,3.6953e-10
-113.662,3.70704e-10
-113.662,3.71881e-10
-113.662,3.73062e-10
-113.661,3.74247e-10
-113.661,3.75435e-10
-113.661,3.76627e-10
-113.661,3.77822e-10
-113.66,3.79021e-10
-113.66,3.80224e-10
-113.66,3.81431e-10
-113.659,3.82641e-10
-113.659,3.83855e-10
-113.659,3.85072e-10
-113.658,3.86293e-10
-113.658,3.87518e-10
-113.658,3.88747e-10
-113.657,3.8998e-10
-113.657,3.91216e-10
-113.657,3.92456e-10
-113.656,3.937e-10
-113.656,3.94947e-10
-113.656,3.96198e-10
-113.655,3.97454e-10
-113.655,3.98713e-10
-113.655,3.99975e-10
-113.655,4.01242e-10
-113.654,4.02513e-10
-113.654,4.03787e-10
-113.654,4.05065e-10
-113.653,4.06347e-10
-113.653,4.07634e-10
-113.653,4.08924e-10
-113.652,4.10217e-10
-113.652,4.11515e-10
-113.652,4.12817e-10
-113.651,4.14122e-10
-113.651,4.15432e-10
-113.651,4.16746e-10
-113.65,4.18064e-10
-113.65,4.19385e-10
-113.65,4.20711e-10
-113.649,4.22041e-10
-113.649,4.23375e-10
-113.649,4.24712e-10
-113.649,4.26054e-10
-113.648,4.274e-10
-113.648,4.2875e-10
-113.648,4.30104e-10
-113.647,4.31462e-10
-113.647,4.32825e-10
-113.647,4.34191e-10
-113.646,4.35562e-10
-113.646,4.36937e-10
-113.646,4.38316e-10
-113.645,4.39699e-10
-113.645,4.41086e-10
-113.645,4.42478e-10
-113.644,4.43873e-10
-113.644,4.45274e-10
-113.644,4.46677e-10
-113.643,4.48086e-10
-113.643,4.49499e-10
-113.643,4.50916e-10
-113.643,4.52337e-10
-113.642,4.53763e-10
-113.642,4.55193e-10
-113.642,4.56627e-10
-113.641,4.58066e-10
-113.641,4.59509e-10
-113.641,4.60956e-10
-113.64,4.62408e-10
-113.64,4.63864e-10
-113.64,4.65324e-10
-113.639,4.66789e-10
-113.639,4.68259e-10
-113.639,4.69732e-10
-113.638,4.71211e-10
-113.638,4.72693e-10
-113.638,4.74181e-10
-113.637,4.75672e-10
-113.637,4.77168e-10
-113.637,4.78669e-10
-113.637,4.80174e-10
-113.636,4.81684e-10
-113.636,4.83199e-10
-113.636,4.84718e-10
-113.635,4.86241e-10
-113.635,4.87769e-10
-113.635,4.89302e-10
-113.634,4.9084e-10
-113.634,4.92382e-10
-113.634,4.93928e-10
-113.633,4.95479e-10
-113.633,4.97035e-10
-113.633,4.98596e-10
-113.632,5.00162e-10
-113.632,5.01732e-10
-113.632,5.03307e-10
-113.631,5.04886e-10
-113.631,5.06471e-10
-113.631,5.08061e-10
-113.631,5.09655e-10
-113.63,5.11254e-10
-113.63,5.12857e-10
-113.63,5.14466e-10
-113.629,5.16079e-10
-113.629,5.17697e-10
-113.629,5.1932e-10
-113.628,5.20948e-10
-113.628,5.22581e-10
-113.628,5.24219e-10
-113.627,5.25861e-10
-113.627,5.27508e-10
-113.627,5.29161e-10
-113.626,5.30818e-10
-113.626,5.32481e-10
-113.626,5.34149e-10
-113.625,5.35821e-10
-113.625,5.37498e-10
-113.625,5.39181e-10
-113.625,5.40869e-10
-113.624,5.42562e-10
-113.624,5.44259e-10
-113.624,5.45962e-10
-113.623,5.4767e-10
-113.623,5.49383e-10
-113.623,5.51102e-10
-113.622,5.52825e-10
-113.622,5.54553e-10
-113.622,5.56287e-10
-113.621,5.58026e-10
-113.621,5.5977e-10
-113.621,5.6152e-10
-113.62,5.63275e-10
-113.62,5.65035e-10
-113.62,5.668e-10
-113.619,5.6857e-10
-113.619,5.70346e-10
-113.619,5.72127e-10
-113.618,5.73914e-10
-113.618,5.75706e-10
-113.618,5.77503e-10
-113.618,5.79305e-10
-113.617,5.81114e-10
-113.617,5.82927e-10
-113.617,5.84746e-10
-113.616,5.8657e-10
-113.616,5.884e-10
-113.616,5.90235e-10
-113.615,5.92076e-10
-113.615,5.93922e-10
-113.615,5.95774e-10
-113.614,5.97631e-10
-113.614,5.99494e-10
-113.614,6.01363e-10
-113.613,6.03237e-10
-113.613,6.05116e-10
-113.613,6.07002e-10
-113.612,6.08893e-10
-113.612,6.10789e-10
-113.612,6.12691e-10
-113.612,6.14599e-10
-113.611,6.16513e-10
-113.611,6.18432e-10
-113.611,6.20357e-10
-113.61,6.22289e-10
