mcmc step, learning time
0,0.06
1,0.13
2,0.18
3,0.24
4,0.31
5,0.36
6,0.41
7,0.47
8,0.52
9,0.57
10,0.61
11,0.67
12,0.72
13,0.78
14,0.84
15,0.89
16,0.95
17,1
18,1.05
19,1.1
20,1.15
21,1.2
22,1.27
23,1.33
24,1.39
25,1.46
26,1.52
27,1.59
28,1.66
29,1.73
30,1.79
31,1.84
32,1.91
33,1.98
34,2.04
35,2.09
36,2.16
37,2.22
38,2.28
39,2.33
40,2.38
41,2.43
42,2.49
43,2.53
44,2.58
45,2.64
46,2.69
47,2.74
48,2.79
49,2.86
50,2.93
51,2.99
52,3.07
53,3.13
54,3.19
55,3.25
56,3.31
57,3.37
58,3.43
59,3.49
60,3.55
61,3.6
62,3.67
63,3.73
64,3.79
65,3.86
66,3.93
67,3.99
68,4.06
69,4.11
70,4.17
71,4.24
72,4.3
73,4.37
74,4.44
75,4.5
76,4.57
77,4.64
78,4.71
79,4.78
80,4.85
81,4.93
82,4.99
83,5.05
84,5.11
85,5.16
86,5.22
87,5.28
88,5.34
89,5.4
90,5.48
91,5.54
92,5.59
93,5.65
94,5.7
95,5.76
96,5.82
97,5.88
98,5.94
99,5.99
100,6.05
101,6.1
102,6.17
103,6.22
104,6.28
105,6.35
106,6.41
107,6.48
108,6.55
109,6.61
110,6.68
111,6.76
112,6.85
113,6.93
114,7
115,7.08
116,7.14
117,7.22
118,7.31
119,7.39
120,7.46
121,7.53
122,7.6
123,7.67
124,7.73
125,7.79
126,7.85
127,7.94
128,8
129,8.05
130,8.1
131,8.16
132,8.23
133,8.3
134,8.36
135,8.42
136,8.48
137,8.53
138,8.59
139,8.63
140,8.7
141,8.73
142,8.79
143,8.84
144,8.89
145,8.95
146,9
147,9.06
148,9.12
149,9.17
150,9.23
151,9.28
152,9.34
153,9.41
154,9.48
155,9.54
156,9.61
157,9.66
158,9.73
159,9.79
160,9.84
161,9.91
162,9.97
163,10.03
164,10.1
165,10.16
166,10.24
167,10.31
168,10.38
169,10.45
170,10.52
171,10.59
172,10.67
173,10.73
174,10.8
175,10.88
176,10.94
177,11
178,11.06
179,11.12
180,11.17
181,11.23
182,11.28
183,11.34
184,11.4
185,11.46
186,11.53
187,11.58
188,11.65
189,11.71
190,11.75
191,11.8
192,11.86
193,11.92
194,11.97
195,12.04
196,12.11
197,12.17
198,12.24
199,12.28
200,12.34
201,12.41
202,12.48
203,12.54
204,12.6
205,12.67
206,12.74
207,12.82
208,12.88
209,12.95
210,13.02
211,13.07
212,13.13
213,13.19
214,13.25
215,13.3
216,13.35
217,13.42
218,13.47
219,13.53
220,13.6
221,13.66
222,13.72
223,13.79
224,13.85
225,13.91
226,13.96
227,14.02
228,14.08
229,14.14
230,14.2
231,14.25
232,14.31
233,14.35
234,14.4
235,14.45
236,14.51
237,14.56
238,14.62
239,14.67
240,14.72
241,14.77
242,14.82
243,14.88
244,14.94
245,14.99
246,15.05
247,15.11
248,15.17
249,15.24
250,15.3
251,15.35
252,15.4
253,15.46
254,15.52
255,15.58
256,15.64
257,15.7
258,15.76
259,15.82
260,15.88
261,15.93
262,15.98
263,16.03
264,16.09
265,16.16
266,16.22
267,16.28
268,16.35
269,16.43
270,16.5
271,16.56
272,16.62
273,16.68
274,16.74
275,16.79
276,16.85
277,16.9
278,16.96
279,17.01
280,17.06
281,17.11
282,17.17
283,17.23
284,17.29
285,17.36
286,17.42
287,17.47
288,17.54
289,17.61
290,17.66
291,17.72
292,17.79
293,17.85
294,17.91
295,17.97
296,18.03
297,18.08
298,18.14
299,18.2
300,18.24
301,18.3
302,18.36
303,18.41
304,18.46
305,18.5
306,18.56
307,18.61
308,18.67
309,18.72
310,18.78
311,18.83
312,18.89
313,18.93
314,18.99
315,19.06
316,19.11
317,19.15
318,19.21
319,19.28
320,19.34
321,19.39
322,19.44
323,19.49
324,19.55
325,19.61
326,19.67
327,19.72
328,19.78
329,19.83
330,19.89
331,19.95
332,20.02
333,20.09
334,20.15
335,20.19
336,20.25
337,20.31
338,20.37
339,20.42
340,20.48
341,20.54
342,20.59
343,20.64
344,20.7
345,20.76
346,20.8
347,20.86
348,20.93
349,20.99
350,21.04
351,21.1
352,21.15
353,21.2
354,21.26
355,21.3
356,21.36
357,21.41
358,21.47
359,21.54
360,21.6
361,21.66
362,21.72
363,21.78
364,21.84
365,21.9
366,21.96
367,22.02
368,22.08
369,22.13
370,22.19
371,22.25
372,22.3
373,22.36
374,22.41
375,22.48
376,22.54
377,22.59
378,22.65
379,22.7
380,22.75
381,22.81
382,22.87
383,22.94
384,23
385,23.07
386,23.14
387,23.2
388,23.27
389,23.32
390,23.38
391,23.44
392,23.5
393,23.58
394,23.64
395,23.7
396,23.76
397,23.83
398,23.88
399,23.94
400,24
401,24.07
402,24.12
403,24.18
404,24.25
405,24.33
406,24.38
407,24.47
408,24.53
409,24.6
410,24.66
411,24.73
412,24.79
413,24.86
414,24.93
415,24.99
416,25.07
417,25.13
418,25.19
419,25.26
420,25.32
421,25.38
422,25.46
423,25.53
424,25.58
425,25.63
426,25.68
427,25.74
428,25.79
429,25.84
430,25.9
431,25.94
432,26.01
433,26.07
434,26.12
435,26.18
436,26.24
437,26.3
438,26.37
439,26.43
440,26.49
441,26.55
442,26.61
443,26.65
444,26.72
445,26.78
446,26.84
447,26.9
448,26.94
449,27
450,27.05
451,27.1
452,27.16
453,27.21
454,27.28
455,27.35
456,27.41
457,27.47
458,27.52
459,27.58
460,27.65
461,27.71
462,27.77
463,27.83
464,27.89
465,27.95
466,28.02
467,28.1
468,28.17
469,28.24
470,28.31
471,28.37
472,28.43
473,28.49
474,28.56
475,28.62
476,28.69
477,28.75
478,28.82
479,28.89
480,28.95
481,29.02
482,29.09
483,29.17
484,29.24
485,29.31
486,29.39
487,29.46
488,29.53
489,29.59
490,29.64
491,29.7
492,29.75
493,29.81
494,29.88
495,29.94
496,30
497,30.06
498,30.12
499,30.18
500,30.24
501,30.31
502,30.37
503,30.43
504,30.5
505,30.56
506,30.63
507,30.69
508,30.74
509,30.81
510,30.87
511,30.93
512,30.99
513,31.04
514,31.11
515,31.16
516,31.22
517,31.29
518,31.34
519,31.41
520,31.47
521,31.5
522,31.56
523,31.61
524,31.67
525,31.73
526,31.81
527,31.85
528,31.91
529,31.96
530,32.02
531,32.07
532,32.12
533,32.19
534,32.25
535,32.31
536,32.36
537,32.42
538,32.47
539,32.52
540,32.57
541,32.63
542,32.7
543,32.76
544,32.82
545,32.88
546,32.94
547,33.01
548,33.07
549,33.13
550,33.19
551,33.26
552,33.32
553,33.39
554,33.45
555,33.5
556,33.57
557,33.64
558,33.7
559,33.77
560,33.83
561,33.9
562,33.96
563,34.03
564,34.09
565,34.15
566,34.21
567,34.28
568,34.34
569,34.4
570,34.47
571,34.54
572,34.59
573,34.65
574,34.7
575,34.77
576,34.83
577,34.89
578,34.95
579,35
580,35.07
581,35.12
582,35.18
583,35.23
584,35.29
585,35.35
586,35.41
587,35.47
588,35.52
589,35.57
590,35.61
591,35.67
592,35.73
593,35.78
594,35.83
595,35.89
596,35.94
597,35.99
598,36.05
599,36.09
600,36.14
601,36.21
602,36.26
603,36.31
604,36.37
605,36.42
606,36.48
607,36.53
608,36.58
609,36.63
610,36.7
611,36.78
612,36.84
613,36.91
614,37
615,37.08
616,37.16
617,37.22
618,37.29
619,37.37
620,37.45
621,37.54
622,37.61
623,37.7
624,37.8
625,37.88
626,37.96
627,38.04
628,38.13
629,38.21
630,38.29
631,38.36
632,38.44
633,38.52
634,38.59
635,38.66
636,38.71
637,38.77
638,38.83
639,38.89
640,38.96
641,39.01
642,39.07
643,39.13
644,39.19
645,39.24
646,39.3
647,39.36
648,39.42
649,39.48
650,39.54
651,39.6
652,39.66
653,39.72
654,39.78
655,39.85
656,39.91
657,39.98
658,40.05
659,40.13
660,40.2
661,40.26
662,40.33
663,40.41
664,40.47
665,40.54
666,40.63
667,40.71
668,40.79
669,40.87
670,40.95
671,41.02
672,41.1
673,41.16
674,41.24
675,41.3
676,41.37
677,41.43
678,41.49
679,41.56
680,41.63
681,41.7
682,41.76
683,41.83
684,41.89
685,41.96
686,42.01
687,42.07
688,42.15
689,42.22
690,42.3
691,42.38
692,42.44
693,42.51
694,42.58
695,42.64
696,42.7
697,42.77
698,42.83
699,42.89
700,42.94
701,42.99
702,43.05
703,43.11
704,43.16
705,43.22
706,43.29
707,43.34
708,43.39
709,43.45
710,43.51
711,43.57
712,43.64
713,43.7
714,43.75
715,43.8
716,43.86
717,43.92
718,43.98
719,44.04
720,44.09
721,44.15
722,44.2
723,44.26
724,44.33
725,44.39
726,44.45
727,44.5
728,44.57
729,44.62
730,44.66
731,44.72
732,44.78
733,44.84
734,44.9
735,44.95
736,45.01
737,45.07
738,45.12
739,45.17
740,45.23
741,45.28
742,45.33
743,45.39
744,45.44
745,45.51
746,45.56
747,45.62
748,45.68
749,45.73
750,45.78
751,45.83
752,45.88
753,45.93
754,45.98
755,46.04
756,46.1
757,46.15
758,46.2
759,46.26
760,46.3
761,46.36
762,46.42
763,46.48
764,46.55
765,46.61
766,46.67
767,46.73
768,46.8
769,46.86
770,46.92
771,46.99
772,47.04
773,47.1
774,47.15
775,47.21
776,47.28
777,47.34
778,47.4
779,47.45
780,47.51
781,47.57
782,47.63
783,47.69
784,47.75
785,47.8
786,47.87
787,47.92
788,47.98
789,48.04
790,48.1
791,48.16
792,48.22
793,48.27
794,48.31
795,48.38
796,48.43
797,48.48
798,48.54
799,48.6
800,48.66
801,48.72
802,48.77
803,48.82
804,48.88
805,48.93
806,48.99
807,49.05
808,49.11
809,49.17
810,49.22
811,49.27
812,49.33
813,49.39
814,49.42
815,49.47
816,49.53
817,49.59
818,49.64
819,49.7
820,49.75
821,49.81
822,49.85
823,49.9
824,49.96
825,50.01
826,50.06
827,50.12
828,50.17
829,50.21
830,50.28
831,50.34
832,50.4
833,50.47
834,50.53
835,50.59
836,50.65
837,50.7
838,50.76
839,50.81
840,50.88
841,50.93
842,50.98
843,51.04
844,51.09
845,51.14
846,51.19
847,51.24
848,51.28
849,51.34
850,51.39
851,51.46
852,51.53
853,51.6
854,51.66
855,51.73
856,51.8
857,51.87
858,51.93
859,51.98
860,52.05
861,52.11
862,52.17
863,52.24
864,52.31
865,52.38
866,52.45
867,52.52
868,52.59
869,52.65
870,52.73
871,52.8
872,52.86
873,52.93
874,53
875,53.08
876,53.15
877,53.21
878,53.27
879,53.33
880,53.39
881,53.45
882,53.5
883,53.56
884,53.6
885,53.66
886,53.7
887,53.76
888,53.83
889,53.88
890,53.95
891,54.02
892,54.09
893,54.14
894,54.19
895,54.24
896,54.3
897,54.35
898,54.41
899,54.47
900,54.5
901,54.56
902,54.61
903,54.66
904,54.72
905,54.77
906,54.81
907,54.86
908,54.91
909,54.96
910,55
911,55.06
912,55.12
913,55.17
914,55.23
915,55.29
916,55.33
917,55.38
918,55.43
919,55.47
920,55.52
921,55.58
922,55.63
923,55.67
924,55.72
925,55.78
926,55.83
927,55.89
928,55.94
929,56
930,56.06
931,56.1
932,56.16
933,56.22
934,56.28
935,56.33
936,56.38
937,56.44
938,56.49
939,56.55
940,56.61
941,56.67
942,56.71
943,56.77
944,56.83
945,56.89
946,56.94
947,57
948,57.06
949,57.11
950,57.18
951,57.23
952,57.29
953,57.36
954,57.42
955,57.48
956,57.54
957,57.6
958,57.67
959,57.74
960,57.8
961,57.87
962,57.93
963,57.98
964,58.03
965,58.09
966,58.14
967,58.2
968,58.26
969,58.32
970,58.38
971,58.43
972,58.48
973,58.52
974,58.58
975,58.63
976,58.68
977,58.73
978,58.79
979,58.86
980,58.91
981,58.97
982,59.03
983,59.09
984,59.14
985,59.19
986,59.24
987,59.31
988,59.36
989,59.41
990,59.47
991,59.52
992,59.57
993,59.62
994,59.67
995,59.73
996,59.79
997,59.84
998,59.89
999,59.95
1000,59.99
1001,60.05
1002,60.11
1003,60.16
1004,60.22
1005,60.28
1006,60.32
1007,60.39
1008,60.45
1009,60.52
1010,60.57
1011,60.63
1012,60.68
1013,60.74
1014,60.79
1015,60.83
1016,60.88
1017,60.93
1018,60.98
1019,61.04
1020,61.09
1021,61.13
1022,61.19
1023,61.24
1024,61.29
1025,61.35
1026,61.4
1027,61.45
1028,61.51
1029,61.56
1030,61.61
1031,61.66
1032,61.73
1033,61.79
1034,61.84
1035,61.9
1036,61.95
1037,62
1038,62.05
1039,62.11
1040,62.16
1041,62.22
1042,62.27
1043,62.33
1044,62.37
1045,62.44
1046,62.49
1047,62.54
1048,62.6
1049,62.66
1050,62.73
1051,62.78
1052,62.85
