mcmc step, learning time
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.02
66,0.02
67,0.02
68,0.02
69,0.02
70,0.02
71,0.02
72,0.02
73,0.02
74,0.02
75,0.02
76,0.02
77,0.02
78,0.02
79,0.02
80,0.02
81,0.02
82,0.02
83,0.02
84,0.02
85,0.02
86,0.02
87,0.02
88,0.02
89,0.02
90,0.02
91,0.02
92,0.02
93,0.02
94,0.02
95,0.02
96,0.02
97,0.02
98,0.02
99,0.03
100,0.03
101,0.03
102,0.03
103,0.03
104,0.03
105,0.03
106,0.03
107,0.03
108,0.03
109,0.03
110,0.03
111,0.03
112,0.03
113,0.03
114,0.03
115,0.03
116,0.03
117,0.03
118,0.03
119,0.03
120,0.03
121,0.03
122,0.03
123,0.03
124,0.04
125,0.05
126,0.05
127,0.05
128,0.05
129,0.05
130,0.05
131,0.05
132,0.05
133,0.06
134,0.06
135,0.06
136,0.06
137,0.06
138,0.06
139,0.06
140,0.06
141,0.06
142,0.06
143,0.06
144,0.06
145,0.06
146,0.06
147,0.07
148,0.07
149,0.07
150,0.08
151,0.08
152,0.08
153,0.08
154,0.08
155,0.08
156,0.08
157,0.08
158,0.08
159,0.08
160,0.08
161,0.08
162,0.08
163,0.08
164,0.08
165,0.08
166,0.08
167,0.08
168,0.08
169,0.08
170,0.08
171,0.08
172,0.08
173,0.08
174,0.08
175,0.08
176,0.08
177,0.08
178,0.08
179,0.08
180,0.08
181,0.08
182,0.08
183,0.08
184,0.08
185,0.08
186,0.09
187,0.1
188,0.1
189,0.1
190,0.1
191,0.1
192,0.1
193,0.1
194,0.1
195,0.1
196,0.1
197,0.1
198,0.1
199,0.1
200,0.1
201,0.1
202,0.1
203,0.1
204,0.1
205,0.1
206,0.1
207,0.1
208,0.1
209,0.1
210,0.1
211,0.1
212,0.1
213,0.1
214,0.1
215,0.1
216,0.1
217,0.1
218,0.1
219,0.1
220,0.1
221,0.1
222,0.1
223,0.1
224,0.1
225,0.1
226,0.1
227,0.1
228,0.1
229,0.1
230,0.1
231,0.1
232,0.11
233,0.12
234,0.12
235,0.12
236,0.12
237,0.12
238,0.12
239,0.12
240,0.12
241,0.12
242,0.12
243,0.12
244,0.12
245,0.12
246,0.12
247,0.12
248,0.12
249,0.12
250,0.12
251,0.12
252,0.12
253,0.12
254,0.12
255,0.12
256,0.12
257,0.12
258,0.12
259,0.12
260,0.12
261,0.12
262,0.12
263,0.12
264,0.12
265,0.12
266,0.12
267,0.12
268,0.12
269,0.12
270,0.12
271,0.13
272,0.13
273,0.13
274,0.13
275,0.13
276,0.13
277,0.13
278,0.13
279,0.13
280,0.13
281,0.13
282,0.13
283,0.13
284,0.13
285,0.13
286,0.13
287,0.13
288,0.14
289,0.14
290,0.14
291,0.14
292,0.14
293,0.14
294,0.14
295,0.14
296,0.14
297,0.14
298,0.14
299,0.14
300,0.14
301,0.14
302,0.14
303,0.14
304,0.14
305,0.14
306,0.14
307,0.14
308,0.14
309,0.14
310,0.14
311,0.14
312,0.14
313,0.14
314,0.14
315,0.14
316,0.14
317,0.14
318,0.14
319,0.14
320,0.14
321,0.14
322,0.14
323,0.14
324,0.14
325,0.14
326,0.14
327,0.14
328,0.14
329,0.14
330,0.14
331,0.14
332,0.14
333,0.14
334,0.14
335,0.14
336,0.14
337,0.14
338,0.14
339,0.14
340,0.14
341,0.14
342,0.14
343,0.14
344,0.14
345,0.14
346,0.14
347,0.14
348,0.14
349,0.14
350,0.14
351,0.14
352,0.14
353,0.14
354,0.14
355,0.14
356,0.14
357,0.14
358,0.14
359,0.14
360,0.14
361,0.14
362,0.14
363,0.14
364,0.14
