mcmc step, learning time
0,0.01
1,0.02
2,0.02
3,0.03
4,0.05
5,0.06
6,0.07
7,0.09
8,0.1
9,0.12
10,0.13
11,0.14
12,0.15
13,0.16
14,0.17
15,0.18
16,0.21
17,0.22
18,0.24
19,0.25
20,0.26
21,0.27
22,0.29
23,0.3
24,0.31
25,0.33
26,0.34
27,0.36
28,0.38
29,0.4
30,0.41
31,0.41
32,0.43
33,0.45
34,0.46
35,0.47
36,0.48
37,0.49
38,0.51
39,0.52
40,0.53
41,0.54
42,0.57
43,0.58
44,0.59
45,0.6
46,0.61
47,0.62
48,0.62
49,0.63
50,0.65
51,0.66
52,0.68
53,0.7
54,0.71
55,0.72
56,0.74
57,0.76
58,0.77
59,0.79
60,0.81
61,0.82
62,0.84
63,0.85
64,0.86
65,0.88
66,0.9
67,0.92
68,0.94
69,0.95
70,0.96
71,0.97
72,0.98
73,1
74,1.02
75,1.03
76,1.05
77,1.07
78,1.08
79,1.1
80,1.12
81,1.14
82,1.15
83,1.18
84,1.2
85,1.21
86,1.22
87,1.24
88,1.25
89,1.26
90,1.29
91,1.31
92,1.32
93,1.34
94,1.35
95,1.37
96,1.39
97,1.41
98,1.43
99,1.44
100,1.46
101,1.48
102,1.5
103,1.51
104,1.52
105,1.54
106,1.55
107,1.57
108,1.59
109,1.6
110,1.61
111,1.64
112,1.67
113,1.69
114,1.7
115,1.72
116,1.73
117,1.75
118,1.78
119,1.8
120,1.82
121,1.83
122,1.85
123,1.87
124,1.88
125,1.89
126,1.9
127,1.93
128,1.94
129,1.95
130,1.96
131,1.97
132,1.99
133,2.01
134,2.02
135,2.03
136,2.04
137,2.05
138,2.08
139,2.09
140,2.12
141,2.12
142,2.14
143,2.15
144,2.16
145,2.18
146,2.18
147,2.19
148,2.2
149,2.2
150,2.21
151,2.23
152,2.25
153,2.27
154,2.29
155,2.31
156,2.33
157,2.33
158,2.35
159,2.37
160,2.38
161,2.4
162,2.42
163,2.43
164,2.45
165,2.46
166,2.49
167,2.51
168,2.53
169,2.54
170,2.56
171,2.58
172,2.6
173,2.61
174,2.62
175,2.64
176,2.65
177,2.66
178,2.67
179,2.68
180,2.69
181,2.71
182,2.73
183,2.74
184,2.75
185,2.77
