mcmc step, learning time
0,0.03
1,0.07
2,0.1
3,0.13
4,0.17
5,0.2
6,0.23
7,0.26
8,0.28
9,0.29
10,0.31
11,0.34
12,0.37
13,0.4
14,0.43
15,0.46
16,0.48
17,0.5
18,0.52
19,0.55
20,0.58
21,0.61
22,0.65
23,0.68
24,0.71
25,0.75
26,0.79
27,0.83
28,0.86
29,0.89
30,0.92
31,0.95
32,0.99
33,1.02
34,1.05
35,1.08
36,1.12
37,1.15
38,1.18
39,1.21
40,1.24
41,1.27
42,1.28
43,1.29
44,1.32
45,1.35
46,1.38
47,1.41
48,1.44
49,1.48
50,1.52
51,1.55
52,1.59
53,1.62
54,1.65
55,1.68
56,1.71
57,1.74
58,1.77
59,1.79
60,1.82
61,1.85
62,1.89
63,1.92
64,1.95
65,1.97
66,2
67,2.02
68,2.05
69,2.08
70,2.12
71,2.16
72,2.19
73,2.22
74,2.25
75,2.28
76,2.31
77,2.35
78,2.39
79,2.42
80,2.46
81,2.49
82,2.51
83,2.53
84,2.55
85,2.58
86,2.61
87,2.64
88,2.67
89,2.7
90,2.74
91,2.76
92,2.78
93,2.81
94,2.84
95,2.87
96,2.9
97,2.93
98,2.95
99,2.97
100,2.99
101,3.01
102,3.04
103,3.07
104,3.1
105,3.13
106,3.16
107,3.19
108,3.22
109,3.25
110,3.28
111,3.31
112,3.34
113,3.36
114,3.4
115,3.44
116,3.47
117,3.5
118,3.54
119,3.57
120,3.6
121,3.64
122,3.67
123,3.7
124,3.73
125,3.76
126,3.8
127,3.84
128,3.86
129,3.89
130,3.92
131,3.95
132,3.97
133,4
134,4.03
135,4.06
136,4.09
137,4.11
138,4.13
139,4.15
140,4.18
141,4.19
142,4.22
143,4.24
144,4.27
145,4.3
146,4.33
147,4.36
148,4.39
149,4.42
150,4.44
151,4.46
152,4.49
153,4.52
154,4.55
155,4.58
156,4.61
157,4.64
158,4.67
159,4.69
160,4.71
161,4.74
162,4.77
163,4.8
164,4.83
165,4.86
166,4.89
167,4.92
168,4.95
169,4.98
170,5.01
