mode likelihood,mean likelihood, true likelihood
-5.68855,-5.7546,-5.37421
-5.7329,-6.0201,-5.37421
-5.68577,-5.68544,-5.37421
-5.99963,-5.71788,-5.37421
-5.52083,-5.66132,-5.37421
-5.51829,-5.67733,-5.37421
-5.49414,-5.58215,-5.37421
-5.49182,-5.59123,-5.37421
-5.40955,-5.50798,-5.37421
-5.47966,-5.59235,-5.37421
-5.41324,-5.65284,-5.37421
-5.47469,-5.62361,-5.37421
-5.54871,-5.64901,-5.37421
-5.45193,-5.50732,-5.37421
-5.41765,-5.52411,-5.37421
-5.42161,-5.46288,-5.37421
-5.46978,-5.52313,-5.37421
-5.39295,-5.50818,-5.37421
-5.40727,-5.62083,-5.37421
-5.44834,-5.53219,-5.37421
-5.36907,-5.59009,-5.37421
-5.43971,-5.49961,-5.37421
-5.51962,-5.54798,-5.37421
-5.54353,-5.46843,-5.37421
-5.4979,-5.61147,-5.37421
-5.40459,-5.51038,-5.37421
-5.48797,-5.53815,-5.37421
-5.4831,-5.59717,-5.37421
-5.40049,-5.47484,-5.37421
-5.42716,-5.55349,-5.37421
-5.55011,-5.43057,-5.37421
-5.47716,-5.44456,-5.37421
-5.41849,-5.42877,-5.37421
-5.4425,-5.38307,-5.37421
-5.46906,-5.43884,-5.37421
-5.41116,-5.42214,-5.37421
-5.48842,-5.37152,-5.37421
-5.46706,-5.391,-5.37421
-5.31152,-5.34825,-5.37421
-5.46949,-5.3759,-5.37421
-5.34134,-5.32346,-5.37421
-5.47633,-5.38848,-5.37421
-5.3832,-5.30245,-5.37421
-5.40495,-5.418,-5.37421
-5.51821,-5.43512,-5.37421
-5.46656,-5.41305,-5.37421
-5.54854,-5.32239,-5.37421
-5.45473,-5.33679,-5.37421
-5.3506,-5.34955,-5.37421
-5.39096,-5.39075,-5.37421
-5.41122,-5.25734,-5.37421
-5.46744,-5.36648,-5.37421
-5.43945,-5.39833,-5.37421
-5.36955,-5.39418,-5.37421
-5.51059,-5.25159,-5.37421
-5.35054,-5.38189,-5.37421
-5.3687,-5.31271,-5.37421
-5.49194,-5.45319,-5.37421
-5.40234,-5.31041,-5.37421
-5.39341,-5.40365,-5.37421
-5.42397,-5.39958,-5.37421
-5.41363,-5.24463,-5.37421
-5.49309,-5.35361,-5.37421
-5.37446,-5.30349,-5.37421
-5.39933,-5.29447,-5.37421
-5.32304,-5.30217,-5.37421
-5.33571,-5.36713,-5.37421
-5.41684,-5.32543,-5.37421
-5.44101,-5.37358,-5.37421
-5.42981,-5.36279,-5.37421
-5.38787,-5.42385,-5.37421
-5.4545,-5.33909,-5.37421
-5.26361,-5.39947,-5.37421
-5.417,-5.38364,-5.37421
-5.41442,-5.3054,-5.37421
-5.3763,-5.35689,-5.37421
-5.43751,-5.39903,-5.37421
-5.35175,-5.328,-5.37421
-5.46113,-5.43905,-5.37421
-5.57329,-5.30294,-5.37421
-5.41351,-5.2194,-5.37421
-5.49284,-5.34295,-5.37421
-5.39702,-5.31433,-5.37421
-5.41791,-5.3461,-5.37421
-5.3834,-5.33983,-5.37421
-5.34853,-5.37952,-5.37421
-5.44429,-5.30158,-5.37421
-5.44077,-5.26366,-5.37421
-5.42112,-5.32864,-5.37421
-5.46907,-5.37569,-5.37421
-5.43783,-5.40363,-5.37421
-5.57962,-5.34728,-5.37421
-5.38626,-5.32673,-5.37421
-5.53528,-5.331,-5.37421
-5.3351,-5.35474,-5.37421
-5.4591,-5.31067,-5.37421
-5.46585,-5.45067,-5.37421
-5.46144,-5.36186,-5.37421
-5.32105,-5.41516,-5.37421
-5.48342,-5.26866,-5.37421
-5.51262,-5.36835,-5.37421
-5.3329,-5.34547,-5.37421
-5.32992,-5.32628,-5.37421
-5.40972,-5.30202,-5.37421
-5.35302,-5.27753,-5.37421
