x,p_0
0.00451029,5.56203e-07
0.00452908,7.53045e-07
0.00454787,1.01623e-06
0.00456665,1.36695e-06
0.00458544,1.83274e-06
0.00460423,2.44927e-06
0.00462302,3.26261e-06
0.00464181,4.33198e-06
0.0046606,5.73327e-06
0.00467939,7.56336e-06
0.00469817,9.94549e-06
0.00471696,1.30358e-05
0.00473575,1.70315e-05
0.00475454,2.21806e-05
0.00477333,2.87939e-05
0.00479212,3.72596e-05
0.0048109,4.80606e-05
0.00482969,6.17953e-05
0.00484848,7.92025e-05
0.00486727,0.000101191
0.00488606,0.000128876
0.00490485,0.000163617
0.00492364,0.000207069
0.00494242,0.000261238
0.00496121,0.000328545
0.00498,0.000411903
0.00499879,0.000514802
0.00501758,0.000641408
0.00503637,0.000796678
0.00505516,0.000986481
0.00507394,0.00121775
0.00509273,0.00149863
0.00511152,0.00183867
0.00513031,0.002249
0.0051491,0.00274258
0.00516789,0.0033344
0.00518668,0.00404176
0.00520546,0.00488455
0.00522425,0.00588553
0.00524304,0.00707066
0.00526183,0.00846946
0.00528062,0.0101153
0.00529941,0.0120459
0.0053182,0.0143034
0.00533698,0.0169352
0.00535577,0.0199942
0.00537456,0.0235387
0.00539335,0.0276338
0.00541214,0.0323506
0.00543093,0.0377678
0.00544971,0.043971
0.0054685,0.0510537
0.00548729,0.0591174
0.00550608,0.0682718
0.00552487,0.0786352
0.00554366,0.0903346
0.00556245,0.103506
0.00558123,0.118294
0.00560002,0.134853
0.00561881,0.153345
0.0056376,0.173943
0.00565639,0.196828
0.00567518,0.222189
0.00569397,0.250224
0.00571275,0.281142
0.00573154,0.315155
0.00575033,0.352488
0.00576912,0.393371
0.00578791,0.438041
0.0058067,0.486746
0.00582549,0.539736
0.00584427,0.597271
0.00586306,0.659618
0.00588185,0.727049
0.00590064,0.799844
0.00591943,0.878292
0.00593822,0.962686
0.00595701,1.05333
0.00597579,1.15053
0.00599458,1.25461
0.00601337,1.36591
0.00603216,1.48475
0.00605095,1.61149
0.00606974,1.74651
0.00608852,1.89017
0.00610731,2.04287
0.0061261,2.20503
0.00614489,2.37706
0.00616368,2.55943
0.00618247,2.7526
0.00620126,2.95705
0.00622004,3.17331
0.00623883,3.4019
0.00625762,3.64338
0.00627641,3.89833
0.0062952,4.16736
0.00631399,4.4511
0.00633278,4.7502
0.00635156,5.06531
0.00637035,5.39715
0.00638914,5.7464
0.00640793,6.1138
0.00642672,6.50008
0.00644551,6.90597
0.0064643,7.33224
0.00648308,7.77963
0.00650187,8.24888
0.00652066,8.74075
0.00653945,9.25597
0.00655824,9.79525
0.00657703,10.3593
0.00659581,10.9488
0.0066146,11.5645
0.00663339,12.2069
0.00665218,12.8767
0.00667097,13.5744
0.00668976,14.3007
0.00670855,15.056
0.00672733,15.8409
0.00674612,16.6558
0.00676491,17.5012
0.0067837,18.3775
0.00680249,19.2852
0.00682128,20.2247
0.00684007,21.1963
0.00685885,22.2006
0.00687764,23.2379
0.00689643,24.3086
0.00691522,25.4133
0.00693401,26.5524
0.0069528,27.7265
0.00697159,28.936
0.00699037,30.1816
0.00700916,31.4639
0.00702795,32.7836
0.00704674,34.1415
0.00706553,35.5382
0.00708432,36.9746
0.00710311,38.4516
0.00712189,39.97
0.00714068,41.5307
0.00715947,43.1348
0.00717826,44.7832
0.00719705,46.4767
0.00721584,48.2165
0.00723462,50.0035
0.00725341,51.8385
0.0072722,53.7225
0.00729099,55.6564
0.00730978,57.6409
0.00732857,59.6769
0.00734736,61.765
0.00736614,63.9057
0.00738493,66.0997
0.00740372,68.3474
0.00742251,70.6491
0.0074413,73.0051
0.00746009,75.4156
0.00747888,77.8806
0.00749766,80.4001
0.00751645,82.9741
0.00753524,85.6023
0.00755403,88.2846
0.00757282,91.0207
0.00759161,93.8103
0.0076104,96.6528
0.00762918,99.548
0.00764797,102.495
0.00766676,105.494
0.00768555,108.545
0.00770434,111.646
0.00772313,114.797
0.00774192,117.999
0.0077607,121.25
0.00777949,124.55
0.00779828,127.898
0.00781707,131.295
0.00783586,134.74
0.00785465,138.232
0.00787343,141.771
0.00789222,145.357
0.00791101,148.989
0.0079298,152.667
0.00794859,156.39
0.00796738,160.157
0.00798617,163.967
0.00800495,167.82
0.00802374,171.715
0.00804253,175.649
0.00806132,179.622
0.00808011,183.632
0.0080989,187.676
0.00811769,191.753
0.00813647,195.859
0.00815526,199.992
0.00817405,204.148
0.00819284,208.325
0.00821163,212.518
0.00823042,216.723
0.00824921,220.936
0.00826799,225.152
0.00828678,229.366
0.00830557,233.574
0.00832436,237.769
0.00834315,241.946
0.00836194,246.1
0.00838073,250.225
0.00839951,254.316
0.0084183,258.366
0.00843709,262.369
0.00845588,266.321
0.00847467,270.216
0.00849346,274.047
0.00851224,277.811
0.00853103,281.503
0.00854982,285.117
0.00856861,288.649
0.0085874,292.095
0.00860619,295.451
0.00862498,298.715
0.00864376,301.882
0.00866255,304.95
0.00868134,307.916
0.00870013,310.778
0.00871892,313.535
0.00873771,316.184
0.0087565,318.724
0.00877528,321.154
0.00879407,323.473
0.00881286,325.68
0.00883165,327.775
0.00885044,329.756
0.00886923,331.625
0.00888802,333.379
0.0089068,335.02
0.00892559,336.547
0.00894438,337.96
0.00896317,339.259
0.00898196,340.444
0.00900075,341.515
0.00901954,342.473
0.00903832,343.317
0.00905711,344.049
0.0090759,344.668
0.00909469,345.175
0.00911348,345.571
0.00913227,345.856
0.00915105,346.032
0.00916984,346.099
0.00918863,346.06
0.00920742,345.914
0.00922621,345.663
0.009245,345.31
0.00926379,344.857
0.00928257,344.304
0.00930136,343.654
0.00932015,342.91
0.00933894,342.073
0.00935773,341.146
0.00937652,340.133
0.00939531,339.034
0.00941409,337.853
0.00943288,336.592
0.00945167,335.255
0.00947046,333.842
0.00948925,332.358
0.00950804,330.804
0.00952683,329.183
0.00954561,327.496
0.0095644,325.746
0.00958319,323.935
0.00960198,322.064
0.00962077,320.135
0.00963956,318.15
0.00965835,316.11
0.00967713,314.015
0.00969592,311.868
0.00971471,309.668
0.0097335,307.417
0.00975229,305.115
0.00977108,302.763
0.00978986,300.362
0.00980865,297.911
0.00982744,295.412
0.00984623,292.864
0.00986502,290.268
0.00988381,287.625
0.0099026,284.935
0.00992138,282.199
0.00994017,279.417
0.00995896,276.59
0.00997775,273.718
0.00999654,270.803
0.0100153,267.845
0.0100341,264.846
0.0100529,261.807
0.0100717,258.728
0.0100905,255.612
0.0101093,252.459
0.0101281,249.272
0.0101468,246.052
0.0101656,242.8
0.0101844,239.519
0.0102032,236.21
0.010222,232.876
0.0102408,229.518
0.0102596,226.138
0.0102784,222.738
0.0102972,219.321
0.0103159,215.889
0.0103347,212.444
0.0103535,208.988
0.0103723,205.524
0.0103911,202.054
0.0104099,198.581
0.0104287,195.107
0.0104475,191.635
0.0104663,188.168
0.010485,184.708
0.0105038,181.258
0.0105226,177.821
0.0105414,174.401
0.0105602,171
0.010579,167.621
0.0105978,164.267
0.0106166,160.943
0.0106353,157.65
0.0106541,154.393
0.0106729,151.175
0.0106917,147.998
0.0107105,144.867
0.0107293,141.783
0.0107481,138.751
0.0107669,135.773
0.0107857,132.852
0.0108044,129.991
0.0108232,127.19
0.010842,124.454
0.0108608,121.783
0.0108796,119.18
0.0108984,116.644
0.0109172,114.178
0.010936,111.781
0.0109548,109.453
0.0109735,107.196
0.0109923,105.007
0.0110111,102.887
0.0110299,100.833
0.0110487,98.8438
0.0110675,96.9183
0.0110863,95.0537
0.0111051,93.2477
0.0111239,91.4975
0.0111426,89.8002
0.0111614,88.1527
0.0111802,86.5518
0.011199,84.9941
0.0112178,83.4763
0.0112366,81.9951
0.0112554,80.547
0.0112742,79.1288
0.0112929,77.7373
0.0113117,76.3693
0.0113305,75.0221
0.0113493,73.6928
0.0113681,72.379
0.0113869,71.0784
0.0114057,69.7889
0.0114245,68.5088
0.0114433,67.2367
0.011462,65.9712
0.0114808,64.7115
0.0114996,63.4569
0.0115184,62.2071
0.0115372,60.9618
0.011556,59.7213
0.0115748,58.4858
0.0115936,57.256
0.0116124,56.0325
0.0116311,54.8163
0.0116499,53.6085
0.0116687,52.4102
0.0116875,51.2226
0.0117063,50.0473
0.0117251,48.8854
0.0117439,47.7384
0.0117627,46.6077
0.0117814,45.4947
0.0118002,44.4006
0.011819,43.3267
0.0118378,42.2742
0.0118566,41.244
0.0118754,40.2372
0.0118942,39.2544
0.011913,38.2965
0.0119318,37.3638
0.0119505,36.4569
0.0119693,35.576
0.0119881,34.7212
0.0120069,33.8925
0.0120257,33.0898
0.0120445,32.3128
0.0120633,31.5612
0.0120821,30.8345
0.0121009,30.1321
0.0121196,29.4535
0.0121384,28.7979
0.0121572,28.1648
0.012176,27.5532
0.0121948,26.9624
0.0122136,26.3916
0.0122324,25.8401
0.0122512,25.307
0.01227,24.7916
0.0122887,24.2932
0.0123075,23.8111
0.0123263,23.3447
0.0123451,22.8933
0.0123639,22.4565
0.0123827,22.0338
0.0124015,21.6247
0.0124203,21.2289
0.012439,20.8462
0.0124578,20.4763
0.0124766,20.1189
0.0124954,19.7741
0.0125142,19.4416
0.012533,19.1215
0.0125518,18.8137
0.0125706,18.5182
0.0125894,18.2351
0.0126081,17.9643
0.0126269,17.7059
0.0126457,17.46
0.0126645,17.2264
0.0126833,17.0053
0.0127021,16.7965
0.0127209,16.5999
0.0127397,16.4155
0.0127585,16.243
0.0127772,16.0822
0.012796,15.9328
0.0128148,15.7945
0.0128336,15.6669
0.0128524,15.5494
0.0128712,15.4416
0.01289,15.343
0.0129088,15.2528
0.0129275,15.1705
0.0129463,15.0952
0.0129651,15.0264
0.0129839,14.9632
0.0130027,14.9048
0.0130215,14.8504
0.0130403,14.7993
0.0130591,14.7506
0.0130779,14.7036
0.0130966,14.6574
0.0131154,14.6114
0.0131342,14.5648
0.013153,14.5169
0.0131718,14.4671
0.0131906,14.4148
0.0132094,14.3596
0.0132282,14.3008
0.013247,14.2381
0.0132657,14.1712
0.0132845,14.0996
0.0133033,14.0233
0.0133221,13.9419
0.0133409,13.8553
0.0133597,13.7636
0.0133785,13.6665
0.0133973,13.5642
0.0134161,13.4567
0.0134348,13.3441
0.0134536,13.2266
0.0134724,13.1043
0.0134912,12.9773
0.01351,12.846
0.0135288,12.7106
0.0135476,12.5713
0.0135664,12.4284
0.0135851,12.2821
0.0136039,12.1328
0.0136227,11.9807
0.0136415,11.8262
0.0136603,11.6695
0.0136791,11.5108
0.0136979,11.3506
0.0137167,11.189
0.0137355,11.0264
0.0137542,10.863
0.013773,10.6991
0.0137918,10.535
0.0138106,10.371
0.0138294,10.2073
0.0138482,10.0442
0.013867,9.88194
0.0138858,9.72084
0.0139046,9.56115
0.0139233,9.40312
0.0139421,9.24703
0.0139609,9.09314
0.0139797,8.9417
0.0139985,8.79297
0.0140173,8.64721
0.0140361,8.50464
0.0140549,8.36551
0.0140736,8.23003
0.0140924,8.09843
0.0141112,7.97089
0.01413,7.84761
0.0141488,7.72874
0.0141676,7.61443
0.0141864,7.50482
0.0142052,7.40002
0.014224,7.30011
0.0142427,7.20518
0.0142615,7.11526
0.0142803,7.0304
0.0142991,6.9506
0.0143179,6.87588
0.0143367,6.80619
0.0143555,6.74151
0.0143743,6.6818
0.0143931,6.62698
0.0144118,6.57699
0.0144306,6.53175
0.0144494,6.49117
0.0144682,6.45516
0.014487,6.42361
0.0145058,6.39643
0.0145246,6.37351
0.0145434,6.35474
0.0145622,6.34001
0.0145809,6.32922
0.0145997,6.32224
0.0146185,6.31897
0.0146373,6.31928
0.0146561,6.32305
0.0146749,6.33015
0.0146937,6.34045
0.0147125,6.35381
0.0147312,6.37007
0.01475,6.38907
0.0147688,6.41063
0.0147876,6.43456
0.0148064,6.46067
0.0148252,6.48872
0.014844,6.51849
0.0148628,6.54971
0.0148816,6.58212
0.0149003,6.61541
0.0149191,6.64928
0.0149379,6.68341
0.0149567,6.71746
0.0149755,6.75106
0.0149943,6.78385
0.0150131,6.81547
0.0150319,6.84552
0.0150507,6.87363
0.0150694,6.89942
0.0150882,6.92252
0.015107,6.94256
0.0151258,6.9592
0.0151446,6.97212
