x,p_0
0.00798617,1.41106e-05
0.00804653,1.796e-05
0.00810688,2.28147e-05
0.00816724,2.8925e-05
0.00822759,3.66e-05
0.00828794,4.62207e-05
0.0083483,5.82563e-05
0.00840865,7.32822e-05
0.00846901,9.20035e-05
0.00852936,0.000115282
0.00858971,0.000144168
0.00865007,0.00017994
0.00871042,0.000224151
0.00877078,0.000278679
0.00883113,0.000345797
0.00889149,0.000428244
0.00895184,0.000529317
0.00901219,0.000652971
0.00907255,0.000803946
0.0091329,0.000987905
0.00919326,0.0012116
0.00925361,0.00148306
0.00931397,0.00181182
0.00937432,0.00220918
0.00943467,0.00268845
0.00949503,0.00326537
0.00955538,0.00395842
0.00961574,0.00478928
0.00967609,0.00578334
0.00973644,0.00697024
0.0097968,0.00838452
0.00985715,0.0100663
0.00991751,0.0120622
0.00997786,0.0144259
0.0100382,0.0172197
0.0100986,0.020515
0.0101589,0.024394
0.0102193,0.0289508
0.0102796,0.034293
0.01034,0.0405431
0.0104003,0.0478405
0.0104607,0.0563436
0.010521,0.0662312
0.0105814,0.0777054
0.0106418,0.0909936
0.0107021,0.106351
0.0107625,0.124065
0.0108228,0.144453
0.0108832,0.167873
0.0109435,0.19472
0.0110039,0.225433
0.0110642,0.260496
0.0111246,0.300444
0.0111849,0.345864
0.0112453,0.397401
0.0113057,0.455758
0.011366,0.521702
0.0114264,0.596066
0.0114867,0.679754
0.0115471,0.773741
0.0116074,0.879078
0.0116678,0.996893
0.0117281,1.12839
0.0117885,1.27486
0.0118488,1.43767
0.0119092,1.61826
0.0119695,1.81817
0.0120299,2.03901
0.0120903,2.28245
0.0121506,2.55026
0.012211,2.84426
0.0122713,3.16635
0.0123317,3.51847
0.012392,3.90263
0.0124524,4.32085
0.0125127,4.77521
0.0125731,5.2678
0.0126334,5.8007
0.0126938,6.37602
0.0127542,6.99582
0.0128145,7.66213
0.0128749,8.37692
0.0129352,9.1421
0.0129956,9.95948
0.0130559,10.8308
0.0131163,11.7575
0.0131766,12.7412
0.013237,13.783
0.0132973,14.884
0.0133577,16.0452
0.0134181,17.267
0.0134784,18.5499
0.0135388,19.894
0.0135991,21.2992
0.0136595,22.7649
0.0137198,24.2905
0.0137802,25.8749
0.0138405,27.5167
0.0139009,29.2141
0.0139612,30.9652
0.0140216,32.7675
0.0140819,34.6183
0.0141423,36.5146
0.0142027,38.4531
0.014263,40.4301
0.0143234,42.4416
0.0143837,44.4836
0.0144441,46.5515
0.0145044,48.6408
0.0145648,50.7465
0.0146251,52.8636
0.0146855,54.9869
0.0147458,57.1113
0.0148062,59.2314
0.0148666,61.3417
0.0149269,63.4371
0.0149873,65.512
0.0150476,67.5612
0.015108,69.5797
0.0151683,71.5623
0.0152287,73.5043
0.015289,75.401
0.0153494,77.248
0.0154097,79.0411
0.0154701,80.7766
