x,p_0
-1.40998,2.27901e-09
-1.40338,3.43678e-09
-1.39677,5.15039e-09
-1.39017,7.67029e-09
-1.38357,1.13519e-08
-1.37697,1.66959e-08
-1.37036,2.44027e-08
-1.36376,3.54447e-08
-1.35716,5.11626e-08
-1.35056,7.33912e-08
-1.34396,1.04622e-07
-1.33735,1.48216e-07
-1.33075,2.08669e-07
-1.32415,2.91955e-07
-1.31755,4.05945e-07
-1.31094,5.60939e-07
-1.30434,7.70304e-07
-1.29774,1.05126e-06
-1.29114,1.4258e-06
-1.28453,1.92182e-06
-1.27793,2.57438e-06
-1.27133,3.42722e-06
-1.26473,4.53445e-06
-1.25813,5.96241e-06
-1.25152,7.79181e-06
-1.24492,1.01199e-05
-1.23832,1.3063e-05
-1.23172,1.67586e-05
-1.22511,2.13682e-05
-1.21851,2.70793e-05
-1.21191,3.41078e-05
-1.20531,4.26995e-05
-1.19871,5.31311e-05
-1.1921,6.57114e-05
-1.1855,8.07803e-05
-1.1789,9.87079e-05
-1.1723,0.000119892
-1.16569,0.000144753
-1.15909,0.00017373
-1.15249,0.000207275
-1.14589,0.000245841
-1.13929,0.000289875
-1.13268,0.000339807
-1.12608,0.000396037
-1.11948,0.000458922
-1.11288,0.000528762
-1.10627,0.000605788
-1.09967,0.000690151
-1.09307,0.000781908
-1.08647,0.000881012
-1.07987,0.000987305
-1.07326,0.00110052
-1.06666,0.00122026
-1.06006,0.00134603
-1.05346,0.00147721
-1.04685,0.0016131
-1.04025,0.00175289
-1.03365,0.00189572
-1.02705,0.00204066
-1.02045,0.00218677
-1.01384,0.00233307
-1.00724,0.00247863
-1.00064,0.00262252
-0.994036,0.00276388
-0.987434,0.00290193
-0.980832,0.00303598
-0.974229,0.00316541
-0.967627,0.00328975
-0.961025,0.0034086
-0.954423,0.00352171
-0.94782,0.00362891
-0.941218,0.00373012
-0.934616,0.00382535
-0.928014,0.00391469
-0.921411,0.00399827
-0.914809,0.00407623
-0.908207,0.00414877
-0.901605,0.00421606
