x,p_0
-269.279,5.69089e-12
-267.625,7.06409e-12
-265.972,8.75734e-12
-264.318,1.08425e-11
-262.665,1.3407e-11
-261.012,1.65567e-11
-259.358,2.042e-11
-257.705,2.51526e-11
-256.051,3.09421e-11
-254.398,3.80153e-11
-252.744,4.66453e-11
-251.091,5.71611e-11
-249.438,6.99576e-11
-247.784,8.55089e-11
-246.131,1.04383e-10
-244.477,1.27259e-10
-242.824,1.5495e-10
-241.17,1.88423e-10
-239.517,2.28834e-10
-237.864,2.77554e-10
-236.21,3.36216e-10
-234.557,4.06753e-10
-232.903,4.91457e-10
-231.25,5.93036e-10
-229.596,7.14695e-10
-227.943,8.60205e-10
-226.29,1.03401e-09
-224.636,1.24134e-09
-222.983,1.48833e-09
-221.329,1.78218e-09
-219.676,2.1313e-09
-218.022,2.54554e-09
-216.369,3.0364e-09
-214.716,3.61727e-09
-213.062,4.30373e-09
-211.409,5.11389e-09
-209.755,6.06879e-09
-208.102,7.19274e-09
-206.448,8.51393e-09
-204.795,1.00649e-08
-203.142,1.18831e-08
-201.488,1.40118e-08
-199.835,1.65007e-08
-198.181,1.94068e-08
-196.528,2.27955e-08
-194.874,2.67415e-08
-193.221,3.13305e-08
-191.568,3.66599e-08
-189.914,4.28411e-08
-188.261,5.00002e-08
-186.607,5.82811e-08
-184.954,6.78464e-08
-183.3,7.88805e-08
-181.647,9.15919e-08
-179.994,1.06216e-07
-178.34,1.23016e-07
-176.687,1.42293e-07
-175.033,1.64379e-07
-173.38,1.89651e-07
-171.726,2.18528e-07
-170.073,2.5148e-07
-168.42,2.89032e-07
-166.766,3.31766e-07
-165.113,3.80332e-07
-163.459,4.35451e-07
-161.806,4.97921e-07
-160.152,5.68626e-07
-158.499,6.48542e-07
-156.846,7.38746e-07
-155.192,8.40423e-07
-153.539,9.54873e-07
-151.885,1.08353e-06
-150.232,1.22795e-06
-148.578,1.38984e-06
-146.925,1.57107e-06
-145.272,1.77368e-06
-143.618,1.99986e-06
-141.965,2.25201e-06
-140.311,2.53273e-06
-138.658,2.84481e-06
-137.004,3.19128e-06
-135.351,3.5754e-06
-133.698,4.00065e-06
-132.044,4.4708e-06
-130.391,4.98984e-06
-128.737,5.56208e-06
-127.084,6.19206e-06
-125.43,6.88464e-06
-123.777,7.64498e-06
-122.124,8.47853e-06
-120.47,9.39103e-06
-118.817,1.03886e-05
-117.163,1.14775e-05
-115.51,1.26645e-05
-113.856,1.39566e-05
-112.203,1.53611e-05
-110.55,1.68855e-05
-108.896,1.85378e-05
-107.243,2.0326e-05
-105.589,2.22586e-05
-103.936,2.43442e-05
-102.282,2.65916e-05
-100.629,2.90099e-05
-98.9756,3.16083e-05
-97.3221,3.43961e-05
-95.6687,3.73826e-05
-94.0153,4.05775e-05
-92.3619,4.399e-05
-90.7084,4.76297e-05
-89.055,5.15059e-05
-87.4016,5.56278e-05
-85.7481,6.00043e-05
-84.0947,6.46441e-05
-82.4413,6.95557e-05
-80.7879,7.47471e-05
-79.1344,8.02257e-05
-77.481,8.59985e-05
-75.8276,9.2072e-05
-74.1741,9.84519e-05
-72.5207,0.000105143
-70.8673,0.00011215
-69.2139,0.000119475
-67.5604,0.000127121
-65.907,0.000135089
-64.2536,0.00014338
-62.6001,0.000151992
-60.9467,0.000160923
-59.2933,0.000170169
-57.6399,0.000179725
-55.9864,0.000189585
-54.333,0.000199742
-52.6796,0.000210186
-51.0262,0.000220907
-49.3727,0.000231892
-47.7193,0.000243127
-46.0659,0.000254598
-44.4124,0.000266287
-42.759,0.000278177
-41.1056,0.000290248
-39.4522,0.000302479
-37.7987,0.000314848
-36.1453,0.00032733
-34.4919,0.000339902
-32.8384,0.000352536
-31.185,0.000365207
-29.5316,0.000377885
-27.8782,0.000390543
-26.2247,0.00040315
-24.5713,0.000415677
-22.9179,0.000428093
-21.2644,0.000440366
-19.611,0.000452466
-17.9576,0.000464362
-16.3042,0.000476022
-14.6507,0.000487415
-12.9973,0.000498512
-11.3439,0.000509282
-9.69045,0.000519696
-8.03703,0.000529726
-6.3836,0.000539345
-4.73017,0.000548526
-3.07674,0.000557244
-1.42331,0.000565477
0.230114,0.000573201
1.88354,0.000580398
3.53697,0.000587047
5.1904,0.000593132
6.84383,0.000598638
8.49725,0.000603553
10.1507,0.000607864
11.8041,0.000611564
13.4575,0.000614645
15.111,0.000617103
16.7644,0.000618934
18.4178,0.000620139
20.0712,0.000620718
21.7247,0.000620675
23.3781,0.000620016
25.0315,0.000618747
26.685,0.000616879
28.3384,0.000614422
29.9918,0.000611389
31.6452,0.000607794
33.2987,0.000603654
34.9521,0.000598984
36.6055,0.000593805
38.259,0.000588135
39.9124,0.000581996
41.5658,0.000575409
43.2192,0.000568396
44.8727,0.000560982
46.5261,0.000553189
48.1795,0.000545042
49.833,0.000536566
51.4864,0.000527786
53.1398,0.000518725
54.7932,0.00050941
56.4467,0.000499864
58.1001,0.000490114
59.7535,0.000480182
61.4069,0.000470093
63.0604,0.000459871
64.7138,0.000449537
66.3672,0.000439116
68.0207,0.000428628
69.6741,0.000418094
71.3275,0.000407535
72.9809,0.000396971
74.6344,0.000386419
76.2878,0.000375898
77.9412,0.000365425
79.5947,0.000355015
81.2481,0.000344685
82.9015,0.000334448
84.5549,0.000324318
86.2084,0.000314307
87.8618,0.000304427
89.5152,0.00029469
91.1687,0.000285104
92.8221,0.000275679
94.4755,0.000266423
96.1289,0.000257344
97.7824,0.000248449
99.4358,0.000239743
101.089,0.000231232
102.743,0.000222919
104.396,0.00021481
106.05,0.000206906
107.703,0.000199212
109.356,0.000191727
111.01,0.000184455
112.663,0.000177395
114.317,0.000170548
115.97,0.000163914
117.623,0.000157491
119.277,0.000151279
120.93,0.000145276
122.584,0.00013948
124.237,0.000133888
125.891,0.000128498
127.544,0.000123306
129.197,0.00011831
130.851,0.000113505
132.504,0.000108887
134.158,0.000104452
135.811,0.000100196
137.465,9.6114e-05
139.118,9.22011e-05
140.771,8.84524e-05
142.425,8.48628e-05
144.078,8.1427e-05
145.732,7.81399e-05
147.385,7.49961e-05
149.039,7.19901e-05
150.692,6.91166e-05
152.345,6.63702e-05
153.999,6.37455e-05
155.652,6.12372e-05
157.306,5.884e-05
158.959,5.65487e-05
160.613,5.43582e-05
162.266,5.22634e-05
163.919,5.02595e-05
165.573,4.83418e-05
167.226,4.65055e-05
168.88,4.47464e-05
170.533,4.306e-05
172.187,4.14423e-05
173.84,3.98894e-05
175.493,3.83974e-05
177.147,3.69629e-05
178.8,3.55824e-05
180.454,3.42527e-05
182.107,3.2971e-05
183.761,3.17343e-05
185.414,3.05402e-05
187.067,2.93861e-05
188.721,2.82698e-05
190.374,2.71894e-05
192.028,2.61428e-05
193.681,2.51284e-05
195.335,2.41446e-05
196.988,2.31901e-05
198.641,2.22635e-05
200.295,2.13637e-05
201.948,2.04897e-05
203.602,1.96406e-05
205.255,1.88157e-05
206.909,1.80142e-05
208.562,1.72355e-05
210.215,1.64792e-05
211.869,1.57446e-05
213.522,1.50316e-05
215.176,1.43396e-05
216.829,1.36685e-05
218.483,1.30179e-05
220.136,1.23876e-05
221.789,1.17775e-05
223.443,1.11872e-05
225.096,1.06166e-05
226.75,1.00656e-05
228.403,9.53389e-06
230.057,9.02135e-06
231.71,8.52776e-06
233.363,8.05293e-06
235.017,7.59663e-06
236.67,7.15863e-06
238.324,6.73866e-06
239.977,6.33646e-06
241.631,5.95174e-06
243.284,5.58419e-06
244.937,5.23347e-06
246.591,4.89924e-06
248.244,4.58112e-06
249.898,4.27874e-06
251.551,3.9917e-06
253.205,3.71956e-06
254.858,3.46191e-06
256.511,3.2183e-06
258.165,2.98828e-06
259.818,2.77139e-06
261.472,2.56715e-06
263.125,2.37509e-06
264.779,2.19474e-06
266.432,2.02562e-06
268.085,1.86724e-06
269.739,1.71914e-06
271.392,1.58084e-06
273.046,1.45187e-06
274.699,1.33177e-06
276.353,1.2201e-06
278.006,1.11639e-06
279.659,1.02023e-06
281.313,9.31185e-07
282.966,8.48848e-07
284.62,7.7282e-07
286.273,7.02718e-07
287.927,6.3817e-07
289.58,5.7882e-07
291.233,5.24327e-07
292.887,4.74364e-07
294.54,4.28618e-07
296.194,3.86792e-07
297.847,3.48605e-07
299.501,3.13789e-07
301.154,2.82091e-07
302.807,2.53272e-07
304.461,2.27108e-07
306.114,2.03387e-07
307.768,1.81911e-07
309.421,1.62495e-07
311.075,1.44965e-07
312.728,1.29162e-07
314.381,1.14934e-07
316.035,1.02142e-07
317.688,9.0658e-08
319.342,8.03619e-08
320.995,7.11438e-08
322.649,6.29024e-08
324.302,5.55443e-08
325.955,4.8984e-08
327.609,4.3143e-08
329.262,3.79497e-08
330.916,3.33387e-08
332.569,2.92503e-08
334.223,2.56303e-08
335.876,2.24294e-08
337.529,1.96031e-08
339.183,1.71108e-08
340.836,1.49162e-08
342.49,1.29863e-08
344.143,1.12916e-08
345.797,9.8054e-09
347.45,8.50386e-09
349.103,7.36557e-09
350.757,6.37145e-09
352.41,5.5044e-09
354.064,4.74921e-09
355.717,4.09235e-09
357.371,3.52181e-09
359.024,3.0269e-09
360.677,2.59818e-09
362.331,2.22732e-09
363.984,1.90693e-09
365.638,1.63052e-09
367.291,1.39238e-09
368.945,1.18749e-09
370.598,1.01145e-09
372.251,8.60388e-10
373.905,7.30947e-10
375.558,6.20179e-10
377.212,5.2552e-10
378.865,4.44734e-10
380.519,3.75883e-10
382.172,3.17282e-10
383.825,2.67473e-10
385.479,2.25194e-10
387.132,1.89355e-10
388.786,1.59017e-10
390.439,1.3337e-10
392.093,1.1172e-10
393.746,9.34674e-11
395.399,7.81022e-11
397.053,6.51865e-11
398.706,5.43458e-11
400.36,4.52614e-11
402.013,3.76618e-11
403.667,3.13166e-11
405.32,2.60301e-11
406.973,2.16373e-11
408.627,1.79989e-11
410.28,1.49981e-11
411.934,1.25374e-11
413.587,1.05357e-11
415.241,8.92656e-12
416.894,7.65603e-12
418.547,6.68133e-12
420.201,5.96949e-12
421.854,5.49661e-12
423.508,5.2471e-12
425.161,5.21329e-12
