nof_samples,trace_0
1,0.0138314
2,0.0109547
3,0.00960417
4,0.0107257
5,0.0087242
6,0.00968369
7,0.0101366
8,0.0101763
9,0.00975838
10,0.00935461
11,0.00882638
12,0.009824
13,0.00923197
14,0.010463
15,0.00958885
16,0.00951204
17,0.00892687
18,0.00944398
19,0.00928014
20,0.00845828
21,0.00991926
22,0.0101267
23,0.00816849
24,0.00871024
25,0.00945465
26,0.0112336
27,0.0105676
28,0.0108114
29,0.0120908
30,0.00998858
31,0.00995703
32,0.0121839
33,0.00877171
34,0.00887537
35,0.0109444
36,0.0114722
37,0.0119484
38,0.0123966
39,0.0126102
40,0.0122471
41,0.011794
42,0.012493
43,0.011464
44,0.0122886
45,0.0104271
46,0.0102521
47,0.0114366
48,0.0117531
49,0.0120634
50,0.0118046
51,0.0115204
52,0.0105336
53,0.0114064
54,0.0114255
55,0.0121812
56,0.0121095
57,0.0120448
58,0.0108869
59,0.0104123
60,0.00989592
61,0.00983574
62,0.0111142
63,0.0129653
64,0.0118934
65,0.01135
66,0.0103479
67,0.00879966
68,0.00953778
69,0.0122257
70,0.0112506
71,0.0111073
72,0.0110707
73,0.0102941
74,0.0114052
75,0.0105568
76,0.010181
77,0.0103174
78,0.0100245
79,0.00955729
80,0.0111498
81,0.0105754
82,0.0101168
83,0.0100041
84,0.0110571
85,0.00994562
86,0.0102686
87,0.00988177
88,0.00948797
89,0.0105305
90,0.00938338
91,0.0090546
92,0.0104643
93,0.0101368
94,0.00964467
95,0.00941468
96,0.00966418
97,0.00899531
98,0.00918068
99,0.00949913
100,0.010474
101,0.0107466
102,0.0103445
103,0.0106598
104,0.00962181
105,0.00959355
106,0.00920939
107,0.00983552
108,0.0101812
109,0.0105712
110,0.0116926
111,0.0106342
112,0.00984609
113,0.010619
114,0.0102608
115,0.0103633
116,0.00989717
117,0.0100608
118,0.00969966
119,0.0107474
120,0.0112271
121,0.00842106
122,0.00940315
123,0.00933227
124,0.00990507
125,0.00908319
126,0.00823334
127,0.00895911
128,0.0091592
129,0.00852579
130,0.00855866
131,0.00998745
132,0.0083491
133,0.00849363
134,0.00957954
135,0.0105065
136,0.00926764
137,0.00876656
138,0.00830137
139,0.00915942
140,0.00819924
141,0.00817821
142,0.0103981
143,0.0100403
144,0.010765
145,0.0090847
146,0.00864595
147,0.00878372
148,0.0105434
149,0.00895207
150,0.00834356
151,0.00993411
152,0.0112669
153,0.0109059
154,0.0105042
155,0.00975553
156,0.00924489
157,0.00955098
158,0.00906132
159,0.0096598
160,0.00978507
161,0.00915621
162,0.00788212
163,0.00893853
164,0.0115285
165,0.0110872
166,0.0121663
167,0.011912
168,0.0137617
169,0.0140401
170,0.0138094
171,0.0148403
172,0.0137713
173,0.014902
174,0.0127827
175,0.0130175
176,0.0120328
177,0.0106295
178,0.0102178
179,0.0103171
180,0.00954372
181,0.00943506
182,0.00967245
183,0.00810104
184,0.00766546
185,0.00919409
186,0.00963532
187,0.0112263
188,0.00965279
189,0.00891157
190,0.00912933
191,0.00911335
192,0.00899595
193,0.00922031
194,0.0103211
195,0.0104841
196,0.0103285
197,0.0107964
198,0.01082
199,0.0105482
200,0.0121981
201,0.0113171
202,0.0120464
203,0.0105902
204,0.011512
205,0.0110893
206,0.0101231
207,0.0108633
208,0.0111784
209,0.010983
210,0.0111239
211,0.0116816
212,0.0106583
213,0.00996243
214,0.00905894
215,0.00838675
216,0.0100893
217,0.0123856
218,0.0113361
219,0.00932881
220,0.0103648
221,0.00995821
222,0.00946702
223,0.0107585
224,0.00994747
225,0.00889537
226,0.00797297
227,0.00759418
228,0.00834275
229,0.00928504
230,0.00799032
231,0.00911776
232,0.0098994
233,0.00937042
234,0.00815832
235,0.00863239
236,0.00841564
237,0.00949389
238,0.00964619
239,0.0083574
240,0.00757508
241,0.00824644
242,0.00783905
243,0.00931831
244,0.0096231
245,0.00867603
246,0.00901402
247,0.0081119
248,0.00883943
249,0.00949868
250,0.00880398
251,0.00702112
252,0.00867251
253,0.00907045
254,0.00821334
255,0.00889988
256,0.00894412
257,0.00965461
258,0.00908997
259,0.00997632
260,0.00969649
261,0.00939604
262,0.00838875
263,0.00818035
264,0.0089837
265,0.0100919
266,0.00906072
267,0.00909024
268,0.00875413
269,0.0095778
270,0.0101719
271,0.00808263
272,0.00792929
273,0.00891375
274,0.00923091
275,0.00972939
276,0.0096271
277,0.00949801
278,0.00839775
279,0.00729075
280,0.00866624
281,0.00820243
282,0.00830362
283,0.00781475
284,0.00759627
285,0.00797562
286,0.0103323
287,0.00957073
288,0.00900858
289,0.00843026
290,0.00838093
291,0.00912615
292,0.00808903
293,0.00920584
294,0.00908594
295,0.00902875
296,0.00875282
297,0.00851301
298,0.00964844
299,0.0109055
300,0.0089038
301,0.00978159
302,0.00996835
303,0.00911501
304,0.00837502
305,0.00979285
306,0.00867928
307,0.00886905
308,0.00957321
309,0.0096536
310,0.00974522
311,0.0079085
312,0.00957226
313,0.0090691
314,0.00919609
315,0.00956822
316,0.0087164
317,0.00938933
318,0.00870359
319,0.00979842
320,0.00956831
321,0.00945109
322,0.00946669
323,0.00981664
324,0.00838101
325,0.00849809
326,0.00891994
327,0.00805448
328,0.00836313
329,0.0086374
330,0.00970538
331,0.00902244
332,0.00837879
333,0.00946606
334,0.00746911
335,0.00734912
336,0.00983788
337,0.00950359
338,0.00839123
339,0.0081372
340,0.0091326
341,0.00829014
342,0.00860897
343,0.00922359
344,0.00908197
345,0.0089325
346,0.00818311
347,0.0109698
348,0.00817034
349,0.00928994
350,0.00831299
351,0.00896417
352,0.00876245
353,0.0100206
354,0.00857972
355,0.00741004
356,0.00742805
357,0.00776788
358,0.00722737
359,0.00772831
360,0.0077361
361,0.00834222
362,0.00704653
363,0.00850344
364,0.00798808
365,0.00796246
366,0.00819374
367,0.00817357
368,0.00861017
369,0.0100366
370,0.00802141
371,0.00947285
372,0.00826071
373,0.00727378
374,0.00810901
375,0.00896942
376,0.00963101
377,0.0093168
378,0.00792112
379,0.00989932
380,0.00903365
381,0.0081179
382,0.0102818
383,0.00820217
384,0.00910803
385,0.00798577
386,0.00842097
387,0.0077125
388,0.00908478
389,0.0097154
390,0.00887339
391,0.00823303
392,0.00829038
393,0.0102393
394,0.00990459
395,0.0108077
396,0.00875667
397,0.00808897
398,0.00803194
399,0.00834409
400,0.00939963
401,0.00852316
402,0.00972867
403,0.00950749
404,0.00944545
405,0.0098723
406,0.00997414
407,0.0096997
408,0.00887157
409,0.00950349
410,0.00789179
411,0.00877699
412,0.00869089
413,0.00937223
414,0.00906841
415,0.00880246
416,0.00917086
417,0.0100415
418,0.010836
419,0.0101699
420,0.00998139
421,0.0107861
422,0.00918264
423,0.00974554
424,0.00918037
425,0.008914
426,0.00976428
427,0.0102253
428,0.010468
429,0.0102036
430,0.00970069
431,0.00865525
432,0.00944853
433,0.00936981
434,0.00976236
435,0.0103677
436,0.00944945
437,0.00792828
438,0.00931268
439,0.00800254
440,0.00974434
441,0.00869055
442,0.00910133
443,0.00883049
444,0.00899145
445,0.00974075
446,0.0091642
447,0.00845258
448,0.00899559
449,0.0105376
450,0.00954808
451,0.00853038
452,0.00816801
453,0.00859464
454,0.00907473
455,0.00878318
456,0.00927201
457,0.00833088
458,0.00823667
459,0.00827993
460,0.00882006
461,0.00912355
462,0.00935746
463,0.00876674
464,0.00972899
465,0.00958142
466,0.0101528
467,0.0117518
468,0.0129675
469,0.0103856
470,0.00772022
471,0.00854174
472,0.00774457
473,0.00955251
474,0.0103571
475,0.0092055
476,0.00891587
477,0.00802827
478,0.00886156
479,0.00792537
480,0.00838615
481,0.00976148
482,0.00762213
483,0.00788589
484,0.00880728
485,0.00920774
486,0.00774221
487,0.00969731
488,0.0083203
489,0.00952508
490,0.00971149
491,0.00879748
492,0.0094396
493,0.00862725
494,0.00863446
495,0.00901082
496,0.0102234
497,0.00766966
498,0.00757785
499,0.00890777
500,0.00963514
501,0.00969102
502,0.00803116
503,0.008371
504,0.0072811
505,0.00775192
506,0.00806599
507,0.00767587
508,0.00728135
509,0.00763605
510,0.00800622
511,0.00894226
512,0.00792311
513,0.00707197
514,0.00828748
515,0.0070987
516,0.00869411
517,0.00740703
518,0.00833351
519,0.00808346
520,0.0099194
521,0.00814852
522,0.00824536
523,0.00798514
524,0.00857351
525,0.00917818
526,0.00714999
527,0.00758345
528,0.0078783
529,0.00898749
530,0.00784758
531,0.00704324
532,0.00799942
533,0.0082774
534,0.00809198
535,0.00766118
536,0.00593061
537,0.00633442
538,0.0078158
539,0.00955249
540,0.0094585
541,0.00884413
542,0.00903654
543,0.00786043
544,0.00806427
545,0.00776452
546,0.00909023
547,0.00981266
548,0.00958134
549,0.0091529
550,0.00748029
551,0.00847172
552,0.00891052
553,0.00907909
554,0.00834948
555,0.00868196
556,0.00861928
557,0.00939867
558,0.0109283
559,0.0099117
560,0.00951279
561,0.00828122
562,0.0084717
563,0.00869437
564,0.00702399
565,0.00779466
566,0.00903283
567,0.00931009
568,0.00847927
569,0.00839621
570,0.00989424
571,0.0107717
572,0.0104582
573,0.00881008
574,0.00953414
575,0.00984396
576,0.00992319
577,0.0102309
578,0.00816998
579,0.00757107
580,0.00767126
581,0.00855345
582,0.00899615
583,0.00913829
584,0.00873734
585,0.00933113
586,0.00830119
587,0.00933755
588,0.00921465
589,0.00907895
590,0.00886887
591,0.00878526
592,0.00825179
593,0.00842744
594,0.0076633
595,0.0093224
596,0.0106502
597,0.00950041
598,0.00937149
599,0.00897772
600,0.00853543
601,0.00941224
602,0.0094934
603,0.00831808
604,0.00859788
605,0.00760995
606,0.00824515
607,0.00714713
608,0.00808062
609,0.00849483
610,0.00868976
611,0.00994146
612,0.0105813
613,0.0131405
614,0.0141185
