nof_samples,trace_0
1,0.00327331
2,0.00327331
3,0.00327331
4,0.00327331
5,0.00323219
6,0.00323219
7,0.0032521
8,0.00170951
9,0.000944024
10,0.000944024
11,0.00105621
12,0.00105621
13,0.00105621
14,0.00105621
15,0.00105621
16,0.00105621
17,0.00105621
18,0.00105621
19,0.00105621
20,0.00105621
21,0.00105621
22,0.00105621
23,0.00105621
24,0.00105621
25,0.00105621
26,0.00105621
27,0.00105621
28,0.00152249
29,0.00152249
30,0.00152249
31,0.00147992
32,0.00147992
33,0.00147992
34,0.00147992
35,0.00147992
36,0.00147992
37,0.00147992
38,0.00147992
39,0.00147992
40,0.00147992
41,0.00147992
42,0.00147992
43,0.00147992
44,0.00147992
45,0.00147992
46,0.00147992
47,0.00147992
48,0.00147992
49,0.00147992
50,0.00147992
51,0.00147992
52,0.00147992
53,0.00147992
54,0.00147992
55,0.00147992
56,0.00147992
57,0.00147992
58,0.00147992
59,0.00147992
60,0.00147992
61,0.00147992
62,0.00147992
63,0.00147992
64,0.00147992
65,0.00147992
66,0.00147992
67,0.00147992
68,0.00147992
69,0.00147992
70,0.00147992
71,0.00147992
72,0.00147992
73,0.00204549
74,0.00204549
75,0.00204549
76,0.00204549
77,0.00204549
78,0.00204549
79,0.00204549
80,0.00204549
81,0.00204549
82,0.00204549
83,0.00204549
84,0.00204549
85,0.00204549
86,0.00204549
87,0.00204549
88,0.00204549
89,0.00204549
90,0.00204549
91,0.00204549
92,0.00204549
93,0.00204549
94,0.00204549
95,0.00204549
96,0.00204549
97,0.00204549
98,0.00204549
99,0.00204549
100,0.00204549
101,0.00204549
102,0.00204549
103,0.00204549
104,0.00204549
105,0.00204549
106,0.00204549
107,0.00204549
108,0.00204549
109,0.00204549
110,0.00204549
111,0.00204549
112,0.00204549
113,0.00204549
114,0.00204549
115,0.00204549
116,0.00204549
117,0.00204549
118,0.00204549
119,0.00204549
120,0.00204549
121,0.00204549
122,0.00204549
123,0.00171359
124,0.00171359
125,0.00171359
126,0.00171359
127,0.00171359
128,0.00171359
129,0.00171359
130,0.00105732
131,0.00105732
132,0.00105732
133,0.00105732
134,0.00105732
135,0.00105732
136,0.00105732
137,0.00105732
138,0.00105732
139,0.00105732
140,0.00105732
141,0.00105732
142,0.00105732
143,0.00105732
144,0.00105732
145,0.00105732
146,0.00105732
147,0.00105732
148,0.00113087
149,0.00142064
150,0.00142064
151,0.000991017
152,0.000991017
153,0.000991017
154,0.000991017
155,0.000991017
156,0.000991017
157,0.000799697
158,0.000799697
159,0.000799697
160,0.000799697
161,0.000799697
162,0.000799697
163,0.000799697
164,0.000799697
165,0.000799697
166,0.000799697
167,0.000799697
168,0.000799697
169,0.000799697
170,0.000799697
171,0.000799697
172,0.000799697
173,0.000799697
174,0.000799697
175,0.000799697
176,0.000799697
177,0.000799697
178,0.0016671
179,0.0016671
180,0.0016671
181,0.0016671
182,0.0016671
183,0.0016671
184,0.0016671
185,0.0016671
186,0.0016671
187,0.0016671
188,0.0016671
189,0.0011752
190,0.0011752
191,0.0011752
192,0.0011752
193,0.0011752
194,0.0011752
195,0.0011752
196,0.0011752
197,0.0011752
198,0.0011752
199,0.0011752
200,0.0011752
201,0.0011752
202,0.0011752
203,0.0011752
204,0.0011752
205,0.0011752
206,0.0011752
207,0.0011752
208,0.0011752
209,0.0011752
210,0.0011752
211,0.0011752
212,0.0011752
213,0.0011752
214,0.0011752
215,0.0011752
216,0.00118551
217,0.00118551
218,0.00118551
219,0.00118551
220,0.00118551
221,0.00118551
222,0.00118551
223,0.00118551
224,0.00118551
225,0.00118551
226,0.00118551
227,0.00183396
228,0.00183396
229,0.00183396
230,0.00183396
231,0.00183396
232,0.00183396
233,0.00183396
234,0.00183396
235,0.00183396
236,0.00183396
237,0.00183396
238,0.00183396
239,0.00183396
240,0.00183396
241,0.00183396
242,0.00183396
243,0.00183396
244,0.00183396
245,0.00183396
246,0.0017874
247,0.0017874
248,0.0017874
249,0.0017874
250,0.0017874
251,0.0017874
252,0.0017874
253,0.0017874
254,0.0017874
255,0.0017874
256,0.0017874
257,0.0017874
258,0.0017874
259,0.0017874
260,0.0017874
261,0.0017874
262,0.0017874
263,0.0017874
264,0.0017874
265,0.0017874
266,0.0017874
267,0.0017874
268,0.0017874
269,0.0017874
270,0.0017874
271,0.0017874
272,0.0017874
273,0.0017874
274,0.0017874
275,0.0017874
276,0.0017874
277,0.0017874
278,0.0017874
279,0.0017874
280,0.0017874
281,0.0017874
282,0.0017874
283,0.0017874
284,0.0017874
285,0.0017874
286,0.0017874
287,0.0017874
288,0.0017874
289,0.0017874
290,0.0017874
291,0.0017874
292,0.0017874
293,0.0017874
294,0.0017874
295,0.0017874
296,0.0017874
297,0.0017874
298,0.0017874
299,0.0017874
300,0.0017874
301,0.0017874
302,0.0017874
303,0.0017874
304,0.0017874
305,0.0017874
306,0.0017874
307,0.0017874
308,0.0017874
309,0.0017874
310,0.0017874
311,0.0017874
312,0.0017874
313,0.0017874
314,0.0017874
315,0.0017874
316,0.00173271
317,0.00173271
318,0.00173271
319,0.00173271
