nof_samples,trace_0
1,0.0904419
2,0.0904419
3,0.0904419
4,0.0904419
5,0.0904419
6,0.0904419
7,0.0904419
8,0.0904419
9,0.0904419
10,0.0904419
11,0.0904419
12,0.0904419
13,0.0904419
14,0.0904419
15,0.0904419
16,0.0904419
17,0.0904419
18,0.0904419
19,0.0904419
20,0.0904419
21,0.0904419
22,0.0740284
23,0.0674301
24,0.0674301
25,0.0312973
26,0.0312973
27,0.0312973
28,0.0312973
29,0.0312973
30,0.0312973
31,0.0312973
32,0.0312973
33,0.0312973
34,0.0312973
35,0.0312973
36,0.0312973
37,0.0312973
38,0.0312973
39,0.0312973
40,0.0312973
41,0.0312973
42,0.0312973
43,0.0312973
44,0.0312973
45,0.0312973
46,0.0312973
47,0.0312973
48,0.0312973
49,0.0312973
50,0.0312973
51,0.0316654
52,0.0316654
53,0.0316654
54,0.0316654
55,0.0316654
56,0.0316654
57,0.0316654
58,0.0316654
59,0.0316654
60,0.0316654
61,0.0316654
62,0.0316654
63,0.0316654
64,0.0316654
65,0.0316654
66,0.0355819
67,0.0355819
68,0.0355819
69,0.0355819
70,0.0355819
71,0.0355819
72,0.0355819
73,0.0355819
74,0.0355819
75,0.0355819
76,0.0355819
77,0.0355819
78,0.0355819
79,0.0355819
80,0.0355819
81,0.0355819
82,0.0355819
83,0.0355819
84,0.0355819
85,0.0355819
86,0.0355819
87,0.0355819
88,0.0355819
89,0.0355819
90,0.0349961
91,0.0349961
92,0.0349961
93,0.0349961
94,0.0349961
95,0.0349961
96,0.0349961
97,0.0349961
98,0.0349961
99,0.0349961
100,0.0349961
101,0.0349961
102,0.0349961
103,0.0349961
104,0.0349961
105,0.0349961
106,0.0349961
107,0.0349961
108,0.0349961
109,0.0349961
110,0.0349961
111,0.0349961
112,0.0349961
113,0.0349961
114,0.0349961
115,0.0349961
116,0.0349961
117,0.0349961
118,0.0349961
119,0.0349961
120,0.0349961
121,0.0300647
122,0.0300647
123,0.0300647
124,0.0300647
125,0.0300647
126,0.0300647
127,0.0300647
128,0.0300647
129,0.0300647
130,0.0300647
131,0.0300647
132,0.0300647
133,0.0300647
134,0.0300647
135,0.0300647
136,0.0300647
137,0.0300647
138,0.0343574
139,0.0343574
140,0.0343574
141,0.0343574
142,0.0343574
143,0.0343574
144,0.0343574
145,0.0343574
146,0.0368779
147,0.0368779
148,0.0368779
149,0.0368779
150,0.0368779
151,0.0368779
152,0.0368779
153,0.0368779
154,0.0368779
155,0.0368779
156,0.0368779
157,0.0368779
158,0.0368779
159,0.0368779
160,0.0368779
161,0.0368779
162,0.0368779
163,0.0396218
164,0.0396218
165,0.0396218
166,0.0396218
167,0.0403429
168,0.0403429
169,0.0403429
170,0.0403429
171,0.0429136
172,0.0429136
173,0.0429136
174,0.0429136
175,0.0429136
176,0.0429136
177,0.0429136
178,0.0429136
179,0.0429136
180,0.0429136
181,0.0429136
182,0.0429136
183,0.0429136
184,0.0429136
185,0.0429136
186,0.0429136
187,0.0429136
188,0.0429136
189,0.0429136
190,0.0429136
191,0.0429136
192,0.0429136
193,0.0429136
194,0.0429136
195,0.0429136
196,0.0429136
197,0.0429136
198,0.0429136
199,0.0429136
200,0.0429136
201,0.0429136
202,0.0429136
203,0.0429136
204,0.0429136
205,0.0429136
206,0.0429136
207,0.0429136
208,0.0429136
209,0.0429136
210,0.0429136
211,0.0429136
212,0.0429136
213,0.0429136
214,0.0429136
215,0.0429136
216,0.0429136
217,0.0429136
218,0.0429136
219,0.0429136
220,0.0429136
221,0.0429136
222,0.0429136
223,0.0429136
224,0.0429136
225,0.0429136
226,0.0429136
227,0.0429136
228,0.0429136
229,0.0429136
230,0.0429136
231,0.0429136
232,0.0429136
233,0.0429136
234,0.0429136
235,0.0369316
236,0.0369316
237,0.0369316
238,0.0369316
239,0.0369316
240,0.0369316
241,0.0369316
242,0.0369316
243,0.0369316
244,0.0369316
245,0.0369316
246,0.0369316
247,0.0369316
248,0.0369316
249,0.0369316
250,0.0369316
251,0.0369316
252,0.0369316
253,0.0369316
254,0.0369316
255,0.0357113
256,0.0357113
257,0.0357113
258,0.0357113
259,0.0357113
260,0.0357113
261,0.0357113
262,0.0357113
263,0.0357113
264,0.0357113
