nof_samples,trace_0
1,-100.236
2,-100.596
3,-100.453
4,-100.423
5,-100.321
6,-100.307
7,-100.525
8,-100.566
9,-101.117
10,-101.325
11,-101.024
12,-100.675
13,-101.299
14,-101.344
15,-101.362
16,-100.744
17,-101.047
18,-100.7
19,-100.621
20,-100.839
21,-100.889
22,-100.937
23,-101.473
24,-100.84
25,-100.619
26,-101.451
27,-100.082
28,-99.8814
29,-99.9155
30,-99.9359
31,-99.8772
32,-99.8698
33,-99.8985
34,-99.9145
35,-99.9589
36,-99.9222
37,-99.9309
38,-99.9064
39,-99.8972
40,-99.9152
41,-99.9223
42,-99.9062
43,-99.8465
44,-99.8377
45,-99.8304
46,-99.8473
47,-99.7951
48,-99.7786
49,-99.7985
50,-99.7989
51,-99.7526
52,-99.7551
53,-99.74
54,-99.7772
55,-99.7743
56,-99.8159
57,-99.7928
58,-99.7945
59,-98.9357
60,-98.8801
61,-98.7815
62,-98.8305
63,-98.9179
64,-98.5698
65,-98.8971
66,-98.9944
67,-99.0677
68,-98.8592
69,-98.9209
70,-99.1342
71,-98.9106
72,-98.9742
73,-98.869
74,-98.5397
75,-99.6387
76,-99.867
77,-99.9762
78,-99.9785
79,-99.9539
80,-99.9255
81,-99.9296
82,-99.9424
83,-99.8565
84,-99.938
85,-99.9206
86,-99.9904
87,-100.099
88,-99.9936
89,-99.3426
90,-99.084
91,-99.102
92,-99.2122
93,-99.201
94,-99.12
95,-99.1287
96,-99.0557
97,-99.2018
98,-99.1515
99,-99.1265
100,-99.0751
101,-99.0638
102,-99.0583
103,-99.0249
104,-99.137
105,-99.0757
106,-97.6577
107,-97.5338
108,-97.6487
109,-97.3855
110,-97.5672
111,-97.5417
112,-97.2192
113,-97.0211
114,-97.5714
115,-97.5276
116,-98.0876
117,-97.2837
118,-97.5001
119,-98.5211
120,-98.7756
121,-98.9233
122,-98.4319
123,-98.3665
124,-98.2172
125,-98.2141
126,-98.3514
127,-98.8169
128,-98.7645
129,-98.7343
130,-97.858
131,-98.5669
132,-98.1491
133,-98.0366
134,-97.9251
135,-98.3107
136,-97.9224
137,-98.1985
138,-98.643
139,-98.753
140,-98.7528
141,-98.6375
142,-98.7429
143,-98.7607
144,-98.5758
145,-98.4581
146,-98.8348
147,-99.011
148,-99.4501
149,-99.63
150,-99.6511
151,-99.6472
152,-99.6106
153,-99.5893
154,-99.6579
155,-99.5238
156,-99.5611
157,-99.1124
158,-99.0187
159,-99.1926
160,-99.1866
161,-99.1428
162,-98.8283
163,-98.7857
164,-99.2321
165,-99.0679
166,-99.1213
167,-99.2092
168,-99.3657
169,-99.3278
170,-99.3582
171,-99.36
172,-99.4726
173,-98.981
174,-99.0393
175,-99.1404
176,-99.1298
